rank,buckwalter,arabic,count
280,qsm,قسم,33
281,mdd,مدد,32
282,brr,برر,32
283,ESy,عصي,32
284,wry,وري,32
285,wsE,وسع,32
286,wSy,وصي,32
287,vlv,ثلث,32
288,nSb,نصب,32
289,brk,برك,32
290,Thr,طهر,31
291,bdw,بدو,31
292,Hyv,حيث,31
293,$fE,شفع,31
294,brA,برا,31
295,xlS,خلص,31
296,qEd,قعد,31
297,$rr,شرر,31
298,hjr,هجر,31
299,glb,غلب,31
300,lbv,لبث,31
301,sEy,سعي,30
302,Srf,صرف,30
303,qSS,قصص,30
304,Anv,انث,30
305,Esy,عسي,30
306,Afk,افك,30
307,g$w,غشو,29
308,vny,ثني,29
309,rfE,رفع,29
310,wdd,ودد,29
311,Syr,صير,29
312,jdl,جدل,29
313,jnd,جند,29
314,Tyr,طير,29
315,fwz,فوز,29
316,dry,دري,29
317,yqn,يقن,28
318,xlw,خلو,28
319,HwT,حوط,28
320,sbE,سبع,28
321,Edl,عدل,28
322,$qq,شقق,28
323,Abd,ابد,28
324,vwb,ثوب,28
325,rjw,رجو,28
326,vql,ثقل,28
327,n$A,نشا,28
328,$jr,شجر,27
329,mnn,منن,27
330,bwb,بوب,27
331,E$r,عشر,27
332,Ejb,عجب,27
333,msk,مسك,27
334,grr,غرر,27
335,syr,سير,27
336,wzr,وزر,27
337,qmr,قمر,27
338,nbt,نبت,26
339,xzy,خزي,26
340,hwn,هون,26
341,jHm,جحم,26
342,wDE,وضع,26
343,Ejz,عجز,26
344,$ry,شري,25
345,Hwl,حول,25
346,sqy,سقي,25
347,wEZ,وعظ,25
348,HDr,حضر,25
349,flk,فلك,25
350,bTn,بطن,25
351,Hdd,حدد,25
352,bsT,بسط,25
353,qsT,قسط,25
354,whb,وهب,25
355,lsn,لسن,25
356,Sly,صلي,25
357,gDb,غضب,24
358,mrD,مرض,24
359,kwd,كود,24
360,vmr,ثمر,24
361,fjr,فجر,24
362,*ll,ذلل,24
363,jhl,جهل,24
364,Emr,عمر,24
365,fH$,فحش,24
366,rqb,رقب,24
367,A*y,اذي,24
368,wqE,وقع,24
369,m$y,مشي,23
370,lbs,لبس,23
371,grq,غرق,23
372,ytm,يتم,23
373,srE,سرع,23
374,nkH,نكح,23
375,Tlq,طلق,23
376,srf,سرف,23
377,wzn,وزن,23
378,rbE,ربع,22
379,xTA,خطا,22
380,Alf,الف,22
381,tmm,تمم,22
382,gwy,غوي,22
383,trb,ترب,22
384,frH,فرح,22
385,Erb,عرب,22
386,H*r,حذر,21
387,Hjr,حجر,21
388,ktm,كتم,21
389,hwd,هود,21
390,mny,مني,21
391,$hr,شهر,21
392,Hlm,حلم,21
393,bqy,بقي,21
394,snn,سنن,21
395,fty,فتي,21
396,Avr,اثر,21
397,Hmm,حمم,21
398,n$r,نشر,21
399,snw,سنو,20
400,mry,مري,20
401,drj,درج,20
402,rbw,ربو,20
403,nxl,نخل,20
404,nzE,نزع,20
405,nfx,نفخ,20
406,fqh,فقه,20
407,SnE,صنع,20
408,Hzb,حزب,20
409,lEb,لعب,20
410,fTr,فطر,20
411,k$f,كشف,20
412,vmn,ثمن,19
413,grb,غرب,19
414,bld,بلد,19
415,r$d,رشد,19
416,Swr,صور,19
417,TlE,طلع,19
418,sEr,سعر,19
419,fkh,فكه,19
420,frD,فرض,18
421,mll,ملل,18
422,dbb,دبب,18
423,rAs,راس,18
424,xSm,خصم,18
425,fkr,فكر,18
426,vbt,ثبت,18
427,ldn,لدن,18
428,HSn,حصن,18
429,nfr,نفر,18
430,mkn,مكن,18
431,nwb,نوب,18
432,swr,سور,17
433,x$E,خشع,17
434,bwA,بوا,17
435,Ew*,عوذ,17
436,xff,خفف,17
437,mnE,منع,17
438,$rq,شرق,17
439,Sfw,صفو,17
440,rbS,ربص,17
441,nqm,نقم,17
442,Awb,اوب,17
443,zEm,زعم,17
444,swq,سوق,17
445,mdn,مدن,17
446,jhr,جهر,16
447,Eln,علن,16
448,lbb,لبب,16
449,xwn,خون,16
450,mhd,مهد,16
451,HbT,حبط,16
452,xbv,خبث,16
453,gdw,غدو,16
454,gll,غلل,16
455,Etd,عتد,16
456,sTr,سطر,16
457,lhw,لهو,16
458,fAd,فاد,16
459,kyl,كيل,16
460,Smm,صمم,15
461,swm,سوم,15
462,Hrr,حرر,15
463,kff,كفف,15
464,rkb,ركب,15
465,byE,بيع,15
466,Hrj,حرج,15
467,mTr,مطر,15
468,$kk,شكك,15
469,bdA,بدا,15
470,Hrv,حرث,14
471,Swm,صوم,14
472,fqr,فقر,14
473,wlj,ولج,14
474,rjm,رجم,14
475,E$w,عشو,14
476,vwy,ثوي,14
477,lwm,لوم,14
478,wSf,وصف,14
479,zrE,زرع,14
480,rsw,رسو,14
481,ETw,عطو,14
482,Sff,صفف,14
483,Aby,ابي,13
484,rkE,ركع,13
485,fdy,فدي,13
486,qnt,قنت,13
487,rAf,راف,13
488,wqt,وقت,13
489,qrD,قرض,13
490,xll,خلل,13
491,Tmn,طمن,13
492,Sgr,صغر,13
493,$hw,شهو,13
494,glm,غلم,13
495,Hwr,حور,13
496,ESm,عصم,13
497,fwh,فوه,13
498,glZ,غلظ,13
499,jwr,جور,13
500,jld,جلد,13
501,Hlf,حلف,13
502,yAs,ياس,13
503,bgt,بغت,13
504,xzn,خزن,13
505,njm,نجم,13
506,Dyq,ضيق,13
507,nSH,نصح,13
508,SyH,صيح,13
509,$bh,شبه,12
510,wSl,وصل,12
511,rhb,رهب,12
512,ESw,عصو,12
513,bkr,بكر,12
514,TmE,طمع,12
515,nb*,نبذ,12
516,nyl,نيل,12
517,Hnf,حنف,12
518,Hsr,حسر,12
519,lHm,لحم,12
520,sfr,سفر,12
521,Esr,عسر,12
522,byD,بيض,12
523,xTb,خطب,12
524,knn,كنن,12
525,Tyn,طين,12
526,jby,جبي,12
527,bxl,بخل,12
528,drk,درك,12
529,wdy,ودي,12
530,xwD,خوض,12
531,jHd,جحد,12
532,$yE,شيع,12
533,$ml,شمل,12
534,xrr,خرر,12
535,E*r,عذر,12
536,$qw,شقو,12
537,sjn,سجن,12
538,slk,سلك,12
539,nTf,نطف,12
540,nTq,نطق,12
541,Ewn,عون,11
542,sfh,سفه,11
543,wqd,وقد,11
544,SEq,صعق,11
545,gmm,غمم,11
546,Twr,طور,11
547,Ayd,ايد,11
548,sHb,سحب,11
549,sbb,سبب,11
550,lgw,لغو,11
551,rDE,رضع,11
552,fAy,فاي,11
553,Enb,عنب,11
554,ymm,يمم,11
555,Hrb,حرب,11
556,gyZ,غيظ,11
557,Trf,طرف,11
558,zbr,زبر,11
559,qSr,قصر,11
560,TbE,طبع,11
561,Trq,طرق,11
562,jml,جمل,11
563,wrd,ورد,11
564,wkA,وكا,11
565,HSy,حصي,11
566,frr,فرر,11
567,$fq,شفق,11
568,dmw,دمو,10
569,qds,قدس,10
570,rjz,رجز,10
571,rEy,رعي,10
572,DyE,ضيع,10
573,nqS,نقص,10
574,swd,سود,10
575,zyl,زيل,10
576,Ezl,عزل,10
577,dfE,دفع,10
578,mAy,ماي,10
579,kfl,كفل,10
580,mlw,ملو,10
581,Twl,طول,10
582,sfl,سفل,10
583,jbr,جبر,10
584,rjs,رجس,10
585,Hyq,حيق,10
586,qhr,قهر,10
587,Etw,عتو,10
588,dmr,دمر,10
589,bT$,بطش,10
590,ASl,اصل,10
591,DHk,ضحك,10
592,rhq,رهق,10
593,zlf,زلف,10
594,jdd,جدد,10
595,tjr,تجر,9
596,nqD,نقض,9
597,*bH,ذبح,9
598,sbt,سبت,9
599,bqr,بقر,9
600,lwn,لون,9
601,Ekf,عكف,9
602,bvv,بثث,9
603,fyD,فيض,9
604,Ezm,عزم,9
605,qbD,قبض,9
606,brz,برز,9
607,nwm,نوم,9
608,Ewm,عوم,9
609,Hrq,حرق,9
610,zyg,زيغ,9
611,Ebr,عبر,9
612,fDD,فضض,9
613,xyl,خيل,9
614,dwm,دوم,9
615,Ewj,عوج,9
616,hmm,همم,9
617,whn,وهن,9
618,SEd,صعد,9
619,gnm,غنم,9
620,rmy,رمي,9
621,srq,سرق,9
622,wqr,وقر,9
623,Hly,حلي,9
624,Enq,عنق,9
625,knz,كنز,9
626,Erj,عرج,9
627,zny,زني,9
628,q*f,قذف,9
629,SHf,صحف,9
630,frj,فرج,9
631,xtm,ختم,8
632,hbT,هبط,8
633,SfH,صفح,8
634,brhn,برهن,8
635,rgb,رغب,8
636,klf,كلف,8
637,bht,بهت,8
638,wbl,وبل,8
639,slf,سلف,8
640,Eqr,عقر,8
641,xms,خمس,8
642,xwl,خول,8
643,Slb,صلب,8
644,frT,فرط,8
645,DrE,ضرع,8
646,sqT,سقط,8
647,xDr,خضر,8
648,lTf,لطف,8
649,Ey$,عيش,8
650,dll,دلل,8
651,Hjb,حجب,8
652,stt,ستت,8
653,rjf,رجف,8
654,gbr,غبر,8
655,qbr,قبر,8
656,sry,سري,8
657,trf,ترف,8
658,xsf,خسف,8
659,Swt,صوت,8
660,Emh,عمه,7
661,xTf,خطف,7
662,qsw,قسو,7
663,nsk,نسك,7
664,xmr,خمر,7
665,fyA,فيا,7
666,bEl,بعل,7
667,srH,سرح,7
668,Eqd,عقد,7
669,nSf,نصف,7
670,grf,غرف,7
671,bxs,بخس,7
672,Hbl,حبل,7
673,HZZ,حظظ,7
674,skr,سكر,7
675,brj,برج,7
676,Emd,عمد,7
677,Elq,علق,7
678,Asw,اسو,7
679,ndm,ندم,7
680,zyt,زيت,7
681,nwq,نوق,7
682,DHw,ضحو,7
683,nkv,نكث,7
684,dkk,دكك,7
685,bky,بكي,7
686,ESf,عصف,7
687,mwj,موج,7
688,bDE,بضع,7
689,wEy,وعي,7
690,mkv,مكث,7
691,tsE,تسع,7
692,DwA,ضوا,6
693,bkm,بكم,6
694,brq,برق,6
695,fr$,فرش,6
696,ndd,ندد,6
697,Hrf,حرف,6
698,Asr,اسر,6
699,krr,كرر,6
700,Ady,ادي,6
701,vqf,ثقف,6
702,HSr,حصر,6
703,zlzl,زلزل,6
704,xlT,خلط,6
705,frg,فرغ,6
706,Hmr,حمر,6
707,dAb,داب,6
708,Hss,حسس,6
709,drs,درس,6
710,Srr,صرر,6
711,kZm,كظم,6
712,lHq,لحق,6
713,sdd,سدد,6
714,mqt,مقت,6
715,myl,ميل,6
716,fxr,فخر,6
717,Syd,صيد,6
718,rdy,ردي,6
719,klb,كلب,6
720,Hbr,حبر,6
721,qSd,قصد,6
722,Hmy,حمي,6
723,*rA,ذرا,6
724,HSd,حصد,6
725,tbr,تبر,6
726,lwH,لوح,6
727,lHd,لحد,6
728,nzg,نزغ,6
729,rSd,رصد,6
730,$fy,شفي,6
731,wTA,وطا,6
732,grm,غرم,6
733,Dyf,ضيف,6
734,qmS,قمص,6
735,qnT,قنط,6
736,khf,كهف,6
737,zwr,زور,6
738,mhl,مهل,6
739,fzE,فزع,6
740,lAlA,لالا,6
741,mrj,مرج,6
742,HTm,حطم,6
743,zjr,زجر,6
744,kAs,كاس,6
745,xdE,خدع,5
746,Evw,عثو,5
747,mSr,مصر,5
748,nkl,نكل,5
749,Sfr,صفر,5
750,vwr,ثور,5
751,drA,درا,5
752,qfw,قفو,5
753,HrS,حرص,5
754,Hsd,حسد,5
755,sbT,سبط,5
756,wsT,وسط,5
757,$Tr,شطر,5
758,jwE,جوع,5
759,xTw,خطو,5
760,xnzr,خنزر,5
761,hll,هلل,5
762,kml,كمل,5
763,Ent,عنت,5
764,ksw,كسو,5
765,qtr,قتر,5
766,jwz,جوز,5
767,xwy,خوي,5
768,n$z,نشز,5
769,snbl,سنبل,5
770,ESr,عصر,5
771,lwy,لوي,5
772,nq*,نقذ,5
773,bgD,بغض,5
774,xyb,خيب,5
775,rEb,رعب,5
776,fwt,فوت,5
777,lyn,لين,5
778,rbT,ربط,5
779,sds,سدس,5
780,Emm,عمم,5
781,lms,لمس,5
782,Tms,طمس,5
783,rfq,رفق,5
784,mrd,مرد,5
785,HyS,حيص,5
786,$HH,شحح,5
787,$rE,شرع,5
788,myd,ميد,5
789,bls,بلس,5
790,Sdf,صدف,5
791,Trd,طرد,5
792,Snm,صنم,5
793,kwkb,كوكب,5
794,frd,فرد,5
795,qrf,قرف,5
796,xrS,خرص,5
797,$rH,شرح,5
798,wsws,وسوس,5
799,jvm,جثم,5
800,jlw,جلو,5
801,Asf,اسف,5
802,Hwt,حوت,5
803,wjl,وجل,5
804,gwv,غوث,5
805,mDy,مضي,5
806,qSw,قصو,5
807,*mm,ذمم,5
808,zhq,زهق,5
809,lzm,لزم,5
810,*rE,ذرع,5
811,ESb,عصب,5
812,qdd,قدد,5
813,qrE,قرع,5
814,Srx,صرخ,5
815,bwr,بور,5
816,qTr,قطر,5
817,$hb,شهب,5
818,SdE,صدع,5
819,Etb,عتب,5
820,nfd,نفد,5
821,HSb,حصب,5
822,ksf,كسف,5
823,vbr,ثبر,5
824,Ark,ارك,5
825,hzz,هزز,5
826,Twy,طوي,5
827,$tt,شتت,5
828,nsf,نسف,5
829,brd,برد,5
830,Sbb,صبب,5
831,dhn,دهن,5
832,wzE,وزع,5
833,fwj,فوج,5
834,zll,زلل,4
835,xsA,خسا,4
836,xSS,خصص,4
837,nsx,نسخ,4
838,hAt,هات,4
839,bdE,بدع,4
840,Twq,طوق,4
841,dlw,دلو,4
842,nsl,نسل,4
843,HyD,حيض,4
844,$wr,شور,4
845,Eff,عفف,4
846,qnTr,قنطر,4
847,Amd,امد,4
848,qlm,قلم,4
849,hyA,هيا,4
850,nml,نمل,4
851,f$l,فشل,4
852,fwr,فور,4
853,sxT,سخط,4
854,myz,ميز,4
855,hnA,هنا,4
856,sfH,سفح,4
857,wfq,وفق,4
858,gsl,غسل,4
859,msH,مسح,4
860,nqr,نقر,4
861,slH,سلح,4
862,qld,قلد,4
863,jrH,جرح,4
864,kEb,كعب,4
865,sHt,سحت,4
866,drr,درر,4
867,wqf,وقف,4
868,wrq,ورق,4
869,ybs,يبس,4
870,krb,كرب,4
871,Afl,افل,4
872,gmr,غمر,4
873,flq,فلق,4
874,wdE,ودع,4
875,xrq,خرق,4
876,zxrf,زخرف,4
877,lmm,لمم,4
878,dHr,دحر,4
879,smm,سمم,4
880,Tlb,طلب,4
881,nHt,نحت,4
882,jsd,جسد,4
883,nfl,نفل,4
884,rHb,رحب,4
885,gwr,غور,4
886,lmz,لمز,4
887,jdr,جدر,4
888,$An,شان,4
889,r*l,رذل,4
890,nSy,نصي,4
891,$yx,شيخ,4
892,mjd,مجد,4
893,rkn,ركن,4
894,sjl,سجل,4
895,tbb,تبب,4
896,swl,سول,4
897,smn,سمن,4
898,gyv,غيث,4
899,bwl,بول,4
900,jhz,جهز,4
901,rHl,رحل,4
902,srb,سرب,4
903,syl,سيل,4
904,zwl,زول,4
905,SlSl,صلصل,4
906,HmA,حما,4
907,xfD,خفض,4
908,sqf,سقف,4
909,dxr,دخر,4
910,Ejm,عجم,4
911,gsq,غسق,4
912,rqy,رقي,4
913,dHD,دحض,4
914,sfn,سفن,4
915,smr,سمر,4
916,Tfl,طفل,4
917,Eqm,عقم,4
918,ljj,لجج,4
919,gDD,غضض,4
920,Ewr,عور,4
921,rtl,رتل,4
922,srj,سرج,4
923,SrH,صرح,4
924,mhn,مهن,4
925,mzq,مزق,4
926,sdr,سدر,4
927,nEj,نعج,4
928,kwb,كوب,4
929,Tbq,طبق,4
930,rgd,رغد,3
931,slw,سلو,3
932,SbA,صبا,3
933,qrd,قرد,3
934,Sbg,صبغ,3
935,lfw,لفو,3
936,xyT,خيط,3
937,Hlq,حلق,3
938,hzm,هزم,3
939,Erw,عرو,3
940,jzA,جزا,3
941,sAm,سام,3
942,rhn,رهن,3
943,ASr,اصر,3
944,kbt,كبت,3
945,qrH,قرح,3
946,DjE,ضجع,3
947,x*l,خذل,3
948,ftl,فتل,3
949,HrD,حرض,3
950,nkf,نكف,3
951,bhm,بهم,3
952,$nA,شنا,3
953,nqb,نقب,3
954,Ezr,عزر,3
955,ftr,فتر,3
956,Anf,انف,3
957,TfA,طفا,3
958,nAy,ناي,3
959,rmn,رمن,3
960,Abl,ابل,3
961,Tfq,طفق,3
962,lqf,لقف,3
963,slx,سلخ,3
964,mtn,متن,3
965,Hfw,حفو,3
966,rdf,ردف,3
967,rkm,ركم,3
968,syH,سيح,3
969,ljA,لجا,3
970,Ass,اسس,3
971,ZmA,ظما,3
972,lft,لفت,3
973,xbt,خبت,3
974,wjs,وجس,3
975,nDd,نضد,3
976,rhT,رهط,3
977,zfr,زفر,3
978,*Ab,ذاب,3
979,Sbw,صبو,3
980,Dgv,ضغث,3
981,Hwj,حوج,3
982,Eyr,عير,3
983,fqd,فقد,3
984,brH,برح,3
985,$kw,شكو,3
986,zjw,زجو,3
987,zbd,زبد,3
988,mHw,محو,3
989,swg,سوغ,3
990,hTE,هطع,3
991,srbl,سربل,3
992,jAr,جار,3
993,Aff,افف,3
994,b*r,بذر,3
995,mrH,مرح,3
996,str,ستر,3
997,fzz,فزز,3
998,lff,لفف,3
999,*qn,ذقن,3
1000,xft,خفت,3
1001,rqm,رقم,3
1002,$TT,شطط,3
1003,wSd,وصد,3
1004,*rw,ذرو,3
1005,Sxr,صخر,3
1006,$yb,شيب,3
1007,j*E,جذع,3
1008,jvw,جثو,3
1009,qbs,قبس,3
1010,Ery,عري,3
1011,rkD,ركض,3
1012,fjj,فجج,3
1013,nks,نكس,3
1014,mDg,مضغ,3
1015,bhj,بهج,3
1016,wvn,وثن,3
1017,sll,سلل,3
1018,wtr,وتر,3
1019,hmz,همز,3
1020,nsb,نسب,3
1021,jyb,جيب,3
1022,nvr,نثر,3
1023,frt,فرت,3
1024,Ajj,اجج,3
1025,$Hn,شحن,3
1026,Hdq,حدق,3
1027,jdv,جدث,3
1028,l**,لذذ,3
1029,zqm,زقم,3
1030,rwg,روغ,3
1031,wtd,وتد,3
1032,kwr,كور,3
1033,Azf,ازف,3
1034,slsl,سلسل,3
1035,sjr,سجر,3
1036,SrSr,صرصر,3
1037,nHs,نحس,3
1038,Afq,افق,3
1039,mwr,مور,3
1040,dEE,دعع,3
1041,nf*,نفذ,3
1042,$Am,شام,3
1043,vll,ثلل,3
1044,fsH,فسح,3
1045,Srm,صرم,3
1046,HDD,حضض,3
1047,Ebs,عبس,3
1048,nDr,نضر,3
1049,mzj,مزج,3
1050,lhb,لهب,3
1051,rEd,رعد,2
1052,SbE,صبع,2
1053,sfk,سفك,2
1054,HTT,حطط,2
1055,glf,غلف,2
1056,zHzH,زحزح,2
1057,xrb,خرب,2
1058,jnf,جنف,2
1059,rfv,رفث,2
1060,zwd,زود,2
1061,ldd,لدد,2
1062,Amw,امو,2
1063,EDl,عضل,2
1064,jsm,جسم,2
1065,krs,كرس,2
1066,mHq,محق,2
1067,rsx,رسخ,2
1068,khl,كهل,2
1069,kmh,كمه,2
1070,brS,برص,2
1071,$fw,شفو,2
1072,Hfr,حفر,2
1073,xbl,خبل,2
1074,EDD,عضض,2
1075,dwl,دول,2
1076,mHS,محص,2
1077,kyn,كين,2
1078,nEs,نعس,2
1079,nHl,نحل,2
1080,xdn,خدن,2
1081,gwT,غوط,2
1082,TEn,طعن,2
1083,$yd,شيد,2
1084,qwt,قوت,2
1085,rks,ركس,2
1086,Hw*,حوذ,2
1087,ksl,كسل,2
1088,glw,غلو,2
1089,zlm,زلم,2
1090,xmS,خمص,2
1091,grw,غرو,2
1092,wsl,وسل,2
1093,hmn,همن,2
1094,dmE,دمع,2
1095,Hbs,حبس,2
1096,Evr,عثر,2
1097,qrTs,قرطس,2
1098,rTb,رطب,2
1099,bsl,بسل,2
1100,bzg,بزغ,2
1101,qdw,قدو,2
1102,Sgw,صغو,2
1103,Zfr,ظفر,2
1104,Hwy,حوي,2
1105,mlq,ملق,2
1106,qyl,قيل,2
1107,xSf,خصف,2
1108,vEb,ثعب,2
1109,jrd,جرد,2
1110,xwr,خور,2
1111,lhv,لهث,2
1112,nSt,نصت,2
1113,bnn,بنن,2
1114,Sdy,صدي,2
1115,bTr,بطر,2
1116,nkS,نكص,2
1117,vxn,ثخن,2
1118,All,الل,2
1119,Eyl,عيل,2
1120,nsA,نسا,2
1121,hwr,هور,2
1122,Awh,اوه,2
1123,Ezb,عزب,2
1124,bdn,بدن,2
1125,gyD,غيض,2
1126,hrE,هرع,2
1127,rfd,رفد,2
1128,sEd,سعد,2
1129,$hq,شهق,2
1130,j**,جذذ,2
1131,jbb,جبب,2
1132,lqT,لقط,2
1133,Hw$,حوش,2
1134,Ejf,عجف,2
1135,bEr,بعر,2
1136,Snw,صنو,2
1137,jzE,جزع,2
1138,$xS,شخص,2
1139,qnE,قنع,2
1140,Sfd,صفد,2
1141,Aml,امل,2
1142,wsm,وسم,2
1143,Trw,طرو,2
1144,mxr,مخر,2
1145,wSb,وصب,2
1146,lbn,لبن,2
1147,lmH,لمح,2
1148,Avv,اثث,2
1149,HZr,حظر,2
1150,klw,كلو,2
1151,qsTs,قسطس,2
1152,rft,رفت,2
1153,jlb,جلب,2
1154,twr,تور,2
1155,$kl,شكل,2
1156,nbE,نبع,2
1157,bxE,بخع,2
