surah,verse,surah_type,addressees,arabic,english
3,64,medinan,O_People_of_Book,قل يا أهل الكتاب تعالوا إلى كلمة سواء بيننا وبينكم ألا نعبد إلا الله ولا نشرك به شيئا ولا يتخذ بعضنا بعضا أربابا من دون الله ۚ فإن تولوا فقولوا اشهدوا بأنا مسلمون,"Say, ""O People of the Scripture, come to a word that is equitable between us and you - that we will not worship except Allah and not associate anything with Him and not take one another as lords instead of Allah."" But if they turn away, then say, ""Bear witness that we are Muslims [submitting to Him]."""
3,65,medinan,O_People_of_Book,يا أهل الكتاب لم تحاجون في إبراهيم وما أنزلت التوراة والإنجيل إلا من بعده ۚ أفلا تعقلون,"O People of the Scripture, why do you argue about Abraham while the Torah and the Gospel were not revealed until after him? Then will you not reason?"
3,70,medinan,O_People_of_Book,يا أهل الكتاب لم تكفرون بآيات الله وأنتم تشهدون,"O People of the Scripture, why do you disbelieve in the verses of Allah while you witness [to their truth]?"
3,71,medinan,O_People_of_Book,يا أهل الكتاب لم تلبسون الحق بالباطل وتكتمون الحق وأنتم تعلمون,"O People of the Scripture, why do you confuse the truth with falsehood and conceal the truth while you know [it]?"
3,98,medinan,O_People_of_Book,قل يا أهل الكتاب لم تكفرون بآيات الله والله شهيد على ما تعملون,"Say, ""O People of the Scripture, why do you disbelieve in the verses of Allah while Allah is Witness over what you do?"""
3,99,medinan,O_People_of_Book,قل يا أهل الكتاب لم تصدون عن سبيل الله من آمن تبغونها عوجا وأنتم شهداء ۗ وما الله بغافل عما تعملون,"Say, ""O People of the Scripture, why do you avert from the way of Allah those who believe, seeking to make it [seem] deviant, while you are witnesses [to the truth]? And Allah is not unaware of what you do."""
3,100,medinan,O_believers,يا أيها الذين آمنوا إن تطيعوا فريقا من الذين أوتوا الكتاب يردوكم بعد إيمانكم كافرين,"O you who have believed, if you obey a party of those who were given the Scripture, they would turn you back, after your belief, [to being] unbelievers."
3,102,medinan,O_believers,يا أيها الذين آمنوا اتقوا الله حق تقاته ولا تموتن إلا وأنتم مسلمون,"O you who have believed, fear Allah as He should be feared and do not die except as Muslims [in submission to Him]."
3,118,medinan,O_believers,يا أيها الذين آمنوا لا تتخذوا بطانة من دونكم لا يألونكم خبالا ودوا ما عنتم قد بدت البغضاء من أفواههم وما تخفي صدورهم أكبر ۚ قد بينا لكم الآيات ۖ إن كنتم تعقلون,"O you who have believed, do not take as intimates those other than yourselves, for they will not spare you [any] ruin. They wish you would have hardship. Hatred has already appeared from their mouths, and what their breasts conceal is greater. We have certainly made clear to you the signs, if you will use reason."
3,130,medinan,O_believers,يا أيها الذين آمنوا لا تأكلوا الربا أضعافا مضاعفة ۖ واتقوا الله لعلكم تفلحون,"O you who have believed, do not consume usury, doubled and multiplied, but fear Allah that you may be successful."
3,149,medinan,O_believers,يا أيها الذين آمنوا إن تطيعوا الذين كفروا يردوكم على أعقابكم فتنقلبوا خاسرين,"O you who have believed, if you obey those who disbelieve, they will turn you back on your heels, and you will [then] become losers."
3,156,medinan,O_believers,يا أيها الذين آمنوا لا تكونوا كالذين كفروا وقالوا لإخوانهم إذا ضربوا في الأرض أو كانوا غزى لو كانوا عندنا ما ماتوا وما قتلوا ليجعل الله ذلك حسرة في قلوبهم ۗ والله يحيي ويميت ۗ والله بما تعملون بصير,"O you who have believed, do not be like those who disbelieved and said about their brothers when they traveled through the land or went out to fight, ""If they had been with us, they would not have died or have been killed,"" so Allah makes that [misconception] a regret within their hearts. And it is Allah who gives life and causes death, and Allah is Seeing of what you do."
3,200,medinan,O_believers,يا أيها الذين آمنوا اصبروا وصابروا ورابطوا واتقوا الله لعلكم تفلحون,"O you who have believed, persevere and endure and remain stationed and fear Allah that you may be successful."
4,1,medinan,O_people,يا أيها الناس اتقوا ربكم الذي خلقكم من نفس واحدة وخلق منها زوجها وبث منهما رجالا كثيرا ونساء ۚ واتقوا الله الذي تساءلون به والأرحام ۚ إن الله كان عليكم رقيبا,"O mankind, fear your Lord, who created you from one soul and created from it its mate and dispersed from both of them many men and women. And fear Allah, through whom you ask one another, and the wombs. Indeed Allah is ever, over you, an Observer."
4,19,medinan,O_believers,يا أيها الذين آمنوا لا يحل لكم أن ترثوا النساء كرها ۖ ولا تعضلوهن لتذهبوا ببعض ما آتيتموهن إلا أن يأتين بفاحشة مبينة ۚ وعاشروهن بالمعروف ۚ فإن كرهتموهن فعسى أن تكرهوا شيئا ويجعل الله فيه خيرا كثيرا,"O you who have believed, it is not lawful for you to inherit women by compulsion. And do not make difficulties for them in order to take [back] part of what you gave them unless they commit a clear immorality. And live with them in kindness. For if you dislike them - perhaps you dislike a thing and Allah makes therein much good."
4,29,medinan,O_believers,يا أيها الذين آمنوا لا تأكلوا أموالكم بينكم بالباطل إلا أن تكون تجارة عن تراض منكم ۚ ولا تقتلوا أنفسكم ۚ إن الله كان بكم رحيما,"O you who have believed, do not consume one another's wealth unjustly but only [in lawful] business by mutual consent. And do not kill yourselves [or one another]. Indeed, Allah is to you ever Merciful."
4,43,medinan,O_believers,يا أيها الذين آمنوا لا تقربوا الصلاة وأنتم سكارى حتى تعلموا ما تقولون ولا جنبا إلا عابري سبيل حتى تغتسلوا ۚ وإن كنتم مرضى أو على سفر أو جاء أحد منكم من الغائط أو لامستم النساء فلم تجدوا ماء فتيمموا صعيدا طيبا فامسحوا بوجوهكم وأيديكم ۗ إن الله كان عفوا غفورا,"O you who have believed, do not approach prayer while you are intoxicated until you know what you are saying or in a state of janabah, except those passing through [a place of prayer], until you have washed [your whole body]. And if you are ill or on a journey or one of you comes from the place of relieving himself or you have contacted women and find no water, then seek clean earth and wipe over your faces and your hands [with it]. Indeed, Allah is ever Pardoning and Forgiving."
4,59,medinan,O_believers,يا أيها الذين آمنوا أطيعوا الله وأطيعوا الرسول وأولي الأمر منكم ۖ فإن تنازعتم في شيء فردوه إلى الله والرسول إن كنتم تؤمنون بالله واليوم الآخر ۚ ذلك خير وأحسن تأويلا,"O you who have believed, obey Allah and obey the Messenger and those in authority among you. And if you disagree over anything, refer it to Allah and the Messenger, if you should believe in Allah and the Last Day. That is the best [way] and best in result."
4,71,medinan,O_believers,يا أيها الذين آمنوا خذوا حذركم فانفروا ثبات أو انفروا جميعا,"O you who have believed, take your precaution and [either] go forth in companies or go forth all together."
4,73,medinan,O_would_that_LAMENT,ولئن أصابكم فضل من الله ليقولن كأن لم تكن بينكم وبينه مودة يا ليتني كنت معهم فأفوز فوزا عظيما,"But if bounty comes to you from Allah, he will surely say, as if there had never been between you and him any affection. ""Oh, I wish I had been with them so I could have attained a great attainment."""
4,94,medinan,O_believers,يا أيها الذين آمنوا إذا ضربتم في سبيل الله فتبينوا ولا تقولوا لمن ألقى إليكم السلام لست مؤمنا تبتغون عرض الحياة الدنيا فعند الله مغانم كثيرة ۚ كذلك كنتم من قبل فمن الله عليكم فتبينوا ۚ إن الله كان بما تعملون خبيرا,"O you who have believed, when you go forth [to fight] in the cause of Allah, investigate; and do not say to one who gives you [a greeting of] peace ""You are not a believer,"" aspiring for the goods of worldly life; for with Allah are many acquisitions. You [yourselves] were like that before; then Allah conferred His favor upon you, so investigate. Indeed Allah is ever, with what you do, Acquainted."
4,135,medinan,O_believers,۞ يا أيها الذين آمنوا كونوا قوامين بالقسط شهداء لله ولو على أنفسكم أو الوالدين والأقربين ۚ إن يكن غنيا أو فقيرا فالله أولى بهما ۖ فلا تتبعوا الهوى أن تعدلوا ۚ وإن تلووا أو تعرضوا فإن الله كان بما تعملون خبيرا,"O you who have believed, be persistently standing firm in justice, witnesses for Allah, even if it be against yourselves or parents and relatives. Whether one is rich or poor, Allah is more worthy of both. So follow not [personal] inclination, lest you not be just. And if you distort [your testimony] or refuse [to give it], then indeed Allah is ever, with what you do, Acquainted."
4,136,medinan,O_believers,يا أيها الذين آمنوا آمنوا بالله ورسوله والكتاب الذي نزل على رسوله والكتاب الذي أنزل من قبل ۚ ومن يكفر بالله وملائكته وكتبه ورسله واليوم الآخر فقد ضل ضلالا بعيدا,"O you who have believed, believe in Allah and His Messenger and the Book that He sent down upon His Messenger and the Scripture which He sent down before. And whoever disbelieves in Allah, His angels, His books, His messengers, and the Last Day has certainly gone far astray."
4,144,medinan,O_believers,يا أيها الذين آمنوا لا تتخذوا الكافرين أولياء من دون المؤمنين ۚ أتريدون أن تجعلوا لله عليكم سلطانا مبينا,"O you who have believed, do not take the disbelievers as allies instead of the believers. Do you wish to give Allah against yourselves a clear case?"
4,170,medinan,O_people,يا أيها الناس قد جاءكم الرسول بالحق من ربكم فآمنوا خيرا لكم ۚ وإن تكفروا فإن لله ما في السماوات والأرض ۚ وكان الله عليما حكيما,"O Mankind, the Messenger has come to you with the truth from your Lord, so believe; it is better for you. But if you disbelieve - then indeed, to Allah belongs whatever is in the heavens and earth. And ever is Allah Knowing and Wise."
4,171,medinan,O_People_of_Book,يا أهل الكتاب لا تغلوا في دينكم ولا تقولوا على الله إلا الحق ۚ إنما المسيح عيسى ابن مريم رسول الله وكلمته ألقاها إلى مريم وروح منه ۖ فآمنوا بالله ورسله ۖ ولا تقولوا ثلاثة ۚ انتهوا خيرا لكم ۚ إنما الله إله واحد ۖ سبحانه أن يكون له ولد ۘ له ما في السماوات وما في الأرض ۗ وكفى بالله وكيلا,"O People of the Scripture, do not commit excess in your religion or say about Allah except the truth. The Messiah, Jesus, the son of Mary, was but a messenger of Allah and His word which He directed to Mary and a soul [created at a command] from Him. So believe in Allah and His messengers. And do not say, ""Three""; desist - it is better for you. Indeed, Allah is but one God. Exalted is He above having a son. To Him belongs whatever is in the heavens and whatever is on the earth. And sufficient is Allah as Disposer of affairs."
4,174,medinan,O_people,يا أيها الناس قد جاءكم برهان من ربكم وأنزلنا إليكم نورا مبينا,"O mankind, there has come to you a conclusive proof from your Lord, and We have sent down to you a clear light."
5,1,medinan,O_believers,يا أيها الذين آمنوا أوفوا بالعقود ۚ أحلت لكم بهيمة الأنعام إلا ما يتلى عليكم غير محلي الصيد وأنتم حرم ۗ إن الله يحكم ما يريد,"O you who have believed, fulfill [all] contracts. Lawful for you are the animals of grazing livestock except for that which is recited to you [in this Qur'an] - hunting not being permitted while you are in the state of ihram. Indeed, Allah ordains what He intends."
5,2,medinan,O_believers,يا أيها الذين آمنوا لا تحلوا شعائر الله ولا الشهر الحرام ولا الهدي ولا القلائد ولا آمين البيت الحرام يبتغون فضلا من ربهم ورضوانا ۚ وإذا حللتم فاصطادوا ۚ ولا يجرمنكم شنآن قوم أن صدوكم عن المسجد الحرام أن تعتدوا ۘ وتعاونوا على البر والتقوى ۖ ولا تعاونوا على الإثم والعدوان ۚ واتقوا الله ۖ إن الله شديد العقاب,"O you who have believed, do not violate the rites of Allah or [the sanctity of] the sacred month or [neglect the marking of] the sacrificial animals and garlanding [them] or [violate the safety of] those coming to the Sacred House seeking bounty from their Lord and [His] approval. But when you come out of ihram, then [you may] hunt. And do not let the hatred of a people for having obstructed you from al-Masjid al-Haram lead you to transgress. And cooperate in righteousness and piety, but do not cooperate in sin and aggression. And fear Allah; indeed, Allah is severe in penalty."
5,6,medinan,O_believers,يا أيها الذين آمنوا إذا قمتم إلى الصلاة فاغسلوا وجوهكم وأيديكم إلى المرافق وامسحوا برءوسكم وأرجلكم إلى الكعبين ۚ وإن كنتم جنبا فاطهروا ۚ وإن كنتم مرضى أو على سفر أو جاء أحد منكم من الغائط أو لامستم النساء فلم تجدوا ماء فتيمموا صعيدا طيبا فامسحوا بوجوهكم وأيديكم منه ۚ ما يريد الله ليجعل عليكم من حرج ولكن يريد ليطهركم وليتم نعمته عليكم لعلكم تشكرون,"O you who have believed, when you rise to [perform] prayer, wash your faces and your forearms to the elbows and wipe over your heads and wash your feet to the ankles. And if you are in a state of janabah, then purify yourselves. But if you are ill or on a journey or one of you comes from the place of relieving himself or you have contacted women and do not find water, then seek clean earth and wipe over your faces and hands with it. Allah does not intend to make difficulty for you, but He intends to purify you and complete His favor upon you that you may be grateful."
5,8,medinan,O_believers,يا أيها الذين آمنوا كونوا قوامين لله شهداء بالقسط ۖ ولا يجرمنكم شنآن قوم على ألا تعدلوا ۚ اعدلوا هو أقرب للتقوى ۖ واتقوا الله ۚ إن الله خبير بما تعملون,"O you who have believed, be persistently standing firm for Allah, witnesses in justice, and do not let the hatred of a people prevent you from being just. Be just; that is nearer to righteousness. And fear Allah; indeed, Allah is Acquainted with what you do."
5,11,medinan,O_believers,يا أيها الذين آمنوا اذكروا نعمت الله عليكم إذ هم قوم أن يبسطوا إليكم أيديهم فكف أيديهم عنكم ۖ واتقوا الله ۚ وعلى الله فليتوكل المؤمنون,"O you who have believed, remember the favor of Allah upon you when a people determined to extend their hands [in aggression] against you, but He withheld their hands from you; and fear Allah. And upon Allah let the believers rely."
5,15,medinan,O_People_of_Book,يا أهل الكتاب قد جاءكم رسولنا يبين لكم كثيرا مما كنتم تخفون من الكتاب ويعفو عن كثير ۚ قد جاءكم من الله نور وكتاب مبين,"O People of the Scripture, there has come to you Our Messenger making clear to you much of what you used to conceal of the Scripture and overlooking much. There has come to you from Allah a light and a clear Book."
5,19,medinan,O_People_of_Book,يا أهل الكتاب قد جاءكم رسولنا يبين لكم على فترة من الرسل أن تقولوا ما جاءنا من بشير ولا نذير ۖ فقد جاءكم بشير ونذير ۗ والله على كل شيء قدير,"O People of the Scripture, there has come to you Our Messenger to make clear to you [the religion] after a period [of suspension] of messengers, lest you say, ""There came not to us any bringer of good tidings or a warner."" But there has come to you a bringer of good tidings and a warner. And Allah is over all things competent."
5,20,medinan,O_my_people,وإذ قال موسى لقومه يا قوم اذكروا نعمة الله عليكم إذ جعل فيكم أنبياء وجعلكم ملوكا وآتاكم ما لم يؤت أحدا من العالمين,"And [mention, O Muhammad], when Moses said to his people, ""O my people, remember the favor of Allah upon you when He appointed among you prophets and made you possessors and gave you that which He had not given anyone among the worlds."
5,21,medinan,O_my_people,يا قوم ادخلوا الأرض المقدسة التي كتب الله لكم ولا ترتدوا على أدباركم فتنقلبوا خاسرين,"O my people, enter the Holy Land which Allah has assigned to you and do not turn back [from fighting in Allah 's cause] and [thus] become losers."""
5,22,medinan,O_Moses,قالوا يا موسى إن فيها قوما جبارين وإنا لن ندخلها حتى يخرجوا منها فإن يخرجوا منها فإنا داخلون,"They said, ""O Moses, indeed within it is a people of tyrannical strength, and indeed, we will never enter it until they leave it; but if they leave it, then we will enter."""
5,24,medinan,O_Moses,قالوا يا موسى إنا لن ندخلها أبدا ما داموا فيها ۖ فاذهب أنت وربك فقاتلا إنا هاهنا قاعدون,"They said, ""O Moses, indeed we will not enter it, ever, as long as they are within it; so go, you and your Lord, and fight. Indeed, we are remaining right here."""
5,31,medinan,O_woe_LAMENT,فبعث الله غرابا يبحث في الأرض ليريه كيف يواري سوءة أخيه ۚ قال يا ويلتا أعجزت أن أكون مثل هذا الغراب فأواري سوءة أخي ۖ فأصبح من النادمين,"Then Allah sent a crow searching in the ground to show him how to hide the disgrace of his brother. He said, ""O woe to me! Have I failed to be like this crow and hide the body of my brother?"" And he became of the regretful."
5,35,medinan,O_believers,يا أيها الذين آمنوا اتقوا الله وابتغوا إليه الوسيلة وجاهدوا في سبيله لعلكم تفلحون,"O you who have believed, fear Allah and seek the means [of nearness] to Him and strive in His cause that you may succeed."
