count,kind,item_buck,item_arabic,pos_summary,sample_translations
42,root,bHr,بحر,,"And [recall] when We parted the sea for you and saved you and drowned the people of Pharaoh while you were looking on. || Indeed, in the creation of the heavens and earth, and the alternation of the night and the day, and the [great] ships which sail through the sea with that which benefits people, "
42,root,qwy,قوي,,"And [recall] when We took your covenant, [O Children of Israel, to abide by the Torah] and We raised over you the mount, [saying], ""Take what We have given you with determination and remember what is in it that perhaps you may become righteous."" || And [recall] when We took your covenant and raised "
42,root,sxr,سخر,,"Indeed, in the creation of the heavens and earth, and the alternation of the night and the day, and the [great] ships which sail through the sea with that which benefits people, and what Allah has sent down from the heavens of rain, giving life thereby to the earth after its lifelessness and dispers"
42,root,Sdd,صدد,,"They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great [sin], but averting [people] from the way of Allah and disbelief in Him and [preventing access to] al-Masjid al-Haram and the expulsion of its people therefrom are greater [evil] in the sight of Allah. And "
41,lemma,fawoq,فَوْق,"N:25,LOC:16","Indeed, Allah is not timid to present an example - that of a mosquito or what is smaller than it. And those who have believed know that it is the truth from their Lord. But as for those who disbelieve, they say, ""What did Allah intend by this as an example?"" He misleads many thereby and guides many "
41,lemma,Eal~ama,عَلَّمَ,V:41,"And He taught Adam the names - all of them. Then He showed them to the angels and said, ""Inform Me of the names of these, if you are truthful."" || They said, ""Exalted are You; we have no knowledge except what You have taught us. Indeed, it is You who is the Knowing, the Wise."""
41,lemma,suboHa`n,سُبْحَٰن,N:41,"They said, ""Exalted are You; we have no knowledge except what You have taught us. Indeed, it is You who is the Knowing, the Wise."" || They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whatever is in the heavens and the earth. All are devoutly obedient to Him,"
41,lemma,baHor,بَحْر,N:41,"And [recall] when We parted the sea for you and saved you and drowned the people of Pharaoh while you were looking on. || Indeed, in the creation of the heavens and earth, and the alternation of the night and the day, and the [great] ships which sail through the sea with that which benefits people, "
41,lemma,Hamala,حَمَلَ,V:41,"And their prophet said to them, ""Indeed, a sign of his kingship is that the chest will come to you in which is assurance from your Lord and a remnant of what the family of Moses and the family of Aaron had left, carried by the angels. Indeed in that is a sign for you, if you are believers."" || Allah"
41,lemma,Ea*~aba,عَذَّبَ,V:41,"To Allah belongs whatever is in the heavens and whatever is in the earth. Whether you show what is within yourselves or conceal it, Allah will bring you to account for it. Then He will forgive whom He wills and punish whom He wills, and Allah is over all things competent. || And as for those who dis"
41,root,lEn,لعن,,"And they said, ""Our hearts are wrapped."" But, [in fact], Allah has cursed them for their disbelief, so little is it that they believe. || And when there came to them a Book from Allah confirming that which was with them - although before they used to pray for victory against those who disbelieved - "
41,root,Twf,طوف,,"And [mention] when We made the House a place of return for the people and [a place of] security. And take, [O believers], from the standing place of Abraham a place of prayer. And We charged Abraham and Ishmael, [saying], ""Purify My House for those who perform Tawaf and those who are staying [there]"
41,root,krh,كره,,"Fighting has been enjoined upon you while it is hateful to you. But perhaps you hate a thing and it is good for you; and perhaps you love a thing and it is bad for you. And Allah Knows, while you know not. || Fighting has been enjoined upon you while it is hateful to you. But perhaps you hate a thin"
41,root,jhd,جهد,,"Indeed, those who have believed and those who have emigrated and fought in the cause of Allah - those expect the mercy of Allah. And Allah is Forgiving and Merciful. || Or do you think that you will enter Paradise while Allah has not yet made evident those of you who fight in His cause and made evid"
41,root,jbl,جبل,,"And [mention] when Abraham said, ""My Lord, show me how You give life to the dead."" [Allah] said, ""Have you not believed?"" He said, ""Yes, but [I ask] only that my heart may be satisfied."" [Allah] said, ""Take four birds and commit them to yourself. Then [after slaughtering them] put on each hill a por"
40,lemma,taraka,تَرَكَ,V:40,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see. || Prescribed for you when death approaches [any] one of you if he leaves wealth [is that he should make] a bequest for the par"
40,lemma,{sotakobara,ٱسْتَكْبَرَ,V:40,"And [mention] when We said to the angels, ""Prostrate before Adam""; so they prostrated, except for Iblees. He refused and was arrogant and became of the disbelievers. || And We did certainly give Moses the Torah and followed up after him with messengers. And We gave Jesus, the son of Mary, clear proo"
40,lemma,{hotadaY`,ٱهْتَدَىٰ,V:40,"And [recall] when We gave Moses the Scripture and criterion that perhaps you would be guided. || They say, ""Be Jews or Christians [so] you will be guided."" Say, ""Rather, [we follow] the religion of Abraham, inclining toward truth, and he was not of the polytheists."""
40,lemma,>arayo,أَرَيْ,V:40,"So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows you His signs that you might reason. || Our Lord, and make us Muslims [in submission] to You and from our descendants a Muslim nation [in submission] to You. And show us our rites and accept our"
40,lemma,wayol,وَيْل,N:40,"So woe to those who write the ""scripture"" with their own hands, then say, ""This is from Allah,"" in order to exchange it for a small price. Woe to them for what their hands have written and woe to them for what they earn. || So woe to those who write the ""scripture"" with their own hands, then say, ""T"
40,lemma,bi}osa,بِئْسَ,V:40,How wretched is that for which they sold themselves - that they would disbelieve in what Allah has revealed through [their] outrage that Allah would send down His favor upon whom He wills from among His servants. So they returned having [earned] wrath upon wrath. And for the disbelievers is a humili
40,lemma,xa$iYa,خَشِىَ,V:40,"And from wherever you go out [for prayer], turn your face toward al-Masjid al-Haram. And wherever you [believers] may be, turn your faces toward it in order that the people will not have any argument against you, except for those of them who commit wrong; so fear them not but fear Me. And [it is] so"
40,lemma,balaga,بَلَغَ,V:40,"And complete the Hajj and 'umrah for Allah. But if you are prevented, then [offer] what can be obtained with ease of sacrificial animals. And do not shave your heads until the sacrificial animal has reached its place of slaughter. And whoever among you is ill or has an ailment of the head [making sh"
40,lemma,{sotagofara,ٱسْتَغْفَرَ,V:40,"Then depart from the place from where [all] the people depart and ask forgiveness of Allah. Indeed, Allah is Forgiving and Merciful. || And those who, when they commit an immorality or wrong themselves [by transgression], remember Allah and seek forgiveness for their sins - and who can forgive sins "
40,lemma,kabiyr,كَبِير,"ADJ:32,N:8","They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great [sin], but averting [people] from the way of Allah and disbelief in Him and [preventing access to] al-Masjid al-Haram and the expulsion of its people therefrom are greater [evil] in the sight of Allah. And "
40,lemma,tawak~alo,تَوَكَّلْ,V:40,"When two parties among you were about to lose courage, but Allah was their ally; and upon Allah the believers should rely. || So by mercy from Allah, [O Muhammad], you were lenient with them. And if you had been rude [in speech] and harsh in heart, they would have disbanded from about you. So pardon"
40,lemma,$ariyk,شَرِيك,N:40,"And for you is half of what your wives leave if they have no child. But if they have a child, for you is one fourth of what they leave, after any bequest they [may have] made or debt. And for the wives is one fourth if you leave no child. But if you leave a child, then for them is an eighth of what "
40,root,flH,فلح,,"Those are upon [right] guidance from their Lord, and it is those who are the successful. || They ask you, [O Muhammad], about the new moons. Say, ""They are measurements of time for the people and for Hajj."" And it is not righteousness to enter houses from the back, but righteousness is [in] one who "
40,root,$Er,شعر,,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not. || Unquestionably, it is they who are the corrupters, but they perceive [it] not."
40,root,mlA,ملا,,"Have you not considered the assembly of the Children of Israel after [the time of] Moses when they said to a prophet of theirs, ""Send to us a king, and we will fight in the way of Allah ""? He said, ""Would you perhaps refrain from fighting if fighting was prescribed for you?"" They said, ""And why shou"
39,lemma,{som,ٱسْم,N:39,"In the name of Allah, the Entirely Merciful, the Especially Merciful. || And He taught Adam the names - all of them. Then He showed them to the angels and said, ""Inform Me of the names of these, if you are truthful."""
39,lemma,>alaA^,أَلَا^,INC:39,"Unquestionably, it is they who are the corrupters, but they perceive [it] not. || And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not."
39,lemma,<i*on,إِذْن,N:39,"Say, ""Whoever is an enemy to Gabriel - it is [none but] he who has brought the Qur'an down upon your heart, [O Muhammad], by permission of Allah, confirming that which was before it and as guidance and good tidings for the believers."" || And they followed [instead] what the devils had recited during"
39,lemma,musolim,مُسْلِم,"N:24,PN:14,ADJ:1","Our Lord, and make us Muslims [in submission] to You and from our descendants a Muslim nation [in submission] to You. And show us our rites and accept our repentance. Indeed, You are the Accepting of repentance, the Merciful. || And Abraham instructed his sons [to do the same] and [so did] Jacob, [s"
39,lemma,m~aAta,مَّاتَ,V:39,"And Abraham instructed his sons [to do the same] and [so did] Jacob, [saying], ""O my sons, indeed Allah has chosen for you this religion, so do not die except while you are Muslims."" || Indeed, those who disbelieve and die while they are disbelievers - upon them will be the curse of Allah and of the"
39,lemma,Har~ama,حَرَّمَ,V:39,"He has only forbidden to you dead animals, blood, the flesh of swine, and that which has been dedicated to other than Allah. But whoever is forced [by necessity], neither desiring [it] nor transgressing [its limit], there is no sin upon him. Indeed, Allah is Forgiving and Merciful. || Those who cons"
39,lemma,HisaAb,حِسَاب,"N:38,ADJ:1","Those will have a share of what they have earned, and Allah is swift in account. || Beautified for those who disbelieve is the life of this world, and they ridicule those who believe. But those who fear Allah are above them on the Day of Resurrection. And Allah gives provision to whom He wills witho"
39,lemma,jabal,جَبَل,N:39,"And [mention] when Abraham said, ""My Lord, show me how You give life to the dead."" [Allah] said, ""Have you not believed?"" He said, ""Yes, but [I ask] only that my heart may be satisfied."" [Allah] said, ""Take four birds and commit them to yourself. Then [after slaughtering them] put on each hill a por"
39,root,Tgy,طغي,,[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly. || There shall be no compulsion in [acceptance of] the religion. The right course has become clear from the wrong. So whoever disbelieves in Taghut and believes in Allah has grasped the most trustworthy hand
39,root,$rb,شرب,,"And [recall] when Moses prayed for water for his people, so We said, ""Strike with your staff the stone."" And there gushed forth from it twelve springs, and every people knew its watering place. ""Eat and drink from the provision of Allah, and do not commit abuse on the earth, spreading corruption."" |"
39,root,*nb,ذنب,,"[Theirs is] like the custom of the people of Pharaoh and those before them. They denied Our signs, so Allah seized them for their sins. And Allah is severe in penalty. || Those who say, ""Our Lord, indeed we have believed, so forgive us our sins and protect us from the punishment of the Fire,"""
39,root,slT,سلط,,"We will cast terror into the hearts of those who disbelieve for what they have associated with Allah of which He had not sent down [any] authority. And their refuge will be the Fire, and wretched is the residence of the wrongdoers. || Except for those who take refuge with a people between yourselves"
38,lemma,bu$~ira,بُشِّرَ,V:38,"And give good tidings to those who believe and do righteous deeds that they will have gardens [in Paradise] beneath which rivers flow. Whenever they are provided with a provision of fruit therefrom, they will say, ""This is what we were provided with before."" And it is given to them in likeness. And "
38,lemma,m~ay~it,مَّيِّت,"N:34,ADJ:4","How can you disbelieve in Allah when you were lifeless and He brought you to life; then He will cause you to die, then He will bring you [back] to life, and then to Him you will be returned. || So, We said, ""Strike the slain man with part of it."" Thus does Allah bring the dead to life, and He shows "
38,lemma,muHosin,مُحْسِن,N:38,"And [recall] when We said, ""Enter this city and eat from it wherever you will in [ease and] abundance, and enter the gate bowing humbly and say, 'Relieve us of our burdens.' We will [then] forgive your sins for you, and We will increase the doers of good [in goodness and reward]."" || Yes [on the con"
38,lemma,r~aDiYa,رَّضِىَ,V:38,"And never will the Jews or the Christians approve of you until you follow their religion. Say, ""Indeed, the guidance of Allah is the [only] guidance."" If you were to follow their desires after what has come to you of knowledge, you would have against Allah no protector or helper. || We have certainl"
38,lemma,m~aEoruwf,مَّعْرُوف,"N:34,ADJ:4","O you who have believed, prescribed for you is legal retribution for those murdered - the free for the free, the slave for the slave, and the female for the female. But whoever overlooks from his brother anything, then there should be a suitable follow-up and payment to him with good conduct. This i"
38,lemma,Dala`l,ضَلَٰل,N:38,"Certainly did Allah confer [great] favor upon the believers when He sent among them a Messenger from themselves, reciting to them His verses and purifying them and teaching them the Book and wisdom, although they had been before in manifest error. || Have you not seen those who claim to have believe"
38,root,qrr,قرر,,"But Satan caused them to slip out of it and removed them from that [condition] in which they had been. And We said, ""Go down, [all of you], as enemies to one another, and you will have upon the earth a place of settlement and provision for a time."" || And [recall] when We took your covenant, [saying"
38,root,blw,بلو,,"And [recall] when We saved your forefathers from the people of Pharaoh, who afflicted you with the worst torment, slaughtering your [newborn] sons and keeping your females alive. And in that was a great trial from your Lord. || And [mention, O Muhammad], when Abraham was tried by his Lord with comma"
38,root,ftH,فتح,,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason? || And when there came to them a Book fro"
38,root,hwy,هوي,,"And We did certainly give Moses the Torah and followed up after him with messengers. And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. But is it [not] that every time a messenger came to you, [O Children of Israel], with what your souls did not desire, you were"
38,root,mrA,مرا,,"And they followed [instead] what the devils had recited during the reign of Solomon. It was not Solomon who disbelieved, but the devils disbelieved, teaching people magic and that which was revealed to the two angels at Babylon, Harut and Marut. But the two angels do not teach anyone unless they say"
38,root,*rr,ذرر,,"And [mention, O Muhammad], when Abraham was tried by his Lord with commands and he fulfilled them. [Allah] said, ""Indeed, I will make you a leader for the people."" [Abraham] said, ""And of my descendants?"" [Allah] said, ""My covenant does not include the wrongdoers."" || Our Lord, and make us Muslims ["
37,lemma,m~usotaqiym,مُّسْتَقِيم,"N:23,ADJ:14","Guide us to the straight path - || The foolish among the people will say, ""What has turned them away from their qiblah, which they used to face?"" Say, ""To Allah belongs the east and the west. He guides whom He wills to a straight path."""
37,lemma,faAsiq,فَاسِق,"N:24,ADJ:13","Indeed, Allah is not timid to present an example - that of a mosquito or what is smaller than it. And those who have believed know that it is the truth from their Lord. But as for those who disbelieve, they say, ""What did Allah intend by this as an example?"" He misleads many thereby and guides many "
37,lemma,yaHozun,يَحْزُن,V:37,"We said, ""Go down from it, all of you. And when guidance comes to you from Me, whoever follows My guidance - there will be no fear concerning them, nor will they grieve. || Indeed, those who believed and those who were Jews or Christians or Sabeans [before Prophet Muhammad] - those [among them] who "
37,lemma,naj~aY`,نَجَّىٰ,V:37,"And [recall] when We saved your forefathers from the people of Pharaoh, who afflicted you with the worst torment, slaughtering your [newborn] sons and keeping your females alive. And in that was a great trial from your Lord. || Say, ""Who rescues you from the darknesses of the land and sea [when] you"
37,lemma,kufor,كُفْر,N:37,"And they said, ""Our hearts are wrapped."" But, [in fact], Allah has cursed them for their disbelief, so little is it that they believe. || And [recall] when We took your covenant and raised over you the mount, [saying], ""Take what We have given you with determination and listen."" They said [instead],"
37,lemma,Ha$ara,حَشَرَ,V:37,And remember Allah during [specific] numbered days. Then whoever hastens [his departure] in two days - there is no sin upon him; and whoever delays [until the third] - there is no sin upon him - for him who fears Allah. And fear Allah and know that unto Him you will be gathered. || Say to those who 
37,lemma,*anb,ذَنب,N:37,"[Theirs is] like the custom of the people of Pharaoh and those before them. They denied Our signs, so Allah seized them for their sins. And Allah is severe in penalty. || Those who say, ""Our Lord, indeed we have believed, so forgive us our sins and protect us from the punishment of the Fire,"""
37,lemma,ba$ar,بَشَر,N:37,"She said, ""My Lord, how will I have a child when no man has touched me?"" [The angel] said, ""Such is Allah; He creates what He wills. When He decrees a matter, He only says to it, 'Be,' and it is. || It is not for a human [prophet] that Allah should give him the Scripture and authority and prophethoo"
37,lemma,Sad~a,صَدَّ,V:37,"Say, ""O People of the Scripture, why do you avert from the way of Allah those who believe, seeking to make it [seem] deviant, while you are witnesses [to the truth]? And Allah is not unaware of what you do."" || And some among them believed in it, and some among them were averse to it. And sufficient"
37,lemma,suloTa`n,سُلْطَٰن,N:37,"We will cast terror into the hearts of those who disbelieve for what they have associated with Allah of which He had not sent down [any] authority. And their refuge will be the Fire, and wretched is the residence of the wrongdoers. || You will find others who wish to obtain security from you and [to"
37,root,sbq,سبق,,"For each [religious following] is a direction toward which it faces. So race to [all that is] good. Wherever you may be, Allah will bring you forth [for judgement] all together. Indeed, Allah is over all things competent. || And We have revealed to you, [O Muhammad], the Book in truth, confirming th"
37,root,Alw,الو,,"For those who swear not to have sexual relations with their wives is a waiting time of four months, but if they return [to normal relations] - then indeed, Allah is Forgiving and Merciful. || O you who have believed, do not take as intimates those other than yourselves, for they will not spare you ["
37,root,nkr,نكر,,"And let there be [arising] from you a nation inviting to [all that is] good, enjoining what is right and forbidding what is wrong, and those will be the successful. || You are the best nation produced [as an example] for mankind. You enjoin what is right and forbid what is wrong and believe in Allah"
36,lemma,rad~a,رَدَّ,V:36,"Then, you are those [same ones who are] killing one another and evicting a party of your people from their homes, cooperating against them in sin and aggression. And if they come to you as captives, you ransom them, although their eviction was forbidden to you. So do you believe in part of the Scrip"
36,lemma,>aHosan,أَحْسَن,"N:35,ADJ:1","[And say, ""Ours is] the religion of Allah. And who is better than Allah in [ordaining] religion? And we are worshippers of Him."" || O you who have believed, obey Allah and obey the Messenger and those in authority among you. And if you disagree over anything, refer it to Allah and the Messenger, if "
36,lemma,say~i_#aAt,سَيِّـ#َات,N:36,"If you disclose your charitable expenditures, they are good; but if you conceal them and give them to the poor, it is better for you, and He will remove from you some of your misdeeds [thereby]. And Allah, with what you do, is [fully] Acquainted. || Our Lord, indeed we have heard a caller calling to"
36,lemma,*aAqu,ذَاقُ,V:36,"On the Day [some] faces will turn white and [some] faces will turn black. As for those whose faces turn black, [to them it will be said], ""Did you disbelieve after your belief? Then taste the punishment for what you used to reject."" || Allah has certainly heard the statement of those [Jews] who said"
36,root,ryb,ريب,,"This is the Book about which there is no doubt, a guidance for those conscious of Allah - || And if you are in doubt about what We have sent down upon Our Servant [Muhammad], then produce a surah the like thereof and call upon your witnesses other than Allah, if you should be truthful."
36,root,qTE,قطع,,"Who break the covenant of Allah after contracting it and sever that which Allah has ordered to be joined and cause corruption on earth. It is those who are the losers. || [And they should consider that] when those who have been followed disassociate themselves from those who followed [them], and the"
36,root,bTl,بطل,,"And do not mix the truth with falsehood or conceal the truth while you know [it]. || And do not consume one another's wealth unjustly or send it [in bribery] to the rulers in order that [they might aid] you [to] consume a portion of the wealth of the people in sin, while you know [it is unlawful]."
36,root,Hdv,حدث,,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason? || That Day, those who disbelieved and di"
36,root,Any,اني,,"Your wives are a place of sowing of seed for you, so come to your place of cultivation however you wish and put forth [righteousness] for yourselves. And fear Allah and know that you will meet Him. And give good tidings to the believers. || And their prophet said to them, ""Indeed, Allah has sent to "
36,root,Awy,اوي,,"We will cast terror into the hearts of those who disbelieve for what they have associated with Allah of which He had not sent down [any] authority. And their refuge will be the Fire, and wretched is the residence of the wrongdoers. || So is one who pursues the pleasure of Allah like one who brings u"
36,root,qrn,قرن,,And [also] those who spend of their wealth to be seen by the people and believe not in Allah nor in the Last Day. And he to whom Satan is a companion - then evil is he as a companion. || And [also] those who spend of their wealth to be seen by the people and believe not in Allah nor in the Last Day.
35,lemma,*ahaba,ذَهَبَ,V:35,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see. || The lightning almost snatches away their sight. Every time it lights [the way] for them, they walk therein; but when darknes"
35,lemma,{sotawaY`^,ٱسْتَوَىٰ^,V:35,"It is He who created for you all of that which is on the earth. Then He directed Himself to the heaven, [His being above all creation], and made them seven heavens, and He is Knowing of all things. || Not equal are those believers remaining [at home] - other than the disabled - and the mujahideen, ["
35,lemma,sajada,سَجَدَ,V:35,"And [mention] when We said to the angels, ""Prostrate before Adam""; so they prostrated, except for Iblees. He refused and was arrogant and became of the disbelievers. || And [mention] when We said to the angels, ""Prostrate before Adam""; so they prostrated, except for Iblees. He refused and was arroga"
35,lemma,mata`E,مَتَٰع,N:35,"But Satan caused them to slip out of it and removed them from that [condition] in which they had been. And We said, ""Go down, [all of you], as enemies to one another, and you will have upon the earth a place of settlement and provision for a time."" || There is no blame upon you if you divorce women "
35,lemma,Hiyn,حِين,"N:31,T:4","But Satan caused them to slip out of it and removed them from that [condition] in which they had been. And We said, ""Go down, [all of you], as enemies to one another, and you will have upon the earth a place of settlement and provision for a time."" || Righteousness is not that you turn your faces to"
35,lemma,nasiYa,نَسِىَ,V:35,"Do you order righteousness of the people and forget yourselves while you recite the Scripture? Then will you not reason? || And if you divorce them before you have touched them and you have already specified for them an obligation, then [give] half of what you specified - unless they forego the righ"
35,lemma,bay~anu,بَيَّنُ,V:35,"They said, ""Call upon your Lord to make clear to us what it is."" [Moses] said, ""[Allah] says, 'It is a cow which is neither old nor virgin, but median between that,' so do what you are commanded."" || They said, ""Call upon your Lord to show us what is her color."" He said, ""He says, 'It is a yellow co"
35,lemma,<ivom,إِثْم,N:35,"Then, you are those [same ones who are] killing one another and evicting a party of your people from their homes, cooperating against them in sin and aggression. And if they come to you as captives, you ransom them, although their eviction was forbidden to you. So do you believe in part of the Scrip"
35,lemma,naSiyr,نَصِير,"N:34,ADJ:1","Do you not know that to Allah belongs the dominion of the heavens and the earth and [that] you have not besides Allah any protector or any helper? || And never will the Jews or the Christians approve of you until you follow their religion. Say, ""Indeed, the guidance of Allah is the [only] guidance."""
35,lemma,{xotalafa,ٱخْتَلَفَ,V:35,"The Jews say ""The Christians have nothing [true] to stand on,"" and the Christians say, ""The Jews have nothing to stand on,"" although they [both] recite the Scripture. Thus the polytheists speak the same as their words. But Allah will judge between them on the Day of Resurrection concerning that over"
35,lemma,m~urosal,مُّرْسَل,"N:34,ADJ:1","These are the verses of Allah which We recite to you, [O Muhammad], in truth. And indeed, you are from among the messengers. || And certainly were messengers denied before you, but they were patient over [the effects of] denial, and they were harmed until Our victory came to them. And none can alter"
35,lemma,>um~,أُمّ,N:35,"It is He who has sent down to you, [O Muhammad], the Book; in it are verses [that are] precise - they are the foundation of the Book - and others unspecific. As for those in whose hearts is deviation [from truth], they will follow that of it which is unspecific, seeking discord and seeking an interp"
35,root,Hyn,حين,,"But Satan caused them to slip out of it and removed them from that [condition] in which they had been. And We said, ""Go down, [all of you], as enemies to one another, and you will have upon the earth a place of settlement and provision for a time."" || Righteousness is not that you turn your faces to"
35,root,Efw,عفو,,"Then We forgave you after that so perhaps you would be grateful. || Many of the People of the Scripture wish they could turn you back to disbelief after you have believed, out of envy from themselves [even] after the truth has become clear to them. So pardon and overlook until Allah delivers His com"
35,root,gfl,غفل,,"Then your hearts became hardened after that, being like stones or even harder. For indeed, there are stones from which rivers burst forth, and there are some of them that split open and water comes out, and there are some of them that fall down for fear of Allah. And Allah is not unaware of what you"
35,root,mrr,مرر,,"Divorce is twice. Then, either keep [her] in an acceptable manner or release [her] with good treatment. And it is not lawful for you to take anything of what you have given them unless both fear that they will not be able to keep [within] the limits of Allah. But if you fear that they will not keep "
35,root,wrv,ورث,,"Mothers may breastfeed their children two complete years for whoever wishes to complete the nursing [period]. Upon the father is the mothers' provision and their clothing according to what is acceptable. No person is charged with more than his capacity. No mother should be harmed through her child, "
35,root,kyd,كيد,,"If good touches you, it distresses them; but if harm strikes you, they rejoice at it. And if you are patient and fear Allah, their plot will not harm you at all. Indeed, Allah is encompassing of what they do. || Those who believe fight in the cause of Allah, and those who disbelieve fight in the cau"
34,lemma,maroyam,مَرْيَم,PN:34,"And We did certainly give Moses the Torah and followed up after him with messengers. And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. But is it [not] that every time a messenger came to you, [O Children of Israel], with what your souls did not desire, you were"
34,lemma,fitonap,فِتْنَة,N:34,"And they followed [instead] what the devils had recited during the reign of Solomon. It was not Solomon who disbelieved, but the devils disbelieved, teaching people magic and that which was revealed to the two angels at Babylon, Harut and Marut. But the two angels do not teach anyone unless they say"
34,lemma,{botagaY`,ٱبْتَغَىٰ,V:34,"It has been made permissible for you the night preceding fasting to go to your wives [for sexual relations]. They are clothing for you and you are clothing for them. Allah knows that you used to deceive yourselves, so He accepted your repentance and forgave you. So now, have relations with them and "
34,lemma,'aAlaA^',ءَالَا^ء,N:34,"Then do you wonder that there has come to you a reminder from your Lord through a man from among you, that he may warn you? And remember when He made you successors after the people of Noah and increased you in stature extensively. So remember the favors of Allah that you might succeed. || And remem"
34,root,hzA,هزا,,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers."" || [But] Allah mocks them and prolongs them in their transgression [while] they wander blindly."
34,root,wvq,وثق,,"Who break the covenant of Allah after contracting it and sever that which Allah has ordered to be joined and cause corruption on earth. It is those who are the losers. || And [recall] when We took your covenant, [O Children of Israel, to abide by the Torah] and We raised over you the mount, [saying]"
34,root,jnH,جنح,,"Indeed, as-Safa and al-Marwah are among the symbols of Allah. So whoever makes Hajj to the House or performs 'umrah - there is no blame upon him for walking between them. And whoever volunteers good - then indeed, Allah is appreciative and Knowing. || There is no blame upon you for seeking bounty fr"
34,root,xfy,خفي,,"If you disclose your charitable expenditures, they are good; but if you conceal them and give them to the poor, it is better for you, and He will remove from you some of your misdeeds [thereby]. And Allah, with what you do, is [fully] Acquainted. || To Allah belongs whatever is in the heavens and wh"
33,lemma,qaAma,قَامَ,V:33,"The lightning almost snatches away their sight. Every time it lights [the way] for them, they walk therein; but when darkness comes over them, they stand [still]. And if Allah had willed, He could have taken away their hearing and their sight. Indeed, Allah is over all things competent. || Maintain "
33,lemma,fariyq,فَرِيق,N:33,"Do you covet [the hope, O believers], that they would believe for you while a party of them used to hear the words of Allah and then distort the Torah after they had understood it while they were knowing? || Then, you are those [same ones who are] killing one another and evicting a party of your peo"
33,lemma,HaraAm,حَرَام,"ADJ:17,N:16","We have certainly seen the turning of your face, [O Muhammad], toward the heaven, and We will surely turn you to a qiblah with which you will be pleased. So turn your face toward al-Masjid al-Haram. And wherever you [believers] are, turn your faces toward it [in prayer]. Indeed, those who have been "
33,lemma,$amos,شَمْس,N:33,"Have you not considered the one who argued with Abraham about his Lord [merely] because Allah had given him kingship? When Abraham said, ""My Lord is the one who gives life and causes death,"" he said, ""I give life and cause death."" Abraham said, ""Indeed, Allah brings up the sun from the east, so brin"
33,lemma,n~aEam,نَّعَم,N:33,"Beautified for people is the love of that which they desire - of women and sons, heaped-up sums of gold and silver, fine branded horses, and cattle and tilled land. That is the enjoyment of worldly life, but Allah has with Him the best return. || And I will mislead them, and I will arouse in them [s"
33,lemma,ka*ib,كَذِب,N:33,"And among the People of the Scripture is he who, if you entrust him with a great amount [of wealth], he will return it to you. And among them is he who, if you entrust him with a [single] silver coin, he will not return it to you unless you are constantly standing over him [demanding it]. That is be"
33,lemma,kal~aA,كَلَّا,AVR:33,"No! We will record what he says and extend for him from the punishment extensively. || No! Those ""gods"" will deny their worship of them and will be against them opponents [on the Day of Judgement]."
33,root,Emy,عمي,,"Deaf, dumb and blind - so they will not return [to the right path]. || The example of those who disbelieve is like that of one who shouts at what hears nothing but calls and cries cattle or sheep - deaf, dumb and blind, so they do not understand."
33,root,Zll,ظلل,,"And We shaded you with clouds and sent down to you manna and quails, [saying], ""Eat from the good things with which We have provided you."" And they wronged Us not - but they were [only] wronging themselves. || Do they await but that Allah should come to them in covers of clouds and the angels [as we"
33,root,Hjj,حجج,,"And when they meet those who believe, they say, ""We have believed""; but when they are alone with one another, they say, ""Do you talk to them about what Allah has revealed to you so they can argue with you about it before your Lord?"" Then will you not reason? || Say, [O Muhammad], ""Do you argue with "
33,root,kfy,كفي,,"So if they believe in the same as you believe in, then they have been [rightly] guided; but if they turn away, they are only in dissension, and Allah will be sufficient for you against them. And He is the Hearing, the Knowing. || [Remember] when you said to the believers, ""Is it not sufficient for y"
33,root,$ms,شمس,,"Have you not considered the one who argued with Abraham about his Lord [merely] because Allah had given him kingship? When Abraham said, ""My Lord is the one who gives life and causes death,"" he said, ""I give life and cause death."" Abraham said, ""Indeed, Allah brings up the sun from the east, so brin"
