surah_id,verse_id,n_letters,abjad_total,text
2,44,50,4498,۞ أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب ۚ أفلا تعقلون
2,45,42,2604,واستعينوا بالصبر والصلاة ۚ وإنها لكبيرة إلا على الخاشعين
2,46,35,2802,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون
2,47,53,4811,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين
2,48,66,4594,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون
2,49,77,6409,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاء من ربكم عظيم
2,50,45,5589,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون
2,51,48,5855,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون
2,52,30,3009,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون
2,53,34,3250,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون
2,54,111,10130,وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم ۚ إنه هو التواب الرحيم
2,55,51,6829,وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
2,56,30,3061,ثم بعثناكم من بعد موتكم لعلكم تشكرون
2,57,87,6424,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى ۖ كلوا من طيبات ما رزقناكم ۖ وما ظلمونا ولكن كانوا أنفسهم يظلمون
2,58,91,8681,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم ۚ وسنزيد المحسنين
2,59,74,7133,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون
2,60,112,10272,۞ وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر ۖ فانفجرت منه اثنتا عشرة عينا ۖ قد علم كل أناس مشربهم ۖ كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين
2,61,242,21195,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها ۖ قال أتستبدلون الذي هو أدنى بالذي هو خير ۚ اهبطوا مصرا فإن لكم ما سألتم ۗ وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ۗ ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ۗ ذلك بما عصوا وكانوا يعتدون
2,62,101,5633,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
2,63,66,7860,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون
2,64,54,5876,ثم توليتم من بعد ذلك ۖ فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
2,65,52,4170,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين
2,66,44,2950,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين
2,67,73,6648,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة ۖ قالوا أتتخذنا هزوا ۖ قال أعوذ بالله أن أكون من الجاهلين
2,68,76,4730,قالوا ادع لنا ربك يبين لنا ما هي ۚ قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك ۖ فافعلوا ما تؤمرون
2,69,67,4108,قالوا ادع لنا ربك يبين لنا ما لونها ۚ قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين
2,70,58,2986,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون
2,71,89,7471,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها ۚ قالوا الآن جئت بالحق ۚ فذبحوها وما كادوا يفعلون
2,72,43,5071,وإذ قتلتم نفسا فادارأتم فيها ۖ والله مخرج ما كنتم تكتمون
2,73,55,5054,فقلنا اضربوه ببعضها ۚ كذلك يحيي الله الموتى ويريكم آياته لعلكم تعقلون
2,74,130,9624,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة ۚ وإن من الحجارة لما يتفجر منه الأنهار ۚ وإن منها لما يشقق فيخرج منه الماء ۚ وإن منها لما يهبط من خشية الله ۗ وما الله بغافل عما تعملون
2,75,74,3575,۞ أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
2,76,93,8314,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم ۚ أفلا تعقلون
2,77,34,1139,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون
2,78,40,2218,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون
2,79,100,6932,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا ۖ فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون
2,80,85,6300,وقالوا لن تمسنا النار إلا أياما معدودة ۚ قل أتخذتم عند الله عهدا فلن يخلف الله عهده ۖ أم تقولون على الله ما لا تعلمون
2,81,46,3080,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار ۖ هم فيها خالدون
2,82,47,2681,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة ۖ هم فيها خالدون
2,83,136,10412,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون
2,84,65,8172,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون
2,85,212,18940,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم ۚ أفتؤمنون ببعض الكتاب وتكفرون ببعض ۚ فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ۖ ويوم القيامة يردون إلى أشد العذاب ۗ وما الله بغافل عما تعملون
2,86,58,5072,أولئك الذين اشتروا الحياة الدنيا بالآخرة ۖ فلا يخفف عنهم العذاب ولا هم ينصرون
2,87,129,9238,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل ۖ وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس ۗ أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
2,88,45,2531,وقالوا قلوبنا غلف ۚ بل لعنهم الله بكفرهم فقليلا ما يؤمنون
2,89,103,5507,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به ۚ فلعنة الله على الكافرين
2,90,98,9821,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده ۖ فباءوا بغضب على غضب ۚ وللكافرين عذاب مهين
2,91,109,5395,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم ۗ قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين
2,92,48,5315,۞ ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون
2,93,121,9144,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واسمعوا ۖ قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم ۚ قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين
2,94,62,4880,قل إن كانت لكم الدار الآخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين
2,95,42,2546,ولن يتمنوه أبدا بما قدمت أيديهم ۗ والله عليم بالظالمين
2,96,94,5186,ولتجدنهم أحرص الناس على حياة ومن الذين أشركوا ۚ يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر ۗ والله بصير بما يعملون
2,97,66,3114,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين
2,98,53,2165,من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين
2,99,40,1936,ولقد أنزلنا إليك آيات بينات ۖ وما يكفر بها إلا الفاسقون
2,100,41,2530,أوكلما عاهدوا عهدا نبذه فريق منهم ۚ بل أكثرهم لا يؤمنون
2,101,85,6256,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون
2,102,293,18455,واتبعوا ما تتلو الشياطين على ملك سليمان ۖ وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هاروت وماروت ۚ وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر ۖ فيتعلمون منهما ما يفرقون به بين المرء وزوجه ۚ وما هم بضارين به من أحد إلا بإذن الله ۚ ويتعلمون ما يضرهم ولا ينفعهم ۚ ولقد علموا لمن اشتراه ما له في الآخرة من خلاق ۚ ولبئس ما شروا به أنفسهم ۚ لو كانوا يعلمون
2,103,46,2736,ولو أنهم آمنوا واتقوا لمثوبة من عند الله خير ۖ لو كانوا يعلمون
2,104,62,4626,يا أيها الذين آمنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا ۗ وللكافرين عذاب أليم
2,105,95,8993,ما يود الذين كفروا من أهل الكتاب ولا المشركين أن ينزل عليكم من خير من ربكم ۗ والله يختص برحمته من يشاء ۚ والله ذو الفضل العظيم
2,106,52,4513,۞ ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها ۗ ألم تعلم أن الله على كل شيء قدير
2,107,56,3303,ألم تعلم أن الله له ملك السماوات والأرض ۗ وما لكم من دون الله من ولي ولا نصير
2,108,66,4313,أم تريدون أن تسألوا رسولكم كما سئل موسى من قبل ۗ ومن يتبدل الكفر بالإيمان فقد ضل سواء السبيل
2,109,114,6180,ود كثير من أهل الكتاب لو يردونكم من بعد إيمانكم كفارا حسدا من عند أنفسهم من بعد ما تبين لهم الحق ۖ فاعفوا واصفحوا حتى يأتي الله بأمره ۗ إن الله على كل شيء قدير
2,110,70,4230,وأقيموا الصلاة وآتوا الزكاة ۚ وما تقدموا لأنفسكم من خير تجدوه عند الله ۗ إن الله بما تعملون بصير
2,111,66,3779,وقالوا لن يدخل الجنة إلا من كان هودا أو نصارى ۗ تلك أمانيهم ۗ قل هاتوا برهانكم إن كنتم صادقين
2,112,55,2256,بلى من أسلم وجهه لله وهو محسن فله أجره عند ربه ولا خوف عليهم ولا هم يحزنون
2,113,134,9480,وقالت اليهود ليست النصارى على شيء وقالت النصارى ليست اليهود على شيء وهم يتلون الكتاب ۗ كذلك قال الذين لا يعلمون مثل قولهم ۚ فالله يحكم بينهم يوم القيامة فيما كانوا فيه يختلفون
2,114,103,9141,ومن أظلم ممن منع مساجد الله أن يذكر فيها اسمه وسعى في خرابها ۚ أولئك ما كان لهم أن يدخلوها إلا خائفين ۚ لهم في الدنيا خزي ولهم في الآخرة عذاب عظيم
2,115,50,3748,ولله المشرق والمغرب ۚ فأينما تولوا فثم وجه الله ۚ إن الله واسع عليم
2,116,55,4544,وقالوا اتخذ الله ولدا ۗ سبحانه ۖ بل له ما في السماوات والأرض ۖ كل له قانتون
2,117,42,4098,بديع السماوات والأرض ۖ وإذا قضى أمرا فإنما يقول له كن فيكون
2,118,98,7334,وقال الذين لا يعلمون لولا يكلمنا الله أو تأتينا آية ۗ كذلك قال الذين من قبلهم مثل قولهم ۘ تشابهت قلوبهم ۗ قد بينا الآيات لقوم يوقنون
2,119,42,2873,إنا أرسلناك بالحق بشيرا ونذيرا ۖ ولا تسأل عن أصحاب الجحيم
2,120,102,7080,ولن ترضى عنك اليهود ولا النصارى حتى تتبع ملتهم ۗ قل إن هدى الله هو الهدى ۗ ولئن اتبعت أهواءهم بعد الذي جاءك من العلم ۙ ما لك من الله من ولي ولا نصير
2,121,64,4963,الذين آتيناهم الكتاب يتلونه حق تلاوته أولئك يؤمنون به ۗ ومن يكفر به فأولئك هم الخاسرون
2,122,53,4811,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين
2,123,65,3794,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها عدل ولا تنفعها شفاعة ولا هم ينصرون
2,124,77,6191,۞ وإذ ابتلى إبراهيم ربه بكلمات فأتمهن ۖ قال إني جاعلك للناس إماما ۖ قال ومن ذريتي ۖ قال لا ينال عهدي الظالمين
2,125,104,6754,وإذ جعلنا البيت مثابة للناس وأمنا واتخذوا من مقام إبراهيم مصلى ۖ وعهدنا إلى إبراهيم وإسماعيل أن طهرا بيتي للطائفين والعاكفين والركع السجود
2,126,111,9529,وإذ قال إبراهيم رب اجعل هذا بلدا آمنا وارزق أهله من الثمرات من آمن منهم بالله واليوم الآخر ۖ قال ومن كفر فأمتعه قليلا ثم أضطره إلى عذاب النار ۖ وبئس المصير
2,127,60,4074,وإذ يرفع إبراهيم القواعد من البيت وإسماعيل ربنا تقبل منا ۖ إنك أنت السميع العليم
2,128,70,4708,ربنا واجعلنا مسلمين لك ومن ذريتنا أمة مسلمة لك وأرنا مناسكنا وتب علينا ۖ إنك أنت التواب الرحيم
2,129,77,4043,ربنا وابعث فيهم رسولا منهم يتلو عليهم آياتك ويعلمهم الكتاب والحكمة ويزكيهم ۚ إنك أنت العزيز الحكيم
2,130,68,4111,ومن يرغب عن ملة إبراهيم إلا من سفه نفسه ۚ ولقد اصطفيناه في الدنيا ۖ وإنه في الآخرة لمن الصالحين
2,131,30,2328,إذ قال له ربه أسلم ۖ قال أسلمت لرب العالمين
2,132,64,2943,ووصى بها إبراهيم بنيه ويعقوب يا بني إن الله اصطفى لكم الدين فلا تموتن إلا وأنتم مسلمون
2,133,102,6374,أم كنتم شهداء إذ حضر يعقوب الموت إذ قال لبنيه ما تعبدون من بعدي قالوا نعبد إلهك وإله آبائك إبراهيم وإسماعيل وإسحاق إلها واحدا ونحن له مسلمون
2,134,51,3820,تلك أمة قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسألون عما كانوا يعملون
2,135,59,2904,وقالوا كونوا هودا أو نصارى تهتدوا ۗ قل بل ملة إبراهيم حنيفا ۖ وما كان من المشركين
2,136,120,4353,قولوا آمنا بالله وما أنزل إلينا وما أنزل إلى إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط وما أوتي موسى وعيسى وما أوتي النبيون من ربهم لا نفرق بين أحد منهم ونحن له مسلمون
2,137,74,4084,فإن آمنوا بمثل ما آمنتم به فقد اهتدوا ۖ وإن تولوا فإنما هم في شقاق ۖ فسيكفيكهم الله ۚ وهو السميع العليم
2,138,34,2902,صبغة الله ۖ ومن أحسن من الله صبغة ۖ ونحن له عابدون
2,139,60,2884,قل أتحاجوننا في الله وهو ربنا وربكم ولنا أعمالنا ولكم أعمالكم ونحن له مخلصون
2,140,113,7126,أم تقولون إن إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط كانوا هودا أو نصارى ۗ قل أأنتم أعلم أم الله ۗ ومن أظلم ممن كتم شهادة عنده من الله ۗ وما الله بغافل عما تعملون
2,141,51,3820,تلك أمة قد خلت ۖ لها ما كسبت ولكم ما كسبتم ۖ ولا تسألون عما كانوا يعملون
2,142,85,5625,۞ سيقول السفهاء من الناس ما ولاهم عن قبلتهم التي كانوا عليها ۚ قل لله المشرق والمغرب ۚ يهدي من يشاء إلى صراط مستقيم
2,143,181,10115,وكذلك جعلناكم أمة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا ۗ وما جعلنا القبلة التي كنت عليها إلا لنعلم من يتبع الرسول ممن ينقلب على عقبيه ۚ وإن كانت لكبيرة إلا على الذين هدى الله ۗ وما كان الله ليضيع إيمانكم ۚ إن الله بالناس لرءوف رحيم
2,144,140,9850,قد نرى تقلب وجهك في السماء ۖ فلنولينك قبلة ترضاها ۚ فول وجهك شطر المسجد الحرام ۚ وحيث ما كنتم فولوا وجوهكم شطره ۗ وإن الذين أوتوا الكتاب ليعلمون أنه الحق من ربهم ۗ وما الله بغافل عما يعملون
2,145,117,11141,ولئن أتيت الذين أوتوا الكتاب بكل آية ما تبعوا قبلتك ۚ وما أنت بتابع قبلتهم ۚ وما بعضهم بتابع قبلة بعض ۚ ولئن اتبعت أهواءهم من بعد ما جاءك من العلم ۙ إنك إذا لمن الظالمين
2,146,69,4281,الذين آتيناهم الكتاب يعرفونه كما يعرفون أبناءهم ۖ وإن فريقا منهم ليكتمون الحق وهم يعلمون
2,147,27,1949,الحق من ربك ۖ فلا تكونن من الممترين
2,148,69,4231,ولكل وجهة هو موليها ۖ فاستبقوا الخيرات ۚ أين ما تكونوا يأت بكم الله جميعا ۚ إن الله على كل شيء قدير
2,149,65,5368,ومن حيث خرجت فول وجهك شطر المسجد الحرام ۖ وإنه للحق من ربك ۗ وما الله بغافل عما تعملون
2,150,134,11831,ومن حيث خرجت فول وجهك شطر المسجد الحرام ۚ وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجة إلا الذين ظلموا منهم فلا تخشوهم واخشوني ولأتم نعمتي عليكم ولعلكم تهتدون
2,151,84,4371,كما أرسلنا فيكم رسولا منكم يتلو عليكم آياتنا ويزكيكم ويعلمكم الكتاب والحكمة ويعلمكم ما لم تكونوا تعلمون
2,152,31,3414,فاذكروني أذكركم واشكروا لي ولا تكفرون
2,153,49,2606,يا أيها الذين آمنوا استعينوا بالصبر والصلاة ۚ إن الله مع الصابرين
2,154,47,3159,ولا تقولوا لمن يقتل في سبيل الله أموات ۚ بل أحياء ولكن لا تشعرون
2,155,63,4210,ولنبلونكم بشيء من الخوف والجوع ونقص من الأموال والأنفس والثمرات ۗ وبشر الصابرين
2,156,39,2858,الذين إذا أصابتهم مصيبة قالوا إنا لله وإنا إليه راجعون
2,157,37,1972,أولئك عليهم صلوات من ربهم ورحمة ۖ وأولئك هم المهتدون
2,158,83,5353,۞ إن الصفا والمروة من شعائر الله ۖ فمن حج البيت أو اعتمر فلا جناح عليه أن يطوف بهما ۚ ومن تطوع خيرا فإن الله شاكر عليم
2,159,86,3942,إن الذين يكتمون ما أنزلنا من البينات والهدى من بعد ما بيناه للناس في الكتاب ۙ أولئك يلعنهم الله ويلعنهم اللاعنون
2,160,51,2933,إلا الذين تابوا وأصلحوا وبينوا فأولئك أتوب عليهم ۚ وأنا التواب الرحيم
2,161,57,2830,إن الذين كفروا وماتوا وهم كفار أولئك عليهم لعنة الله والملائكة والناس أجمعين
2,162,37,3859,خالدين فيها ۖ لا يخفف عنهم العذاب ولا هم ينظرون
2,163,31,881,وإلهكم إله واحد ۖ لا إله إلا هو الرحمن الرحيم
2,164,176,13063,إن في خلق السماوات والأرض واختلاف الليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما أنزل الله من السماء من ماء فأحيا به الأرض بعد موتها وبث فيها من كل دابة وتصريف الرياح والسحاب المسخر بين السماء والأرض لآيات لقوم يعقلون
2,165,115,9215,ومن الناس من يتخذ من دون الله أندادا يحبونهم كحب الله ۖ والذين آمنوا أشد حبا لله ۗ ولو يرى الذين ظلموا إذ يرون العذاب أن القوة لله جميعا وأن الله شديد العذاب
2,166,53,6079,إذ تبرأ الذين اتبعوا من الذين اتبعوا ورأوا العذاب وتقطعت بهم الأسباب
2,167,91,6864,وقال الذين اتبعوا لو أن لنا كرة فنتبرأ منهم كما تبرءوا منا ۗ كذلك يريهم الله أعمالهم حسرات عليهم ۖ وما هم بخارجين من النار
2,168,65,4180,يا أيها الناس كلوا مما في الأرض حلالا طيبا ولا تتبعوا خطوات الشيطان ۚ إنه لكم عدو مبين
2,169,44,2359,إنما يأمركم بالسوء والفحشاء وأن تقولوا على الله ما لا تعلمون
2,170,80,3950,وإذا قيل لهم اتبعوا ما أنزل الله قالوا بل نتبع ما ألفينا عليه آباءنا ۗ أولو كان آباؤهم لا يعقلون شيئا ولا يهتدون
2,171,63,4390,ومثل الذين كفروا كمثل الذي ينعق بما لا يسمع إلا دعاء ونداء ۚ صم بكم عمي فهم لا يعقلون
2,172,58,3650,يا أيها الذين آمنوا كلوا من طيبات ما رزقناكم واشكروا لله إن كنتم إياه تعبدون
2,173,88,9379,إنما حرم عليكم الميتة والدم ولحم الخنزير وما أهل به لغير الله ۖ فمن اضطر غير باغ ولا عاد فلا إثم عليه ۚ إن الله غفور رحيم
2,174,114,6123,إن الذين يكتمون ما أنزل الله من الكتاب ويشترون به ثمنا قليلا ۙ أولئك ما يأكلون في بطونهم إلا النار ولا يكلمهم الله يوم القيامة ولا يزكيهم ولهم عذاب أليم
2,175,54,5692,أولئك الذين اشتروا الضلالة بالهدى والعذاب بالمغفرة ۚ فما أصبرهم على النار
