surah,verse,root_bw,root_ar,count,verse_text
4,11,kwn,كون,6,يوصيكم الله في أولادكم ۖ للذكر مثل حظ الأنثيين ۚ فإن كن نساء فوق اثنتين فلهن ثلثا ما ترك ۖ وإن كانت واحدة فلها النصف ۚ ولأبويه لكل واحد منهما السدس مما ترك إن كان له ولد ۚ فإن لم يكن له ولد وورثه أبواه فلأمه الثلث ۚ فإن كان له إخوة فلأمه السدس ۚ من بعد وصية يوصي بها أو دين ۗ آباؤكم وأبناؤكم لا تدرون أيهم أقرب لكم نفعا ۚ فريضة من الله ۗ إن الله كان عليما حكيما
4,12,kwn,كون,6,۞ ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد ۚ فإن كان لهن ولد فلكم الربع مما تركن ۚ من بعد وصية يوصين بها أو دين ۚ ولهن الربع مما تركتم إن لم يكن لكم ولد ۚ فإن كان لكم ولد فلهن الثمن مما تركتم ۚ من بعد وصية توصون بها أو دين ۗ وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس ۚ فإن كانوا أكثر من ذلك فهم شركاء في الثلث ۚ من بعد وصية يوصى بها أو دين غير مضار ۚ وصية من الله ۗ والله عليم حليم
4,171,Alh,اله,6,يا أهل الكتاب لا تغلوا في دينكم ولا تقولوا على الله إلا الحق ۚ إنما المسيح عيسى ابن مريم رسول الله وكلمته ألقاها إلى مريم وروح منه ۖ فآمنوا بالله ورسله ۖ ولا تقولوا ثلاثة ۚ انتهوا خيرا لكم ۚ إنما الله إله واحد ۖ سبحانه أن يكون له ولد ۘ له ما في السماوات وما في الأرض ۗ وكفى بالله وكيلا
24,35,nwr,نور,6,۞ الله نور السماوات والأرض ۚ مثل نوره كمشكاة فيها مصباح ۖ المصباح في زجاجة ۖ الزجاجة كأنها كوكب دري يوقد من شجرة مباركة زيتونة لا شرقية ولا غربية يكاد زيتها يضيء ولو لم تمسسه نار ۚ نور على نور ۗ يهدي الله لنوره من يشاء ۚ ويضرب الله الأمثال للناس ۗ والله بكل شيء عليم
35,39,kfr,كفر,6,هو الذي جعلكم خلائف في الأرض ۚ فمن كفر فعليه كفره ۖ ولا يزيد الكافرين كفرهم عند ربهم إلا مقتا ۖ ولا يزيد الكافرين كفرهم إلا خسارا
2,143,kwn,كون,5,وكذلك جعلناكم أمة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا ۗ وما جعلنا القبلة التي كنت عليها إلا لنعلم من يتبع الرسول ممن ينقلب على عقبيه ۚ وإن كانت لكبيرة إلا على الذين هدى الله ۗ وما كان الله ليضيع إيمانكم ۚ إن الله بالناس لرءوف رحيم
2,165,Alh,اله,5,ومن الناس من يتخذ من دون الله أندادا يحبونهم كحب الله ۖ والذين آمنوا أشد حبا لله ۗ ولو يرى الذين ظلموا إذ يرون العذاب أن القوة لله جميعا وأن الله شديد العذاب
2,246,qtl,قتل,5,ألم تر إلى الملإ من بني إسرائيل من بعد موسى إذ قالوا لنبي لهم ابعث لنا ملكا نقاتل في سبيل الله ۖ قال هل عسيتم إن كتب عليكم القتال ألا تقاتلوا ۖ قالوا وما لنا ألا نقاتل في سبيل الله وقد أخرجنا من ديارنا وأبنائنا ۖ فلما كتب عليهم القتال تولوا إلا قليلا منهم ۗ والله عليم بالظالمين
2,259,qwl,قول,5,أو كالذي مر على قرية وهي خاوية على عروشها قال أنى يحيي هذه الله بعد موتها ۖ فأماته الله مائة عام ثم بعثه ۖ قال كم لبثت ۖ قال لبثت يوما أو بعض يوم ۖ قال بل لبثت مائة عام فانظر إلى طعامك وشرابك لم يتسنه ۖ وانظر إلى حمارك ولنجعلك آية للناس ۖ وانظر إلى العظام كيف ننشزها ثم نكسوها لحما ۚ فلما تبين له قال أعلم أن الله على كل شيء قدير
3,26,$yA,شيا,5,قل اللهم مالك الملك تؤتي الملك من تشاء وتنزع الملك ممن تشاء وتعز من تشاء وتذل من تشاء ۖ بيدك الخير ۖ إنك على كل شيء قدير
3,79,kwn,كون,5,ما كان لبشر أن يؤتيه الله الكتاب والحكم والنبوة ثم يقول للناس كونوا عبادا لي من دون الله ولكن كونوا ربانيين بما كنتم تعلمون الكتاب وبما كنتم تدرسون
4,23,Axw,اخو,5,حرمت عليكم أمهاتكم وبناتكم وأخواتكم وعماتكم وخالاتكم وبنات الأخ وبنات الأخت وأمهاتكم اللاتي أرضعنكم وأخواتكم من الرضاعة وأمهات نسائكم وربائبكم اللاتي في حجوركم من نسائكم اللاتي دخلتم بهن فإن لم تكونوا دخلتم بهن فلا جناح عليكم وحلائل أبنائكم الذين من أصلابكم وأن تجمعوا بين الأختين إلا ما قد سلف ۗ إن الله كان غفورا رحيما
4,46,smE,سمع,5,من الذين هادوا يحرفون الكلم عن مواضعه ويقولون سمعنا وعصينا واسمع غير مسمع وراعنا ليا بألسنتهم وطعنا في الدين ۚ ولو أنهم قالوا سمعنا وأطعنا واسمع وانظرنا لكان خيرا لهم وأقوم ولكن لعنهم الله بكفرهم فلا يؤمنون إلا قليلا
5,116,qwl,قول,5,وإذ قال الله يا عيسى ابن مريم أأنت قلت للناس اتخذوني وأمي إلهين من دون الله ۖ قال سبحانك ما يكون لي أن أقول ما ليس لي بحق ۚ إن كنت قلته فقد علمته ۚ تعلم ما في نفسي ولا أعلم ما في نفسك ۚ إنك أنت علام الغيوب
9,40,Alh,اله,5,إلا تنصروه فقد نصره الله إذ أخرجه الذين كفروا ثاني اثنين إذ هما في الغار إذ يقول لصاحبه لا تحزن إن الله معنا ۖ فأنزل الله سكينته عليه وأيده بجنود لم تروها وجعل كلمة الذين كفروا السفلى ۗ وكلمة الله هي العليا ۗ والله عزيز حكيم
10,35,hdy,هدي,5,قل هل من شركائكم من يهدي إلى الحق ۚ قل الله يهدي للحق ۗ أفمن يهدي إلى الحق أحق أن يتبع أمن لا يهدي إلا أن يهدى ۖ فما لكم كيف تحكمون
11,89,qwm,قوم,5,ويا قوم لا يجرمنكم شقاقي أن يصيبكم مثل ما أصاب قوم نوح أو قوم هود أو قوم صالح ۚ وما قوم لوط منكم ببعيد
13,16,qwl,قول,5,قل من رب السماوات والأرض قل الله ۚ قل أفاتخذتم من دونه أولياء لا يملكون لأنفسهم نفعا ولا ضرا ۚ قل هل يستوي الأعمى والبصير أم هل تستوي الظلمات والنور ۗ أم جعلوا لله شركاء خلقوا كخلقه فتشابه الخلق عليهم ۚ قل الله خالق كل شيء وهو الواحد القهار
22,40,Alh,اله,5,الذين أخرجوا من ديارهم بغير حق إلا أن يقولوا ربنا الله ۗ ولولا دفع الله الناس بعضهم ببعض لهدمت صوامع وبيع وصلوات ومساجد يذكر فيها اسم الله كثيرا ۗ ولينصرن الله من ينصره ۗ إن الله لقوي عزيز
23,14,xlq,خلق,5,ثم خلقنا النطفة علقة فخلقنا العلقة مضغة فخلقنا المضغة عظاما فكسونا العظام لحما ثم أنشأناه خلقا آخر ۚ فتبارك الله أحسن الخالقين
33,37,Alh,اله,5,وإذ تقول للذي أنعم الله عليه وأنعمت عليه أمسك عليك زوجك واتق الله وتخفي في نفسك ما الله مبديه وتخشى الناس والله أحق أن تخشاه ۖ فلما قضى زيد منها وطرا زوجناكها لكي لا يكون على المؤمنين حرج في أزواج أدعيائهم إذا قضوا منهن وطرا ۚ وكان أمر الله مفعولا
58,22,Alh,اله,5,لا تجد قوما يؤمنون بالله واليوم الآخر يوادون من حاد الله ورسوله ولو كانوا آباءهم أو أبناءهم أو إخوانهم أو عشيرتهم ۚ أولئك كتب في قلوبهم الإيمان وأيدهم بروح منه ۖ ويدخلهم جنات تجري من تحتها الأنهار خالدين فيها ۚ رضي الله عنهم ورضوا عنه ۚ أولئك حزب الله ۚ ألا إن حزب الله هم المفلحون
66,3,nbA,نبا,5,وإذ أسر النبي إلى بعض أزواجه حديثا فلما نبأت به وأظهره الله عليه عرف بعضه وأعرض عن بعض ۖ فلما نبأها به قالت من أنبأك هذا ۖ قال نبأني العليم الخبير
2,13,Amn,امن,4,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ۗ ألا إنهم هم السفهاء ولكن لا يعلمون
2,113,qwl,قول,4,وقالت اليهود ليست النصارى على شيء وقالت النصارى ليست اليهود على شيء وهم يتلون الكتاب ۗ كذلك قال الذين لا يعلمون مثل قولهم ۚ فالله يحكم بينهم يوم القيامة فيما كانوا فيه يختلفون
2,145,tbE,تبع,4,ولئن أتيت الذين أوتوا الكتاب بكل آية ما تبعوا قبلتك ۚ وما أنت بتابع قبلتهم ۚ وما بعضهم بتابع قبلة بعض ۚ ولئن اتبعت أهواءهم من بعد ما جاءك من العلم ۙ إنك إذا لمن الظالمين
2,187,Alh,اله,4,أحل لكم ليلة الصيام الرفث إلى نسائكم ۚ هن لباس لكم وأنتم لباس لهن ۗ علم الله أنكم كنتم تختانون أنفسكم فتاب عليكم وعفا عنكم ۖ فالآن باشروهن وابتغوا ما كتب الله لكم ۚ وكلوا واشربوا حتى يتبين لكم الخيط الأبيض من الخيط الأسود من الفجر ۖ ثم أتموا الصيام إلى الليل ۚ ولا تباشروهن وأنتم عاكفون في المساجد ۗ تلك حدود الله فلا تقربوها ۗ كذلك يبين الله آياته للناس لعلهم يتقون
2,217,qtl,قتل,4,يسألونك عن الشهر الحرام قتال فيه ۖ قل قتال فيه كبير ۖ وصد عن سبيل الله وكفر به والمسجد الحرام وإخراج أهله منه أكبر عند الله ۚ والفتنة أكبر من القتل ۗ ولا يزالون يقاتلونكم حتى يردوكم عن دينكم إن استطاعوا ۚ ومن يرتدد منكم عن دينه فيمت وهو كافر فأولئك حبطت أعمالهم في الدنيا والآخرة ۖ وأولئك أصحاب النار ۖ هم فيها خالدون
2,221,$rk,شرك,4,ولا تنكحوا المشركات حتى يؤمن ۚ ولأمة مؤمنة خير من مشركة ولو أعجبتكم ۗ ولا تنكحوا المشركين حتى يؤمنوا ۚ ولعبد مؤمن خير من مشرك ولو أعجبكم ۗ أولئك يدعون إلى النار ۖ والله يدعو إلى الجنة والمغفرة بإذنه ۖ ويبين آياته للناس لعلهم يتذكرون
2,221,Amn,امن,4,ولا تنكحوا المشركات حتى يؤمن ۚ ولأمة مؤمنة خير من مشركة ولو أعجبتكم ۗ ولا تنكحوا المشركين حتى يؤمنوا ۚ ولعبد مؤمن خير من مشرك ولو أعجبكم ۗ أولئك يدعون إلى النار ۖ والله يدعو إلى الجنة والمغفرة بإذنه ۖ ويبين آياته للناس لعلهم يتذكرون
2,229,Hdd,حدد,4,الطلاق مرتان ۖ فإمساك بمعروف أو تسريح بإحسان ۗ ولا يحل لكم أن تأخذوا مما آتيتموهن شيئا إلا أن يخافا ألا يقيما حدود الله ۖ فإن خفتم ألا يقيما حدود الله فلا جناح عليهما فيما افتدت به ۗ تلك حدود الله فلا تعتدوها ۚ ومن يتعد حدود الله فأولئك هم الظالمون
2,229,Alh,اله,4,الطلاق مرتان ۖ فإمساك بمعروف أو تسريح بإحسان ۗ ولا يحل لكم أن تأخذوا مما آتيتموهن شيئا إلا أن يخافا ألا يقيما حدود الله ۖ فإن خفتم ألا يقيما حدود الله فلا جناح عليهما فيما افتدت به ۗ تلك حدود الله فلا تعتدوها ۚ ومن يتعد حدود الله فأولئك هم الظالمون
2,231,Alh,اله,4,وإذا طلقتم النساء فبلغن أجلهن فأمسكوهن بمعروف أو سرحوهن بمعروف ۚ ولا تمسكوهن ضرارا لتعتدوا ۚ ومن يفعل ذلك فقد ظلم نفسه ۚ ولا تتخذوا آيات الله هزوا ۚ واذكروا نعمت الله عليكم وما أنزل عليكم من الكتاب والحكمة يعظكم به ۚ واتقوا الله واعلموا أن الله بكل شيء عليم
2,235,Elm,علم,4,ولا جناح عليكم فيما عرضتم به من خطبة النساء أو أكننتم في أنفسكم ۚ علم الله أنكم ستذكرونهن ولكن لا تواعدوهن سرا إلا أن تقولوا قولا معروفا ۚ ولا تعزموا عقدة النكاح حتى يبلغ الكتاب أجله ۚ واعلموا أن الله يعلم ما في أنفسكم فاحذروه ۚ واعلموا أن الله غفور حليم
2,247,Alh,اله,4,وقال لهم نبيهم إن الله قد بعث لكم طالوت ملكا ۚ قالوا أنى يكون له الملك علينا ونحن أحق بالملك منه ولم يؤت سعة من المال ۚ قال إن الله اصطفاه عليكم وزاده بسطة في العلم والجسم ۖ والله يؤتي ملكه من يشاء ۚ والله واسع عليم
2,247,mlk,ملك,4,وقال لهم نبيهم إن الله قد بعث لكم طالوت ملكا ۚ قالوا أنى يكون له الملك علينا ونحن أحق بالملك منه ولم يؤت سعة من المال ۚ قال إن الله اصطفاه عليكم وزاده بسطة في العلم والجسم ۖ والله يؤتي ملكه من يشاء ۚ والله واسع عليم
2,249,Alh,اله,4,فلما فصل طالوت بالجنود قال إن الله مبتليكم بنهر فمن شرب منه فليس مني ومن لم يطعمه فإنه مني إلا من اغترف غرفة بيده ۚ فشربوا منه إلا قليلا منهم ۚ فلما جاوزه هو والذين آمنوا معه قالوا لا طاقة لنا اليوم بجالوت وجنوده ۚ قال الذين يظنون أنهم ملاقو الله كم من فئة قليلة غلبت فئة كثيرة بإذن الله ۗ والله مع الصابرين
2,251,Alh,اله,4,فهزموهم بإذن الله وقتل داوود جالوت وآتاه الله الملك والحكمة وعلمه مما يشاء ۗ ولولا دفع الله الناس بعضهم ببعض لفسدت الأرض ولكن الله ذو فضل على العالمين
2,253,Alh,اله,4,۞ تلك الرسل فضلنا بعضهم على بعض ۘ منهم من كلم الله ۖ ورفع بعضهم درجات ۚ وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس ۗ ولو شاء الله ما اقتتل الذين من بعدهم من بعد ما جاءتهم البينات ولكن اختلفوا فمنهم من آمن ومنهم من كفر ۚ ولو شاء الله ما اقتتلوا ولكن الله يفعل ما يريد
2,260,qwl,قول,4,وإذ قال إبراهيم رب أرني كيف تحيي الموتى ۖ قال أولم تؤمن ۖ قال بلى ولكن ليطمئن قلبي ۖ قال فخذ أربعة من الطير فصرهن إليك ثم اجعل على كل جبل منهن جزءا ثم ادعهن يأتينك سعيا ۚ واعلم أن الله عزيز حكيم
3,26,mlk,ملك,4,قل اللهم مالك الملك تؤتي الملك من تشاء وتنزع الملك ممن تشاء وتعز من تشاء وتذل من تشاء ۖ بيدك الخير ۖ إنك على كل شيء قدير
3,66,Elm,علم,4,ها أنتم هؤلاء حاججتم فيما لكم به علم فلم تحاجون فيما ليس لكم به علم ۚ والله يعلم وأنتم لا تعلمون
3,154,Alh,اله,4,ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
3,154,qwl,قول,4,ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
3,179,Alh,اله,4,ما كان الله ليذر المؤمنين على ما أنتم عليه حتى يميز الخبيث من الطيب ۗ وما كان الله ليطلعكم على الغيب ولكن الله يجتبي من رسله من يشاء ۖ فآمنوا بالله ورسله ۚ وإن تؤمنوا وتتقوا فلكم أجر عظيم
3,181,qwl,قول,4,لقد سمع الله قول الذين قالوا إن الله فقير ونحن أغنياء ۘ سنكتب ما قالوا وقتلهم الأنبياء بغير حق ونقول ذوقوا عذاب الحريق
3,199,Alh,اله,4,وإن من أهل الكتاب لمن يؤمن بالله وما أنزل إليكم وما أنزل إليهم خاشعين لله لا يشترون بآيات الله ثمنا قليلا ۗ أولئك لهم أجرهم عند ربهم ۗ إن الله سريع الحساب
4,12,trk,ترك,4,۞ ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد ۚ فإن كان لهن ولد فلكم الربع مما تركن ۚ من بعد وصية يوصين بها أو دين ۚ ولهن الربع مما تركتم إن لم يكن لكم ولد ۚ فإن كان لكم ولد فلهن الثمن مما تركتم ۚ من بعد وصية توصون بها أو دين ۗ وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس ۚ فإن كانوا أكثر من ذلك فهم شركاء في الثلث ۚ من بعد وصية يوصى بها أو دين غير مضار ۚ وصية من الله ۗ والله عليم حليم
4,12,wld,ولد,4,۞ ولكم نصف ما ترك أزواجكم إن لم يكن لهن ولد ۚ فإن كان لهن ولد فلكم الربع مما تركن ۚ من بعد وصية يوصين بها أو دين ۚ ولهن الربع مما تركتم إن لم يكن لكم ولد ۚ فإن كان لكم ولد فلهن الثمن مما تركتم ۚ من بعد وصية توصون بها أو دين ۗ وإن كان رجل يورث كلالة أو امرأة وله أخ أو أخت فلكل واحد منهما السدس ۚ فإن كانوا أكثر من ذلك فهم شركاء في الثلث ۚ من بعد وصية يوصى بها أو دين غير مضار ۚ وصية من الله ۗ والله عليم حليم
4,23,bny,بني,4,حرمت عليكم أمهاتكم وبناتكم وأخواتكم وعماتكم وخالاتكم وبنات الأخ وبنات الأخت وأمهاتكم اللاتي أرضعنكم وأخواتكم من الرضاعة وأمهات نسائكم وربائبكم اللاتي في حجوركم من نسائكم اللاتي دخلتم بهن فإن لم تكونوا دخلتم بهن فلا جناح عليكم وحلائل أبنائكم الذين من أصلابكم وأن تجمعوا بين الأختين إلا ما قد سلف ۗ إن الله كان غفورا رحيما
4,25,HSn,حصن,4,ومن لم يستطع منكم طولا أن ينكح المحصنات المؤمنات فمن ما ملكت أيمانكم من فتياتكم المؤمنات ۚ والله أعلم بإيمانكم ۚ بعضكم من بعض ۚ فانكحوهن بإذن أهلهن وآتوهن أجورهن بالمعروف محصنات غير مسافحات ولا متخذات أخدان ۚ فإذا أحصن فإن أتين بفاحشة فعليهن نصف ما على المحصنات من العذاب ۚ ذلك لمن خشي العنت منكم ۚ وأن تصبروا خير لكم ۗ والله غفور رحيم
4,85,$fE,شفع,4,من يشفع شفاعة حسنة يكن له نصيب منها ۖ ومن يشفع شفاعة سيئة يكن له كفل منها ۗ وكان الله على كل شيء مقيتا
4,90,qtl,قتل,4,إلا الذين يصلون إلى قوم بينكم وبينهم ميثاق أو جاءوكم حصرت صدورهم أن يقاتلوكم أو يقاتلوا قومهم ۚ ولو شاء الله لسلطهم عليكم فلقاتلوكم ۚ فإن اعتزلوكم فلم يقاتلوكم وألقوا إليكم السلم فما جعل الله لكم عليهم سبيلا
4,92,kwn,كون,4,وما كان لمؤمن أن يقتل مؤمنا إلا خطأ ۚ ومن قتل مؤمنا خطأ فتحرير رقبة مؤمنة ودية مسلمة إلى أهله إلا أن يصدقوا ۚ فإن كان من قوم عدو لكم وهو مؤمن فتحرير رقبة مؤمنة ۖ وإن كان من قوم بينكم وبينهم ميثاق فدية مسلمة إلى أهله وتحرير رقبة مؤمنة ۖ فمن لم يجد فصيام شهرين متتابعين توبة من الله ۗ وكان الله عليما حكيما
4,94,Alh,اله,4,يا أيها الذين آمنوا إذا ضربتم في سبيل الله فتبينوا ولا تقولوا لمن ألقى إليكم السلام لست مؤمنا تبتغون عرض الحياة الدنيا فعند الله مغانم كثيرة ۚ كذلك كنتم من قبل فمن الله عليكم فتبينوا ۚ إن الله كان بما تعملون خبيرا
4,95,Alh,اله,4,لا يستوي القاعدون من المؤمنين غير أولي الضرر والمجاهدون في سبيل الله بأموالهم وأنفسهم ۚ فضل الله المجاهدين بأموالهم وأنفسهم على القاعدين درجة ۚ وكلا وعد الله الحسنى ۚ وفضل الله المجاهدين على القاعدين أجرا عظيما
4,100,Alh,اله,4,۞ ومن يهاجر في سبيل الله يجد في الأرض مراغما كثيرا وسعة ۚ ومن يخرج من بيته مهاجرا إلى الله ورسوله ثم يدركه الموت فقد وقع أجره على الله ۗ وكان الله غفورا رحيما
