rank,buckwalter,arabic,count,root_buck,root_arabic
92,Eabada,عَبَدَ,122,Ebd,عبد
93,EaZiym,عَظِيم,120,EZm,عظم
94,yad,يَد,120,ydy,يدي
95,m~ubiyn,مُّبِين,119,byn,بين
96,r~aHiym,رَّحِيم,116,rHm,رحم
97,d~unoyaA,دُّنْيَا,115,dnw,دنو
98,raHomap,رَحْمَة,114,rHm,رحم
99,Zalama,ظَلَمَ,110,Zlm,ظلم
100,lan,لَن,106,,
101,sa>ala,سَأَلَ,106,sAl,سال
102,wajada,وَجَدَ,106,wjd,وجد
103,Eilom,عِلْم,105,Elm,علم
104,>ajor,أَجْر,105,Ajr,اجر
105,Eaziyz,عَزِيز,101,Ezz,عزز
106,>axoraja,أَخْرَجَ,99,xrj,خرج
107,Hakiym,حَكِيم,97,Hkm,حكم
108,>akala,أَكَلَ,93,Akl,اكل
109,*uw,ذُو,93,,
110,hal,هَل,93,,
111,diyn,دِين,92,dyn,دين
112,qawol,قَوْل,92,qwl,قول
113,gafuwr,غَفُور,91,gfr,غفر
114,l~ayosa,لَّيْسَ,89,lys,ليس
115,$ayoTa`n,شَيْطَٰن,88,$Tn,شطن
116,maval,مَثَل,88,mvl,مثل
117,faEala,فَعَلَ,88,fEl,فعل
118,malak,مَلَك,88,mlk,ملك
119,n~aZara,نَّظَرَ,87,nZr,نظر
120,waliY~,وَلِىّ,86,wly,ولي
121,maAl,مَال,86,mwl,مول
122,hudFY,هُدًى,85,hdy,هدي
123,*akara,ذَكَرَ,84,*kr,ذكر
124,faDol,فَضْل,84,fDl,فضل
125,layol,لَيْل,84,lyl,ليل
126,Salaw`p,صَلَوٰة,83,Slw,صلو
127,kayof,كَيْف,83,kyf,كيف
128,qatala,قَتَلَ,83,qtl,قتل
129,xaAfa,خَافَ,83,xwf,خوف
130,>aw~al,أَوَّل,82,Awl,اول
131,bunaY~,بُنَىّ,80,bny,بني
132,>akovar,أَكْثَر,80,kvr,كثر
133,rajaEa,رَجَعَ,79,rjE,رجع
134,>aSoHa`b,أَصْحَٰب,78,SHb,صحب
135,tawal~aY`,تَوَلَّىٰ,78,wly,ولي
136,samiEa,سَمِعَ,78,smE,سمع
137,>amara,أَمَرَ,77,Amr,امر
138,jahan~am,جَهَنَّم,77,,
139,zawoj,زَوْج,76,zwj,زوج
140,daxala,دَخَلَ,76,dxl,دخل
141,Hayaw`p,حَيَوٰة,76,Hyy,حيي
142,*ikor,ذِكْر,76,*kr,ذكر
143,mivol,مِثْل,75,mvl,مثل
144,n~abiY~,نَّبِىّ,75,nbA,نبا
145,lawolaA^,لَوْلَا^,75,,
146,>ax,أَخ,75,Axw,اخو
147,xa`lid,خَٰلِد,74,xld,خلد
148,firoEawon,فِرْعَوْن,74,,
149,>aHad,أَحَد,74,AHd,احد
150,Ea`lamiyn,عَٰلَمِين,73,Elm,علم
151,la`kin,لَٰكِن,73,,
152,jazaY`,جَزَىٰ,73,jzy,جزي
153,>aliym,أَلِيم,72,Alm,الم
154,wajoh,وَجْه,72,wjh,وجه
155,>aTaAEa,أَطَاعَ,72,TwE,طوع
156,>awoHaY`^,أَوْحَىٰ^,72,wHy,وحي
157,<insa`n,إِنسَٰن,71,Ans,انس
158,bay~inap,بَيِّنَة,71,byn,بين
159,>a$oraka,أَشْرَكَ,71,$rk,شرك
160,Eamal,عَمَل,71,Eml,عمل
161,>aloqaY`^,أَلْقَىٰ^,71,lqy,لقي
162,qaliyl,قَلِيل,70,qll,قلل
163,qiya`map,قِيَٰمَة,70,qwm,قوم
164,A^xar,ا^خَر,70,Axr,اخر
165,quro'aAn,قُرْءَان,70,qrA,قرا
166,waEada,وَعَدَ,70,wEd,وعد
167,yawoma}i*,يَوْمَئِذ,70,,
168,<iboraAhiym,إِبْرَاهِيم,69,,
169,>anfaqa,أَنفَقَ,68,nfq,نفق
170,gafara,غَفَرَ,65,gfr,غفر
171,Sa`liH,صَٰلِح,65,SlH,صلح
172,bayot,بَيْت,65,byt,بيت
173,yamiyn,يَمِين,65,ymn,يمن
174,>aDal~a,أَضَلَّ,64,Dll,ضلل
175,>um~ap,أُمَّة,64,Amm,امم
176,A^baA',ا^بَاء,64,Abw,ابو
177,>aSaAba,أَصَابَ,64,Swb,صوب
178,>aHobabo,أَحْبَبْ,64,Hbb,حبب
179,maA^',مَا^ء,63,mwh,موه
180,kaviyr,كَثِير,63,kvr,كثر
181,taAba,تَابَ,63,twb,توب
182,{bon,ٱبْن,63,bny,بني
183,naz~ala,نَزَّلَ,62,nzl,نزل
184,S~a`liHa`t,صَّٰلِحَٰت,62,SlH,صلح
185,kasaba,كَسَبَ,62,ksb,كسب
186,razaqa,رَزَقَ,61,rzq,رزق
187,talaY`,تَلَىٰ,61,tlw,تلو
188,>aY~,أَىّ,60,,
189,SaAdiq,صَادِق,59,Sdq,صدق
190,naSara,نَصَرَ,59,nSr,نصر
191,nisaA^',نِسَا^ء,59,nsw,نسو
192,qaDaY`^,قَضَىٰ^,59,qDy,قضي
193,Sabara,صَبَرَ,58,Sbr,صبر
194,na*iyr,نَذِير,58,n*r,نذر
195,r~aHoma`n,رَّحْمَٰن,57,rHm,رحم
196,jarayo,جَرَيْ,57,jry,جري
197,qaroyap,قَرْيَة,57,qry,قري
198,Eayon,عَيْن,57,Eyn,عين
199,la`kin~,لَٰكِنّ,57,,
200,nahaAr,نَهَار,57,nhr,نهر
201,$ahiyd,شَهِيد,56,$hd,شهد
202,mas~a,مَسَّ,56,mss,مسس
203,walad,وَلَد,56,wld,ولد
204,$adiyd,شَدِيد,56,$dd,شدد
205,rizoq,رِزْق,55,rzq,رزق
206,Daraba,ضَرَبَ,55,Drb,ضرب
207,>am~aA,أَمَّا,55,,
208,>aqaAma,أَقَامَ,54,qwm,قوم
209,nahar,نَهَر,54,nhr,نهر
210,qa`tala,قَٰتَلَ,54,qtl,قتل
211,jamiyE,جَمِيع,53,jmE,جمع
212,xaraja,خَرَجَ,53,xrj,خرج
213,Dal~a,ضَلَّ,53,Dll,ضلل
214,baEava,بَعَثَ,52,bEv,بعث
215,xaloq,خَلْق,52,xlq,خلق
216,>ajal,أَجَل,52,Ajl,اجل
217,mujorim,مُجْرِم,52,jrm,جرم
218,taHot,تَحْت,51,tHt,تحت
219,>aHoyaA,أَحْيَا,51,Hyy,حيي
220,baSiyr,بَصِير,51,bSr,بصر
221,>aholaka,أَهْلَكَ,51,hlk,هلك
222,ta*ak~ara,تَذَكَّرَ,51,*kr,ذكر
223,mawot,مَوْت,50,mwt,موت
224,Eaduw~,عَدُوّ,50,Edw,عدو
225,niEomap,نِعْمَة,50,nEm,نعم
226,suw^',سُو^ء,50,swA,سوا
227,{fotaraY`,ٱفْتَرَىٰ,50,fry,فري
228,mut~aqiyn,مُتَّقِين,49,wqy,وقي
229,gayob,غَيْب,49,gyb,غيب
230,zaAda,زَادَ,49,zyd,زيد
231,Eaqalu,عَقَلُ,49,Eql,عقل
232,kataba,كَتَبَ,49,ktb,كتب
233,>aEolam,أَعْلَم,49,Elm,علم
234,waEod,وَعْد,49,wEd,وعد
235,baSar,بَصَر,48,bSr,بصر
236,daAr,دَار,48,dwr,دور
237,mulok,مُلْك,48,mlk,ملك
238,saAEap,سَاعَة,48,swE,سوع
239,Zan~a,ظَنَّ,47,Znn,ظنن
240,samiyE,سَمِيع,47,smE,سمع
241,$akara,شَكَرَ,46,$kr,شكر
242,nab~a>a,نَبَّأَ,46,nbA,نبا
243,>abN,أَبٌ,46,Abw,ابو
244,Sira`T,صِرَٰط,45,SrT,صرط
245,qadiyr,قَدِير,45,qdr,قدر
246,<iyma`n,إِيمَٰن,45,Amn,امن
247,Hakama,حَكَمَ,45,Hkm,حكم
248,>uwliY,أُولِى,45,Awl,اول
249,ya*ara,يَذَرَ,45,w*r,وذر
250,xabiyr,خَبِير,45,xbr,خبر
251,>an*ara,أَنذَرَ,44,n*r,نذر
252,$ahida,شَهِدَ,44,$hd,شهد
253,mu$orik,مُشْرِك,44,$rk,شرك
254,Hasiba,حَسِبَ,44,Hsb,حسب
255,Sador,صَدْر,44,Sdr,صدر
256,naAdaY`,نَادَىٰ,44,ndw,ندو
257,malakato,مَلَكَتْ,44,mlk,ملك
258,Hamod,حَمْد,43,Hmd,حمد
259,nuwr,نُور,43,nwr,نور
260,<isoraA}iyl,إِسْرَائِيل,43,,
261,nuwH,نُوح,43,,
262,sab~aHa,سَبَّحَ,42,sbH,سبح
263,jazaA^',جَزَا^ء,42,jzy,جزي
264,{sotaTaAEa,ٱسْتَطَاعَ,42,TwE,طوع
265,>udoxila,أُدْخِلَ,42,dxl,دخل
266,sawof,سَوْف,42,,
267,sala`m,سَلَٰم,42,slm,سلم
268,fawoq,فَوْق,41,fwq,فوق
269,Eal~ama,عَلَّمَ,41,Elm,علم
270,suboHa`n,سُبْحَٰن,41,sbH,سبح
271,baHor,بَحْر,41,bHr,بحر
272,Hamala,حَمَلَ,41,Hml,حمل
273,Ea*~aba,عَذَّبَ,41,E*b,عذب
274,taraka,تَرَكَ,40,trk,ترك
275,{sotakobara,ٱسْتَكْبَرَ,40,kbr,كبر
276,{hotadaY`,ٱهْتَدَىٰ,40,hdy,هدي
277,>arayo,أَرَيْ,40,rAy,راي
278,wayol,وَيْل,40,,
279,bi}osa,بِئْسَ,40,bAs,باس
280,xa$iYa,خَشِىَ,40,x$y,خشي
281,balaga,بَلَغَ,40,blg,بلغ
282,{sotagofara,ٱسْتَغْفَرَ,40,gfr,غفر
283,kabiyr,كَبِير,40,kbr,كبر
284,tawak~alo,تَوَكَّلْ,40,wkl,وكل
285,$ariyk,شَرِيك,40,$rk,شرك
286,{som,ٱسْم,39,smw,سمو
287,>alaA^,أَلَا^,39,,
288,<i*on,إِذْن,39,A*n,اذن
289,musolim,مُسْلِم,39,slm,سلم
290,m~aAta,مَّاتَ,39,mwt,موت
291,Har~ama,حَرَّمَ,39,Hrm,حرم
292,HisaAb,حِسَاب,39,Hsb,حسب
293,jabal,جَبَل,39,jbl,جبل
294,bu$~ira,بُشِّرَ,38,b$r,بشر
295,m~ay~it,مَّيِّت,38,mwt,موت
296,muHosin,مُحْسِن,38,Hsn,حسن
297,r~aDiYa,رَّضِىَ,38,rDw,رضو
298,m~aEoruwf,مَّعْرُوف,38,Erf,عرف
299,Dala`l,ضَلَٰل,38,Dll,ضلل
300,m~usotaqiym,مُّسْتَقِيم,37,qwm,قوم
301,faAsiq,فَاسِق,37,fsq,فسق
302,yaHozun,يَحْزُن,37,Hzn,حزن
303,naj~aY`,نَجَّىٰ,37,njw,نجو
304,kufor,كُفْر,37,kfr,كفر
305,Ha$ara,حَشَرَ,37,H$r,حشر
306,*anb,ذَنب,37,*nb,ذنب
307,ba$ar,بَشَر,37,b$r,بشر
308,Sad~a,صَدَّ,37,Sdd,صدد
309,suloTa`n,سُلْطَٰن,37,slT,سلط
310,rad~a,رَدَّ,36,rdd,ردد
311,>aHosan,أَحْسَن,36,Hsn,حسن
312,say~i_#aAt,سَيِّـ#َات,36,swA,سوا
313,*aAqu,ذَاقُ,36,*wq,ذوق
314,*ahaba,ذَهَبَ,35,*hb,ذهب
315,{sotawaY`^,ٱسْتَوَىٰ^,35,swy,سوي
316,sajada,سَجَدَ,35,sjd,سجد
317,mata`E,مَتَٰع,35,mtE,متع
318,Hiyn,حِين,35,Hyn,حين
319,nasiYa,نَسِىَ,35,nsy,نسي
320,bay~anu,بَيَّنُ,35,byn,بين
321,<ivom,إِثْم,35,Avm,اثم
322,naSiyr,نَصِير,35,nSr,نصر
323,{xotalafa,ٱخْتَلَفَ,35,xlf,خلف
324,m~urosal,مُّرْسَل,35,rsl,رسل
325,>um~,أُمّ,35,Amm,امم
326,maroyam,مَرْيَم,34,,
327,fitonap,فِتْنَة,34,ftn,فتن
328,{botagaY`,ٱبْتَغَىٰ,34,bgy,بغي
329,'aAlaA^',ءَالَا^ء,34,Alw,الو
330,qaAma,قَامَ,33,qwm,قوم
331,fariyq,فَرِيق,33,frq,فرق
332,HaraAm,حَرَام,33,Hrm,حرم
333,$amos,شَمْس,33,$ms,شمس
334,n~aEam,نَّعَم,33,nEm,نعم
335,ka*ib,كَذِب,33,k*b,كذب
336,kal~aA,كَلَّا,33,,
337,xa`siriyn,خَٰسِرِين,32,xsr,خسر
338,zakaw`p,زَكَوٰة,32,zkw,زكو
339,kafaY`,كَفَىٰ,32,kfy,كفي
340,ka`*ib,كَٰذِب,32,k*b,كذب
341,nahaY`,نَهَىٰ,32,nhy,نهي
342,Ea`qibap,عَٰقِبَة,32,Eqb,عقب
343,>aEoraDa,أَعْرَضَ,32,ErD,عرض
344,>a$ad~,أَشَدّ,31,$dd,شدد
345,nafaEa,نَفَعَ,31,nfE,نفع
346,<i*FA,إِذًا,31,,
347,wa`Hidap,وَٰحِدَة,31,wHd,وحد
348,wa`Hid,وَٰحِد,30,wHd,وحد
349,quw~ap,قُوَّة,30,qwy,قوي
350,wal~aY`,وَلَّىٰ,30,wly,ولي
351,EasaY,عَسَى,30,Esy,عسي
352,$ar~,شَرّ,30,$rr,شرر
353,mala>,مَلَأ,30,mlA,ملا
354,labiva,لَبِثَ,30,lbv,لبث
355,Hukom,حُكْم,30,Hkm,حكم
356,saA^'a,سَا^ءَ,30,swA,سوا
357,kariym,كَرِيم,30,krm,كرم
358,>aboSara,أَبْصَرَ,29,bSr,بصر
359,Eahod,عَهْد,29,Ehd,عهد
360,Hayov,حَيْث,29,Hyv,حيث
361,ka>an~,كَأَنّ,29,,
362,riyH,رِيح,29,rwH,روح
363,jund,جُند,29,jnd,جند
364,Earo$,عَرْش,29,Er$,عرش
365,rajul,رَجُل,29,rjl,رجل
366,naba>,نَبَأ,29,nbA,نبا
367,>abadFA,أَبَدًا,28,Abd,ابد
368,siHor,سِحْر,28,sHr,سحر
369,masojid,مَسْجِد,28,sjd,سجد
370,*ur~iy~ap,ذُرِّيَّة,28,*rr,ذرر
371,maSiyr,مَصِير,28,Syr,صير
372,>aSolaHa,أَصْلَحَ,28,SlH,صلح
373,m~agofirap,مَّغْفِرَة,28,gfr,غفر
374,{sotajaAba,ٱسْتَجَابَ,28,jwb,جوب
375,Hasanap,حَسَنَة,28,Hsn,حسن
376,>an~aY`,أَنَّىٰ,28,Any,اني
377,rijaAl,رِجَال,28,rjl,رجل
378,r~aHima,رَّحِمَ,28,rHm,رحم
379,>agonato,أَغْنَتْ,28,gny,غني
380,kalimap,كَلِمَة,28,klm,كلم
381,>aSobaHa,أَصْبَحَ,28,SbH,صبح
382,Hadiyv,حَدِيث,28,Hdv,حدث
383,sawaA^',سَوَا^ء,27,swy,سوي
384,kaAfir,كَافِر,27,kfr,كفر
385,EafaA,عَفَا,27,Efw,عفو
386,baAb,بَاب,27,bwb,بوب
387,EaSaA,عَصَا,27,ESy,عصي
388,ga`fil,غَٰفِل,27,gfl,غفل
389,qad~ama,قَدَّمَ,27,qdm,قدم
390,>afolaHa,أَفْلَحَ,27,flH,فلح
391,ja`hada,جَٰهَدَ,27,jhd,جهد
392,m~akaAn,مَّكَان,27,kwn,كون
393,muna`fiquwn,مُنَٰفِقُون,27,nfq,نفق
394,qamar,قَمَر,27,qmr,قمر
395,yuwsuf,يُوسُف,27,,
396,luwT,لُوط,27,,
397,maA*aA,مَاذَا,26,,
398,xawof,خَوْف,26,xwf,خوف
399,ba`Til,بَٰطِل,26,bTl,بطل
400,'aAl,ءَال,26,Awl,اول
401,jaHiym,جَحِيم,26,jHm,جحم
402,>ajomaEiyn,أَجْمَعِين,26,jmE,جمع
403,qariyb,قَرِيب,26,qrb,قرب
404,zay~ana,زَيَّنَ,26,zyn,زين
405,{mora>at,ٱمْرَأَت,26,mrA,مرا
406,kayod,كَيْد,26,kyd,كيد
407,vamuwd,ثَمُود,26,,
408,ya$oEuru,يَشْعُرُ,25,$Er,شعر
409,xalaA,خَلَا,25,xlw,خلو
410,m~iyva`q,مِّيثَٰق,25,wvq,وثق
411,A^dam,ا^دَم,25,,
412,EiysaY,عِيسَى,25,,
413,junaAH,جُنَاح,25,jnH,جنح
414,baEiyd,بَعِيد,25,bEd,بعد
415,ba>os,بَأْس,25,bAs,باس
416,qadara,قَدَرَ,25,qdr,قدر
417,lisaAn,لِسَان,25,lsn,لسن
418,bagaY`,بَغَىٰ,25,bgy,بغي
419,ja`dalu,جَٰدَلُ,25,jdl,جدل
420,<iy~aA,إِيَّا,24,,
421,kaAda,كَادَ,24,kwd,كود
422,TaEaAm,طَعَام,24,TEm,طعم
423,waraA^',وَرَا^ء,24,wry,وري
424,Hay~,حَيّ,24,Hyy,حيي
425,>unvaY`,أُنثَىٰ,24,Anv,انث
426,>akobar,أَكْبَر,24,kbr,كبر
427,tawaf~aY`,تَوَفَّىٰ,24,wfy,وفي
428,ganiY~,غَنِىّ,24,gny,غني
429,TaA^}ifap,طَا^ئِفَة,24,Twf,طوف
430,wakiyl,وَكِيل,24,wkl,وكل
431,liqaA^',لِقَا^ء,24,lqy,لقي
432,EaAd2,عَاد²,24,Ewd,عود
433,Zuluma`t,ظُلُمَٰت,23,Zlm,ظلم
434,saboE,سَبْع,23,sbE,سبع
435,<im~aA,إِمَّا,23,,
436,>anjaY`,أَنجَىٰ,23,njw,نجو
437,saAjid,سَاجِد,23,sjd,سجد
438,bad~ala,بَدَّلَ,23,bdl,بدل
439,yatiym,يَتِيم,23,ytm,يتم
440,misokiyn,مِسْكِين,23,skn,سكن
441,laEana,لَعَنَ,23,lEn,لعن
442,$aha`dap,شَهَٰدَة,23,$hd,شهد
443,fulok,فُلْك,23,flk,فلك
444,*aA,ذَا,23,,
445,>a*ina,أَذِنَ,23,A*n,اذن
446,fatanu,فَتَنُ,23,ftn,فتن
447,qaron,قَرْن,23,qrn,قرن
448,*ikoraY`,ذِكْرَىٰ,23,*kr,ذكر
449,samoE,سَمْع,22,smE,سمع
450,rafaEa,رَفَعَ,22,rfE,رفع
451,xalof,خَلْف,22,xlf,خلف
452,balaY`,بَلَىٰ,22,,
453,say~i}ap,سَيِّئَة,22,swA,سوا
454,>asolama,أَسْلَمَ,22,slm,سلم
455,duEaA^',دُعَا^ء,22,dEw,دعو
456,naSor,نَصْر,22,nSr,نصر
457,yarojuwA@,يَرْجُوا@,22,rjw,رجو
458,wahaba,وَهَبَ,22,whb,وهب
459,jamaEa,جَمَعَ,22,jmE,جمع
460,makara,مَكَرَ,22,mkr,مكر
461,ma>owaY`,مَأْوَىٰ,22,Awy,اوي
462,bar~,بَرّ,22,brr,برر
463,m~u&omina`t,مُّؤْمِنَٰت,22,Amn,امن
464,>a*aAqa,أَذَاقَ,22,*wq,ذوق
465,jin~,جِنّ,22,jnn,جنن
466,sa`Hir,سَٰحِر,22,sHr,سحر
467,sax~ara,سَخَّرَ,22,sxr,سخر
468,mufosid,مُفْسِد,21,fsd,فسد
469,{sotuhozi}a,ٱسْتُهْزِئَ,21,hzA,هزا
470,{$otaraY`,ٱشْتَرَىٰ,21,$ry,شري
471,>aEomaY`,أَعْمَىٰ,21,Emy,عمي
472,m~a$a,مَّشَ,21,m$y,مشي
473,>amaAta,أَمَاتَ,21,mwt,موت
474,katama,كَتَمَ,21,ktm,كتم
475,Tay~iba`t,طَيِّبَٰت,21,Tyb,طيب
476,ruwH,رُوح,21,rwH,روح
477,$ahor,شَهْر,21,$hr,شهر
478,>aHosana,أَحْسَنَ,21,Hsn,حسن
479,naSiyb,نَصِيب,21,nSb,نصب
480,kam,كَم,21,,
481,Hasan,حَسَن,21,Hsn,حسن
482,m~usam~FY,مُّسَمًّى,21,smw,سمو
483,waDaEa,وَضَعَ,21,wDE,وضع
484,$aAhid,شَاهِد,21,$hd,شهد
485,m~uka*~ibiyn,مُّكَذِّبِين,21,k*b,كذب
486,Zan~,ظَنّ,21,Znn,ظنن
487,>aEad~a,أَعَدَّ,20,Edd,عدد
488,Earafa,عَرَفَ,20,Erf,عرف
489,saEaY`,سَعَىٰ,20,sEy,سعي
490,kal~ama,كَلَّمَ,20,klm,كلم
491,Hikomap,حِكْمَة,20,Hkm,حكم
492,SaAbir,صَابِر,20,Sbr,صبر
493,balawo,بَلَوْ,20,blw,بلو
494,>aHal~a,أَحَلَّ,20,Hll,حلل
495,>amina,أَمِنَ,20,Amn,امن
496,EiqaAb,عِقَاب,20,Eqb,عقب
497,ha`ruwn,هَٰرُون,20,,
498,laday,لَدَي,20,,
499,Zulom,ظُلْم,20,Zlm,ظلم
500,qaS~a,قَصَّ,20,qSS,قصص
501,>aqosamu,أَقْسَمُ,20,qsm,قسم
502,Hizob,حِزْب,20,Hzb,حزب
503,>an$a>a,أَنشَأَ,20,n$A,نشا
504,Hamiym,حَمِيم,20,Hmm,حمم
505,taEa`laY`,تَعَٰلَىٰ,20,Elw,علو
506,Haq~a,حَقَّ,20,Hqq,حقق
507,sabaqa,سَبَقَ,20,sbq,سبق
508,$ajarap,شَجَرَة,19,$jr,شجر
509,muSad~iq,مُصَدِّق,19,Sdq,صدق
510,m~uEoriDuwn,مُّعْرِضُون,19,ErD,عرض
511,yaDur~a,يَضُرَّ,19,Drr,ضرر
512,>ayon,أَيْن,19,,
513,>aqorab,أَقْرَب,19,qrb,قرب
514,mar~ap,مَرَّة,19,mrr,مرر
515,Tayor,طَيْر,19,Tyr,طير
516,nafaxa,نَفَخَ,19,nfx,نفخ
517,fawoz,فَوْز,19,fwz,فوز
518,yafoqahu,يَفْقَهُ,19,fqh,فقه
519,Dur~,ضُرّ,19,Drr,ضرر
520,{sotaEojala,ٱسْتَعْجَلَ,19,Ejl,عجل
521,ziynap,زِينَة,19,zyn,زين
522,makor,مَكْر,19,mkr,مكر
523,rayob,رَيْب,18,ryb,ريب
524,>u*unN,أُذُنٌ,18,A*n,اذن
525,>awofaY`,أَوْفَىٰ,18,wfy,وفي
526,>asar~a,أَسَرَّ,18,srr,سرر
527,tabay~ana,تَبَيَّنَ,18,byn,بين
528,m~at~aEo,مَّتَّعْ,18,mtE,متع
529,daA^b~ap,دَا^بَّة,18,dbb,دبب
530,ra>os,رَأْس,18,rAs,راس
531,darajap,دَرَجَة,18,drj,درج
532,>amosaka,أَمْسَكَ,18,msk,مسك
533,niEoma,نِعْمَ,18,nEm,نعم
534,>uxofiYa,أُخْفِىَ,18,xfy,خفي
535,waf~aY`^,وَفَّىٰ^,18,wfy,وفي
536,EaAda,عَادَ,18,Ewd,عود
537,*uk~ira,ذُكِّرَ,18,*kr,ذكر
538,mawolaY`,مَوْلَىٰ,18,wly,ولي
539,t~aworaY`p,تَّوْرَىٰة,18,,
540,l~adun,لَّدُن,18,ldn,لدن
541,*akar,ذَكَر,18,*kr,ذكر
542,munkar,مُنكَر,18,nkr,نكر
543,dubur,دُبُر,18,dbr,دبر
544,Ea`lim,عَٰلِم,18,Elm,علم
545,<ins,إِنس,18,Ans,انس
546,>uEiydu,أُعِيدُ,18,Ewd,عود
547,>anoEama,أَنْعَمَ,17,nEm,نعم
548,m~uhotaduwn,مُّهْتَدُون,17,hdy,هدي
549,Hawol,حَوْل,17,Hwl,حول
550,faD~ala,فَضَّلَ,17,fDl,فضل
551,>ugoriqu,أُغْرِقُ,17,grq,غرق
552,>aHaATa,أَحَاطَ,17,HwT,حوط
553,wad~a,وَدَّ,17,wdd,ودد
554,sulayoma`n,سُلَيْمَٰن,17,,
555,>ahowaA^',أَهْوَا^ء,17,hwy,هوي
556,<isoHaAq,إِسْحَاق,17,,
557,{nqalaba,ٱنقَلَبَ,17,qlb,قلب
558,baTon,بَطْن,17,bTn,بطن
559,taqowaY,تَقْوَى,17,wqy,وقي
560,kariha,كَرِهَ,17,krh,كره
561,yatafak~aru,يَتَفَكَّرُ,17,fkr,فكر
562,turaAb,تُرَاب,17,trb,ترب
563,Hamiyd,حَمِيد,17,Hmd,حمد
