rank,s1,v1,s2,v2,lev_distance,ratio,mean_len,len1,len2,text1,text2
18,10,48,21,38,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
19,10,48,67,25,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
20,21,38,36,48,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
21,21,38,27,71,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
22,34,29,36,48,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
23,27,71,36,48,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
24,10,48,27,71,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
25,21,38,34,29,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
26,27,71,67,25,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
27,11,96,40,23,0,0.0000,36.0,36,36,ولقد أرسلنا موسى بآياتنا وسلطان مبين,ولقد أرسلنا موسى بآياتنا وسلطان مبين
28,27,71,34,29,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
29,10,48,34,29,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
30,23,7,70,31,0,0.0000,36.0,36,36,فمن ابتغى وراء ذلك فأولئك هم العادون,فمن ابتغى وراء ذلك فأولئك هم العادون
31,36,48,67,25,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
32,10,48,36,48,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
33,21,38,67,25,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
34,34,29,67,25,0,0.0000,36.0,36,36,ويقولون متى هذا الوعد إن كنتم صادقين,ويقولون متى هذا الوعد إن كنتم صادقين
35,45,2,46,2,0,0.0000,34.0,34,34,تنزيل الكتاب من الله العزيز الحكيم,تنزيل الكتاب من الله العزيز الحكيم
36,39,1,46,2,0,0.0000,34.0,34,34,تنزيل الكتاب من الله العزيز الحكيم,تنزيل الكتاب من الله العزيز الحكيم
37,52,19,77,43,0,0.0000,34.0,34,34,كلوا واشربوا هنيئا بما كنتم تعملون,كلوا واشربوا هنيئا بما كنتم تعملون
38,39,1,45,2,0,0.0000,34.0,34,34,تنزيل الكتاب من الله العزيز الحكيم,تنزيل الكتاب من الله العزيز الحكيم
39,52,40,68,46,0,0.0000,33.0,33,33,أم تسألهم أجرا فهم من مغرم مثقلون,أم تسألهم أجرا فهم من مغرم مثقلون
40,15,5,23,43,0,0.0000,33.0,33,33,ما تسبق من أمة أجلها وما يستأخرون,ما تسبق من أمة أجلها وما يستأخرون
41,23,8,70,32,0,0.0000,32.0,32,32,والذين هم لأماناتهم وعهدهم راعون,والذين هم لأماناتهم وعهدهم راعون
42,15,58,51,32,0,0.0000,31.0,31,31,قالوا إنا أرسلنا إلى قوم مجرمين,قالوا إنا أرسلنا إلى قوم مجرمين
43,7,108,26,33,0,0.0000,31.0,31,31,ونزع يده فإذا هي بيضاء للناظرين,ونزع يده فإذا هي بيضاء للناظرين
44,15,36,38,79,0,0.0000,29.0,29,29,قال رب فأنظرني إلى يوم يبعثون,قال رب فأنظرني إلى يوم يبعثون
45,16,42,29,59,0,0.0000,29.0,29,29,الذين صبروا وعلى ربهم يتوكلون,الذين صبروا وعلى ربهم يتوكلون
46,7,107,26,32,0,0.0000,29.0,29,29,فألقى عصاه فإذا هي ثعبان مبين,فألقى عصاه فإذا هي ثعبان مبين
47,37,27,52,25,0,0.0000,28.0,28,28,وأقبل بعضهم على بعض يتساءلون,وأقبل بعضهم على بعض يتساءلون
48,52,41,68,47,0,0.0000,25.0,25,25,أم عندهم الغيب فهم يكتبون,أم عندهم الغيب فهم يكتبون
49,15,30,38,73,0,0.0000,25.0,25,25,فسجد الملائكة كلهم أجمعون,فسجد الملائكة كلهم أجمعون
50,15,34,38,77,0,0.0000,24.0,24,24,قال فاخرج منها فإنك رجيم,قال فاخرج منها فإنك رجيم
