surah,verse,fasila_2char,fasila_3char,ends_in_letter
3,52,ون,مون,ن
3,53,ين,دين,ن
3,54,ين,رين,ن
3,55,ون,فون,ن
3,56,ين,رين,ن
3,57,ين,مين,ن
3,58,يم,كيم,م
3,59,ون,كون,ن
3,60,ين,رين,ن
3,61,ين,بين,ن
3,62,يم,كيم,م
3,63,ين,دين,ن
3,64,ون,مون,ن
3,65,ون,لون,ن
3,66,ون,مون,ن
3,67,ين,كين,ن
3,68,ين,نين,ن
3,69,ون,رون,ن
3,70,ون,دون,ن
3,71,ون,مون,ن
3,72,ون,عون,ن
3,73,يم,ليم,م
3,74,يم,ظيم,م
3,75,ون,مون,ن
3,76,ين,قين,ن
3,77,يم,ليم,م
3,78,ون,مون,ن
3,79,ون,سون,ن
3,80,ون,مون,ن
3,81,ين,دين,ن
3,82,ون,قون,ن
3,83,ون,عون,ن
3,84,ون,مون,ن
3,85,ين,رين,ن
3,86,ين,مين,ن
3,87,ين,عين,ن
3,88,ون,رون,ن
3,89,يم,حيم,م
3,90,ون,لون,ن
3,91,ين,رين,ن
3,92,يم,ليم,م
3,93,ين,قين,ن
3,94,ون,مون,ن
3,95,ين,كين,ن
3,96,ين,مين,ن
3,97,ين,مين,ن
3,98,ون,لون,ن
3,99,ون,لون,ن
3,100,ين,رين,ن
3,101,يم,قيم,م
3,102,ون,مون,ن
3,103,ون,دون,ن
3,104,ون,حون,ن
3,105,يم,ظيم,م
3,106,ون,رون,ن
3,107,ون,دون,ن
3,108,ين,مين,ن
3,109,ور,مور,ر
3,110,ون,قون,ن
3,111,ون,رون,ن
3,112,ون,دون,ن
3,113,ون,دون,ن
3,114,ين,حين,ن
3,115,ين,قين,ن
3,116,ون,دون,ن
3,117,ون,مون,ن
3,118,ون,لون,ن
3,119,ور,دور,ر
3,120,يط,حيط,ط
3,121,يم,ليم,م
3,122,ون,نون,ن
3,123,ون,رون,ن
3,124,ين,لين,ن
3,125,ين,مين,ن
3,126,يم,كيم,م
3,127,ين,بين,ن
3,128,ون,مون,ن
3,129,يم,حيم,م
3,130,ون,حون,ن
3,131,ين,رين,ن
3,132,ون,مون,ن
3,133,ين,قين,ن
3,134,ين,نين,ن
3,135,ون,مون,ن
3,136,ين,لين,ن
3,137,ين,بين,ن
3,138,ين,قين,ن
3,139,ين,نين,ن
3,140,ين,مين,ن
3,141,ين,رين,ن
3,142,ين,رين,ن
3,143,ون,رون,ن
3,144,ين,رين,ن
3,145,ين,رين,ن
3,146,ين,رين,ن
3,147,ين,رين,ن
3,148,ين,نين,ن
3,149,ين,رين,ن
3,150,ين,رين,ن
3,151,ين,مين,ن
3,152,ين,نين,ن
3,153,ون,لون,ن
3,154,ور,دور,ر
3,155,يم,ليم,م
3,156,ير,صير,ر
3,157,ون,عون,ن
3,158,ون,رون,ن
3,159,ين,لين,ن
3,160,ون,نون,ن
3,161,ون,مون,ن
3,162,ير,صير,ر
3,163,ون,لون,ن
3,164,ين,بين,ن
3,165,ير,دير,ر
3,166,ين,نين,ن
3,167,ون,مون,ن
3,168,ين,قين,ن
3,169,ون,قون,ن
3,170,ون,نون,ن
3,171,ين,نين,ن
3,172,يم,ظيم,م
3,173,يل,كيل,ل
3,174,يم,ظيم,م
3,175,ين,نين,ن
3,176,يم,ظيم,م
3,177,يم,ليم,م
3,178,ين,هين,ن
3,179,يم,ظيم,م
3,180,ير,بير,ر
3,181,يق,ريق,ق
3,182,يد,بيد,د
3,183,ين,قين,ن
3,184,ير,نير,ر
3,185,ور,رور,ر
3,186,ور,مور,ر
3,187,ون,رون,ن
3,188,يم,ليم,م
3,189,ير,دير,ر
3,190,بب,لبب,ب
3,191,ار,نار,ر
3,192,ار,صار,ر
3,193,ار,رار,ر
3,194,اد,عاد,د
3,195,اب,واب,ب
3,196,لد,بلد,د
3,197,اد,هاد,د
3,198,ار,رار,ر
3,199,اب,ساب,ب
3,200,ون,حون,ن
4,1,با,يبا,ا
4,2,را,يرا,ا
4,3,وا,لوا,ا
4,4,يا,ريا,ا
4,5,فا,وفا,ا
4,6,با,يبا,ا
4,7,ضا,وضا,ا
4,8,فا,وفا,ا
4,9,دا,يدا,ا
4,10,را,يرا,ا
4,11,ما,يما,ا
4,12,يم,ليم,م
4,13,يم,ظيم,م
4,14,ين,هين,ن
4,15,لا,يلا,ا
4,16,ما,يما,ا
4,17,ما,يما,ا
4,18,ما,يما,ا
4,19,را,يرا,ا
4,20,نا,ينا,ا
4,21,ظا,يظا,ا
4,22,لا,يلا,ا
4,23,ما,يما,ا
4,24,ما,يما,ا
4,25,يم,حيم,م
4,26,يم,كيم,م
4,27,ما,يما,ا
4,28,فا,يفا,ا
4,29,ما,يما,ا
4,30,را,يرا,ا
4,31,ما,يما,ا
4,32,ما,يما,ا
4,33,دا,يدا,ا
4,34,را,يرا,ا
4,35,را,يرا,ا
4,36,را,ورا,ا
4,37,نا,ينا,ا
4,38,نا,ينا,ا
4,39,ما,يما,ا
4,40,ما,يما,ا
4,41,دا,يدا,ا
4,42,ثا,يثا,ا
4,43,را,ورا,ا
4,44,يل,بيل,ل
4,45,را,يرا,ا
4,46,لا,يلا,ا
4,47,لا,ولا,ا
4,48,ما,يما,ا
4,49,لا,يلا,ا
4,50,نا,ينا,ا
4,51,لا,يلا,ا
4,52,را,يرا,ا
4,53,را,يرا,ا
4,54,ما,يما,ا
4,55,را,يرا,ا
4,56,ما,يما,ا
4,57,لا,يلا,ا
4,58,را,يرا,ا
4,59,لا,يلا,ا
4,60,دا,يدا,ا
4,61,دا,ودا,ا
4,62,قا,يقا,ا
4,63,غا,يغا,ا
4,64,ما,يما,ا
4,65,ما,يما,ا
4,66,تا,يتا,ا
4,67,ما,يما,ا
4,68,ما,يما,ا
4,69,قا,يقا,ا
4,70,ما,يما,ا
4,71,عا,يعا,ا
4,72,دا,يدا,ا
4,73,ما,يما,ا
4,74,ما,يما,ا
4,75,را,يرا,ا
4,76,فا,يفا,ا
4,77,لا,يلا,ا
4,78,ثا,يثا,ا
4,79,دا,يدا,ا
4,80,ظا,يظا,ا
4,81,لا,يلا,ا
4,82,را,يرا,ا
4,83,لا,يلا,ا
4,84,لا,يلا,ا
4,85,تا,يتا,ا
4,86,با,يبا,ا
4,87,ثا,يثا,ا
4,88,لا,يلا,ا
4,89,را,يرا,ا
4,90,لا,يلا,ا
4,91,نا,ينا,ا
4,92,ما,يما,ا
4,93,ما,يما,ا
4,94,را,يرا,ا
4,95,ما,يما,ا
4,96,ما,يما,ا
4,97,را,يرا,ا
4,98,لا,يلا,ا
4,99,را,ورا,ا
4,100,ما,يما,ا
4,101,نا,ينا,ا
4,102,نا,ينا,ا
4,103,تا,وتا,ا
4,104,ما,يما,ا
4,105,ما,يما,ا
4,106,ما,يما,ا
4,107,ما,يما,ا
4,108,طا,يطا,ا
4,109,لا,يلا,ا
4,110,ما,يما,ا
4,111,ما,يما,ا
4,112,نا,ينا,ا
4,113,ما,يما,ا
4,114,ما,يما,ا
4,115,را,يرا,ا
4,116,دا,يدا,ا
4,117,دا,يدا,ا
4,118,ضا,وضا,ا
4,119,نا,ينا,ا
4,120,را,ورا,ا
4,121,صا,يصا,ا
4,122,لا,يلا,ا
4,123,را,يرا,ا
4,124,را,يرا,ا
4,125,لا,يلا,ا
4,126,طا,يطا,ا
4,127,ما,يما,ا
4,128,را,يرا,ا
4,129,ما,يما,ا
4,130,ما,يما,ا
4,131,دا,يدا,ا
4,132,لا,يلا,ا
4,133,را,يرا,ا
4,134,را,يرا,ا
4,135,را,يرا,ا
4,136,دا,يدا,ا
4,137,لا,يلا,ا
4,138,ما,يما,ا
4,139,عا,يعا,ا
4,140,عا,يعا,ا
4,141,لا,يلا,ا
4,142,لا,يلا,ا
4,143,لا,يلا,ا
4,144,نا,ينا,ا
4,145,را,يرا,ا
4,146,ما,يما,ا
4,147,ما,يما,ا
4,148,ما,يما,ا
4,149,را,يرا,ا
4,150,لا,يلا,ا
4,151,نا,ينا,ا
4,152,ما,يما,ا
4,153,نا,ينا,ا
4,154,ظا,يظا,ا
4,155,لا,يلا,ا
4,156,ما,يما,ا
4,157,نا,ينا,ا
4,158,ما,يما,ا
4,159,دا,يدا,ا
4,160,را,يرا,ا
4,161,ما,يما,ا
4,162,ما,يما,ا
4,163,را,ورا,ا
4,164,ما,يما,ا
4,165,ما,يما,ا
4,166,دا,يدا,ا
4,167,دا,يدا,ا
4,168,قا,يقا,ا
4,169,را,يرا,ا
4,170,ما,يما,ا
4,171,لا,يلا,ا
4,172,عا,يعا,ا
4,173,را,يرا,ا
4,174,نا,ينا,ا
4,175,ما,يما,ا
4,176,يم,ليم,م
5,1,يد,ريد,د
5,2,اب,قاب,ب
5,3,يم,حيم,م
5,4,اب,ساب,ب
5,5,ين,رين,ن
5,6,ون,رون,ن
5,7,ور,دور,ر
5,8,ون,لون,ن
5,9,يم,ظيم,م
5,10,يم,حيم,م
5,11,ون,نون,ن
5,12,يل,بيل,ل
5,13,ين,نين,ن
5,14,ون,عون,ن
5,15,ين,بين,ن
5,16,يم,قيم,م
5,17,ير,دير,ر
5,18,ير,صير,ر
5,19,ير,دير,ر
5,20,ين,مين,ن
5,21,ين,رين,ن
5,22,ون,لون,ن
5,23,ين,نين,ن
5,24,ون,دون,ن
5,25,ين,قين,ن
5,26,ين,قين,ن
5,27,ين,قين,ن
5,28,ين,مين,ن
5,29,ين,مين,ن
5,30,ين,رين,ن
5,31,ين,مين,ن
5,32,ون,فون,ن
5,33,يم,ظيم,م
5,34,يم,حيم,م
5,35,ون,حون,ن
5,36,يم,ليم,م
5,37,يم,قيم,م
5,38,يم,كيم,م
5,39,يم,حيم,م
5,40,ير,دير,ر
5,41,يم,ظيم,م
5,42,ين,طين,ن
5,43,ين,نين,ن
5,44,ون,رون,ن
5,45,ون,مون,ن
5,46,ين,قين,ن
5,47,ون,قون,ن
5,48,ون,فون,ن
5,49,ون,قون,ن
5,50,ون,نون,ن
5,51,ين,مين,ن
5,52,ين,مين,ن
5,53,ين,رين,ن
5,54,يم,ليم,م
5,55,ون,عون,ن
5,56,ون,بون,ن
5,57,ين,نين,ن
5,58,ون,لون,ن
5,59,ون,قون,ن
5,60,يل,بيل,ل
5,61,ون,مون,ن
5,62,ون,لون,ن
5,63,ون,عون,ن
5,64,ين,دين,ن
5,65,يم,عيم,م
5,66,ون,لون,ن
5,67,ين,رين,ن
5,68,ين,رين,ن
5,69,ون,نون,ن
5,70,ون,لون,ن
5,71,ون,لون,ن
5,72,ار,صار,ر
5,73,يم,ليم,م
5,74,يم,حيم,م
5,75,ون,كون,ن
5,76,يم,ليم,م
5,77,يل,بيل,ل
5,78,ون,دون,ن
5,79,ون,لون,ن
5,80,ون,دون,ن
5,81,ون,قون,ن
5,82,ون,رون,ن
5,83,ين,دين,ن
5,84,ين,حين,ن
5,85,ين,نين,ن
5,86,يم,حيم,م
5,87,ين,دين,ن
5,88,ون,نون,ن
5,89,ون,رون,ن
5,90,ون,حون,ن
5,91,ون,هون,ن
5,92,ين,بين,ن
5,93,ين,نين,ن
5,94,يم,ليم,م
5,95,ام,قام,م
5,96,ون,رون,ن
5,97,يم,ليم,م
5,98,يم,حيم,م
5,99,ون,مون,ن
5,100,ون,حون,ن
5,101,يم,ليم,م
5,102,ين,رين,ن
5,103,ون,لون,ن
5,104,ون,دون,ن
5,105,ون,لون,ن
5,106,ين,مين,ن
5,107,ين,مين,ن
5,108,ين,قين,ن
5,109,وب,يوب,ب
5,110,ين,بين,ن
5,111,ون,مون,ن
5,112,ين,نين,ن
5,113,ين,دين,ن
5,114,ين,قين,ن
5,115,ين,مين,ن
5,116,وب,يوب,ب
5,117,يد,هيد,د
5,118,يم,كيم,م
5,119,يم,ظيم,م
5,120,ير,دير,ر
6,1,ون,لون,ن
6,2,ون,رون,ن
6,3,ون,بون,ن
6,4,ين,ضين,ن
6,5,ون,ءون,ن
6,6,ين,رين,ن
6,7,ين,بين,ن
6,8,ون,رون,ن
6,9,ون,سون,ن
6,10,ون,ءون,ن
6,11,ين,بين,ن
6,12,ون,نون,ن
6,13,يم,ليم,م
6,14,ين,كين,ن
6,15,يم,ظيم,م
6,16,ين,بين,ن
6,17,ير,دير,ر
6,18,ير,بير,ر
6,19,ون,كون,ن
6,20,ون,نون,ن
6,21,ون,مون,ن
6,22,ون,مون,ن
6,23,ين,كين,ن
6,24,ون,رون,ن
6,25,ين,لين,ن
6,26,ون,رون,ن
6,27,ين,نين,ن
6,28,ون,بون,ن
6,29,ين,ثين,ن
6,30,ون,رون,ن
6,31,ون,رون,ن
6,32,ون,لون,ن
6,33,ون,دون,ن
6,34,ين,لين,ن
6,35,ين,لين,ن
6,36,ون,عون,ن
6,37,ون,مون,ن
6,38,ون,رون,ن
6,39,يم,قيم,م
6,40,ين,قين,ن
6,41,ون,كون,ن
6,42,ون,عون,ن
6,43,ون,لون,ن
6,44,ون,سون,ن
6,45,ين,مين,ن
6,46,ون,فون,ن
6,47,ون,مون,ن
6,48,ون,نون,ن
6,49,ون,قون,ن
6,50,ون,رون,ن
6,51,ون,قون,ن
6,52,ين,مين,ن
6,53,ين,رين,ن
6,54,يم,حيم,م
6,55,ين,مين,ن
6,56,ين,دين,ن
6,57,ين,لين,ن
6,58,ين,مين,ن
6,59,ين,بين,ن
6,60,ون,لون,ن
6,61,ون,طون,ن
6,62,ين,بين,ن
6,63,ين,رين,ن
6,64,ون,كون,ن
6,65,ون,هون,ن
6,66,يل,كيل,ل
6,67,ون,مون,ن
6,68,ين,مين,ن
6,69,ون,قون,ن
6,70,ون,رون,ن
6,71,ين,مين,ن
6,72,ون,رون,ن
6,73,ير,بير,ر
6,74,ين,بين,ن
6,75,ين,نين,ن
6,76,ين,لين,ن
6,77,ين,لين,ن
6,78,ون,كون,ن
6,79,ين,كين,ن
6,80,ون,رون,ن
6,81,ون,مون,ن
6,82,ون,دون,ن
6,83,يم,ليم,م
6,84,ين,نين,ن
6,85,ين,حين,ن
6,86,ين,مين,ن
6,87,يم,قيم,م
6,88,ون,لون,ن
6,89,ين,رين,ن
6,90,ين,مين,ن
6,91,ون,بون,ن
6,92,ون,ظون,ن
6,93,ون,رون,ن
6,94,ون,مون,ن
6,95,ون,كون,ن
6,96,يم,ليم,م
6,97,ون,مون,ن
6,98,ون,هون,ن
6,99,ون,نون,ن
6,100,ون,فون,ن
6,101,يم,ليم,م
6,102,يل,كيل,ل
6,103,ير,بير,ر
6,104,يظ,فيظ,ظ
6,105,ون,مون,ن
6,106,ين,كين,ن
6,107,يل,كيل,ل
6,108,ون,لون,ن
6,109,ون,نون,ن
6,110,ون,هون,ن
6,111,ون,لون,ن
6,112,ون,رون,ن
6,113,ون,فون,ن
6,114,ين,رين,ن
6,115,يم,ليم,م
6,116,ون,صون,ن
6,117,ين,دين,ن
6,118,ين,نين,ن
6,119,ين,دين,ن
6,120,ون,فون,ن
6,121,ون,كون,ن
6,122,ون,لون,ن
6,123,ون,رون,ن
6,124,ون,رون,ن
6,125,ون,نون,ن
6,126,ون,رون,ن
6,127,ون,لون,ن
6,128,يم,ليم,م
6,129,ون,بون,ن
6,130,ين,رين,ن
6,131,ون,لون,ن
6,132,ون,لون,ن
6,133,ين,رين,ن
6,134,ين,زين,ن
6,135,ون,مون,ن
6,136,ون,مون,ن
6,137,ون,رون,ن
6,138,ون,رون,ن
6,139,يم,ليم,م
6,140,ين,دين,ن
6,141,ين,فين,ن
6,142,ين,بين,ن
6,143,ين,قين,ن
6,144,ين,مين,ن
6,145,يم,حيم,م
6,146,ون,قون,ن
6,147,ين,مين,ن
6,148,ون,صون,ن
6,149,ين,عين,ن
6,150,ون,لون,ن
6,151,ون,لون,ن
6,152,ون,رون,ن
6,153,ون,قون,ن
6,154,ون,نون,ن
6,155,ون,مون,ن
6,156,ين,لين,ن
6,157,ون,فون,ن
6,158,ون,رون,ن
6,159,ون,لون,ن
6,160,ون,مون,ن
6,161,ين,كين,ن
6,162,ين,مين,ن
6,163,ين,مين,ن
6,164,ون,فون,ن
6,165,يم,حيم,م
7,1,مص,لمص,ص
7,2,ين,نين,ن
7,3,ون,رون,ن
7,4,ون,لون,ن
7,5,ين,مين,ن
7,6,ين,لين,ن
7,7,ين,بين,ن
7,8,ون,حون,ن
7,9,ون,مون,ن
7,10,ون,رون,ن
7,11,ين,دين,ن
7,12,ين,طين,ن
7,13,ين,رين,ن
7,14,ون,ثون,ن
7,15,ين,رين,ن
7,16,يم,قيم,م
7,17,ين,رين,ن
7,18,ين,عين,ن
7,19,ين,مين,ن
7,20,ين,دين,ن
7,21,ين,حين,ن
7,22,ين,بين,ن
7,23,ين,رين,ن
7,24,ين,حين,ن
7,25,ون,جون,ن
7,26,ون,رون,ن
7,27,ون,نون,ن
7,28,ون,مون,ن
7,29,ون,دون,ن
7,30,ون,دون,ن
7,31,ين,فين,ن
7,32,ون,مون,ن
7,33,ون,مون,ن
7,34,ون,مون,ن
7,35,ون,نون,ن
7,36,ون,دون,ن
7,37,ين,رين,ن
7,38,ون,مون,ن
7,39,ون,بون,ن
7,40,ين,مين,ن
7,41,ين,مين,ن
7,42,ون,دون,ن
7,43,ون,لون,ن
7,44,ين,مين,ن
7,45,ون,رون,ن
7,46,ون,عون,ن
7,47,ين,مين,ن
7,48,ون,رون,ن
7,49,ون,نون,ن
7,50,ين,رين,ن
7,51,ون,دون,ن
7,52,ون,نون,ن
7,53,ون,رون,ن
7,54,ين,مين,ن
7,55,ين,دين,ن
7,56,ين,نين,ن
7,57,ون,رون,ن
7,58,ون,رون,ن
7,59,يم,ظيم,م
7,60,ين,بين,ن
7,61,ين,مين,ن
7,62,ون,مون,ن
7,63,ون,مون,ن
7,64,ين,مين,ن
7,65,ون,قون,ن
7,66,ين,بين,ن
7,67,ين,مين,ن
7,68,ين,مين,ن
7,69,ون,حون,ن
7,70,ين,قين,ن
7,71,ين,رين,ن
7,72,ين,نين,ن
7,73,يم,ليم,م
7,74,ين,دين,ن
7,75,ون,نون,ن
7,76,ون,رون,ن
7,77,ين,لين,ن
7,78,ين,مين,ن
7,79,ين,حين,ن
7,80,ين,مين,ن
7,81,ون,فون,ن
7,82,ون,رون,ن
7,83,ين,رين,ن
7,84,ين,مين,ن
7,85,ين,نين,ن
7,86,ين,دين,ن
7,87,ين,مين,ن
7,88,ين,هين,ن
7,89,ين,حين,ن
7,90,ون,رون,ن
7,91,ين,مين,ن
7,92,ين,رين,ن
7,93,ين,رين,ن
7,94,ون,عون,ن
7,95,ون,رون,ن
7,96,ون,بون,ن
7,97,ون,مون,ن
7,98,ون,بون,ن
7,99,ون,رون,ن
7,100,ون,عون,ن
7,101,ين,رين,ن
7,102,ين,قين,ن
7,103,ين,دين,ن
7,104,ين,مين,ن
7,105,يل,ءيل,ل
7,106,ين,قين,ن
