count,root_a_buck,root_a_arabic,root_b_buck,root_b_arabic
46,Ehd,عهد,Sdr,صدر
46,zyn,زين,Sdr,صدر
45,SrT,صرط,nsy,نسي
45,SrT,صرط,w*r,وذر
45,SrT,صرط,SbH,صبح
45,nsy,نسي,w*r,وذر
45,nsy,نسي,SbH,صبح
45,w*r,وذر,SbH,صبح
44,bdl,بدل,srr,سرر
44,bdl,بدل,ysr,يسر
44,bdl,بدل,HfZ,حفظ
44,bdl,بدل,dbr,دبر
44,srr,سرر,ysr,يسر
44,srr,سرر,HfZ,حفظ
44,srr,سرر,dbr,دبر
44,ysr,يسر,HfZ,حفظ
44,ysr,يسر,dbr,دبر
44,HfZ,حفظ,dbr,دبر
43,trk,ترك,fwq,فوق
43,trk,ترك,jwb,جوب
43,trk,ترك,H$r,حشر
43,trk,ترك,fSl,فصل
43,trk,ترك,mkr,مكر
43,fwq,فوق,jwb,جوب
43,fwq,فوق,H$r,حشر
43,fwq,فوق,fSl,فصل
43,fwq,فوق,mkr,مكر
43,jwb,جوب,H$r,حشر
43,jwb,جوب,fSl,فصل
43,jwb,جوب,mkr,مكر
43,H$r,حشر,fSl,فصل
43,H$r,حشر,mkr,مكر
43,fSl,فصل,mkr,مكر
42,Hzn,حزن,bHr,بحر
42,Hzn,حزن,qwy,قوي
42,Hzn,حزن,sxr,سخر
42,Hzn,حزن,Sdd,صدد
42,bHr,بحر,qwy,قوي
42,bHr,بحر,sxr,سخر
42,bHr,بحر,Sdd,صدد
42,qwy,قوي,sxr,سخر
42,qwy,قوي,Sdd,صدد
42,sxr,سخر,Sdd,صدد
41,lEn,لعن,Twf,طوف
41,lEn,لعن,krh,كره
41,lEn,لعن,jhd,جهد
41,lEn,لعن,jbl,جبل
41,Twf,طوف,krh,كره
41,Twf,طوف,jhd,جهد
41,Twf,طوف,jbl,جبل
41,krh,كره,jhd,جهد
41,krh,كره,jbl,جبل
41,jhd,جهد,jbl,جبل
40,flH,فلح,$Er,شعر
40,flH,فلح,mlA,ملا
40,$Er,شعر,mlA,ملا
39,Tgy,طغي,$rb,شرب
39,Tgy,طغي,*nb,ذنب
39,Tgy,طغي,slT,سلط
39,$rb,شرب,*nb,ذنب
39,$rb,شرب,slT,سلط
39,*nb,ذنب,slT,سلط
38,qrr,قرر,blw,بلو
38,qrr,قرر,ftH,فتح
38,qrr,قرر,hwy,هوي
38,qrr,قرر,mrA,مرا
38,qrr,قرر,*rr,ذرر
38,blw,بلو,ftH,فتح
38,blw,بلو,hwy,هوي
38,blw,بلو,mrA,مرا
38,blw,بلو,*rr,ذرر
38,ftH,فتح,hwy,هوي
38,ftH,فتح,mrA,مرا
38,ftH,فتح,*rr,ذرر
38,hwy,هوي,mrA,مرا
38,hwy,هوي,*rr,ذرر
38,mrA,مرا,*rr,ذرر
37,sbq,سبق,Alw,الو
37,sbq,سبق,nkr,نكر
37,Alw,الو,nkr,نكر
35,Hyn,حين,Efw,عفو
35,Hyn,حين,gfl,غفل
35,Hyn,حين,mrr,مرر
35,Hyn,حين,wrv,ورث
35,Hyn,حين,kyd,كيد
35,Efw,عفو,gfl,غفل
35,Efw,عفو,mrr,مرر
35,Efw,عفو,wrv,ورث
35,Efw,عفو,kyd,كيد
35,gfl,غفل,mrr,مرر
35,gfl,غفل,wrv,ورث
35,gfl,غفل,kyd,كيد
35,mrr,مرر,wrv,ورث
35,mrr,مرر,kyd,كيد
35,wrv,ورث,kyd,كيد
34,hzA,هزا,wvq,وثق
34,hzA,هزا,jnH,جنح
34,hzA,هزا,xfy,خفي
34,wvq,وثق,jnH,جنح
34,wvq,وثق,xfy,خفي
34,jnH,جنح,xfy,خفي
30,sEy,سعي,Srf,صرف
30,sEy,سعي,qSS,قصص
30,sEy,سعي,Anv,انث
30,sEy,سعي,Esy,عسي
30,sEy,سعي,Afk,افك
30,Srf,صرف,qSS,قصص
30,Srf,صرف,Anv,انث
30,Srf,صرف,Esy,عسي
30,Srf,صرف,Afk,افك
30,qSS,قصص,Anv,انث
30,qSS,قصص,Esy,عسي
30,qSS,قصص,Afk,افك
30,Anv,انث,Esy,عسي
30,Anv,انث,Afk,افك
30,Esy,عسي,Afk,افك
26,nbt,نبت,xzy,خزي
26,nbt,نبت,hwn,هون
26,nbt,نبت,jHm,جحم
26,nbt,نبت,wDE,وضع
26,nbt,نبت,Ejz,عجز
26,xzy,خزي,hwn,هون
26,xzy,خزي,jHm,جحم
26,xzy,خزي,wDE,وضع
26,xzy,خزي,Ejz,عجز
26,hwn,هون,jHm,جحم
26,hwn,هون,wDE,وضع
26,hwn,هون,Ejz,عجز
26,jHm,جحم,wDE,وضع
26,jHm,جحم,Ejz,عجز
26,wDE,وضع,Ejz,عجز
