surah,verse,count,text
3,47,1,قالَت رَبِّ أَنّىٰ يَكونُ لى وَلَدٌ وَلَم يَمسَسنى بَشَرٌ ۖ قالَ كَذٰلِكِ اللَّهُ يَخلُقُ ما يَشاءُ ۚ إِذا قَضىٰ أَمرًا فَإِنَّما يَقولُ لَهُ كُن فَيَكونُ
3,155,1,إِنَّ الَّذينَ تَوَلَّوا مِنكُم يَومَ التَقَى الجَمعانِ إِنَّمَا استَزَلَّهُمُ الشَّيطٰنُ بِبَعضِ ما كَسَبوا ۖ وَلَقَد عَفَا اللَّهُ عَنهُم ۗ إِنَّ اللَّهَ غَفورٌ حَليمٌ
3,175,1,إِنَّما ذٰلِكُمُ الشَّيطٰنُ يُخَوِّفُ أَولِياءَهُ فَلا تَخافوهُم وَخافونِ إِن كُنتُم مُؤمِنينَ
3,178,1,وَلا يَحسَبَنَّ الَّذينَ كَفَروا أَنَّما نُملى لَهُم خَيرٌ لِأَنفُسِهِم ۚ إِنَّما نُملى لَهُم لِيَزدادوا إِثمًا ۚ وَلَهُم عَذابٌ مُهينٌ
3,185,1,كُلُّ نَفسٍ ذائِقَةُ المَوتِ ۗ وَإِنَّما تُوَفَّونَ أُجورَكُم يَومَ القِيٰمَةِ ۖ فَمَن زُحزِحَ عَنِ النّارِ وَأُدخِلَ الجَنَّةَ فَقَد فازَ ۗ وَمَا الحَيوٰةُ الدُّنيا إِلّا مَتٰعُ الغُرورِ
4,10,1,إِنَّ الَّذينَ يَأكُلونَ أَموٰلَ اليَتٰمىٰ ظُلمًا إِنَّما يَأكُلونَ فى بُطونِهِم نارًا ۖ وَسَيَصلَونَ سَعيرًا
4,17,1,إِنَّمَا التَّوبَةُ عَلَى اللَّهِ لِلَّذينَ يَعمَلونَ السّوءَ بِجَهٰلَةٍ ثُمَّ يَتوبونَ مِن قَريبٍ فَأُولٰئِكَ يَتوبُ اللَّهُ عَلَيهِم ۗ وَكانَ اللَّهُ عَليمًا حَكيمًا
4,111,1,وَمَن يَكسِب إِثمًا فَإِنَّما يَكسِبُهُ عَلىٰ نَفسِهِ ۚ وَكانَ اللَّهُ عَليمًا حَكيمًا
4,171,2,يٰأَهلَ الكِتٰبِ لا تَغلوا فى دينِكُم وَلا تَقولوا عَلَى اللَّهِ إِلَّا الحَقَّ ۚ إِنَّمَا المَسيحُ عيسَى ابنُ مَريَمَ رَسولُ اللَّهِ وَكَلِمَتُهُ أَلقىٰها إِلىٰ مَريَمَ وَروحٌ مِنهُ ۖ فَـٔامِنوا بِاللَّهِ وَرُسُلِهِ ۖ وَلا تَقولوا ثَلٰثَةٌ ۚ انتَهوا خَيرًا لَكُم ۚ إِنَّمَا اللَّهُ إِلٰهٌ وٰحِدٌ ۖ سُبحٰنَهُ أَن يَكونَ لَهُ وَلَدٌ ۘ لَهُ ما فِى السَّمٰوٰتِ وَما فِى الأَرضِ ۗ وَكَفىٰ بِاللَّهِ وَكيلًا
5,27,1,۞ وَاتلُ عَلَيهِم نَبَأَ ابنَى ءادَمَ بِالحَقِّ إِذ قَرَّبا قُربانًا فَتُقُبِّلَ مِن أَحَدِهِما وَلَم يُتَقَبَّل مِنَ الءاخَرِ قالَ لَأَقتُلَنَّكَ ۖ قالَ إِنَّما يَتَقَبَّلُ اللَّهُ مِنَ المُتَّقينَ
5,33,1,إِنَّما جَزٰؤُا۟ الَّذينَ يُحارِبونَ اللَّهَ وَرَسولَهُ وَيَسعَونَ فِى الأَرضِ فَسادًا أَن يُقَتَّلوا أَو يُصَلَّبوا أَو تُقَطَّعَ أَيديهِم وَأَرجُلُهُم مِن خِلٰفٍ أَو يُنفَوا مِنَ الأَرضِ ۚ ذٰلِكَ لَهُم خِزىٌ فِى الدُّنيا ۖ وَلَهُم فِى الءاخِرَةِ عَذابٌ عَظيمٌ
5,55,1,إِنَّما وَلِيُّكُمُ اللَّهُ وَرَسولُهُ وَالَّذينَ ءامَنُوا الَّذينَ يُقيمونَ الصَّلوٰةَ وَيُؤتونَ الزَّكوٰةَ وَهُم رٰكِعونَ
5,90,1,يٰأَيُّهَا الَّذينَ ءامَنوا إِنَّمَا الخَمرُ وَالمَيسِرُ وَالأَنصابُ وَالأَزلٰمُ رِجسٌ مِن عَمَلِ الشَّيطٰنِ فَاجتَنِبوهُ لَعَلَّكُم تُفلِحونَ
5,91,1,إِنَّما يُريدُ الشَّيطٰنُ أَن يوقِعَ بَينَكُمُ العَدٰوَةَ وَالبَغضاءَ فِى الخَمرِ وَالمَيسِرِ وَيَصُدَّكُم عَن ذِكرِ اللَّهِ وَعَنِ الصَّلوٰةِ ۖ فَهَل أَنتُم مُنتَهونَ
6,19,1,قُل أَىُّ شَيءٍ أَكبَرُ شَهٰدَةً ۖ قُلِ اللَّهُ ۖ شَهيدٌ بَينى وَبَينَكُم ۚ وَأوحِىَ إِلَىَّ هٰذَا القُرءانُ لِأُنذِرَكُم بِهِ وَمَن بَلَغَ ۚ أَئِنَّكُم لَتَشهَدونَ أَنَّ مَعَ اللَّهِ ءالِهَةً أُخرىٰ ۚ قُل لا أَشهَدُ ۚ قُل إِنَّما هُوَ إِلٰهٌ وٰحِدٌ وَإِنَّنى بَريءٌ مِمّا تُشرِكونَ
6,36,1,۞ إِنَّما يَستَجيبُ الَّذينَ يَسمَعونَ ۘ وَالمَوتىٰ يَبعَثُهُمُ اللَّهُ ثُمَّ إِلَيهِ يُرجَعونَ
6,109,1,وَأَقسَموا بِاللَّهِ جَهدَ أَيمٰنِهِم لَئِن جاءَتهُم ءايَةٌ لَيُؤمِنُنَّ بِها ۚ قُل إِنَّمَا الءايٰتُ عِندَ اللَّهِ ۖ وَما يُشعِرُكُم أَنَّها إِذا جاءَت لا يُؤمِنونَ
6,156,1,أَن تَقولوا إِنَّما أُنزِلَ الكِتٰبُ عَلىٰ طائِفَتَينِ مِن قَبلِنا وَإِن كُنّا عَن دِراسَتِهِم لَغٰفِلينَ
6,159,1,إِنَّ الَّذينَ فَرَّقوا دينَهُم وَكانوا شِيَعًا لَستَ مِنهُم فى شَيءٍ ۚ إِنَّما أَمرُهُم إِلَى اللَّهِ ثُمَّ يُنَبِّئُهُم بِما كانوا يَفعَلونَ
7,33,1,قُل إِنَّما حَرَّمَ رَبِّىَ الفَوٰحِشَ ما ظَهَرَ مِنها وَما بَطَنَ وَالإِثمَ وَالبَغىَ بِغَيرِ الحَقِّ وَأَن تُشرِكوا بِاللَّهِ ما لَم يُنَزِّل بِهِ سُلطٰنًا وَأَن تَقولوا عَلَى اللَّهِ ما لا تَعلَمونَ
7,131,1,فَإِذا جاءَتهُمُ الحَسَنَةُ قالوا لَنا هٰذِهِ ۖ وَإِن تُصِبهُم سَيِّئَةٌ يَطَّيَّروا بِموسىٰ وَمَن مَعَهُ ۗ أَلا إِنَّما طٰئِرُهُم عِندَ اللَّهِ وَلٰكِنَّ أَكثَرَهُم لا يَعلَمونَ
7,173,1,أَو تَقولوا إِنَّما أَشرَكَ ءاباؤُنا مِن قَبلُ وَكُنّا ذُرِّيَّةً مِن بَعدِهِم ۖ أَفَتُهلِكُنا بِما فَعَلَ المُبطِلونَ
7,187,2,يَسـَٔلونَكَ عَنِ السّاعَةِ أَيّانَ مُرسىٰها ۖ قُل إِنَّما عِلمُها عِندَ رَبّى ۖ لا يُجَلّيها لِوَقتِها إِلّا هُوَ ۚ ثَقُلَت فِى السَّمٰوٰتِ وَالأَرضِ ۚ لا تَأتيكُم إِلّا بَغتَةً ۗ يَسـَٔلونَكَ كَأَنَّكَ حَفِىٌّ عَنها ۖ قُل إِنَّما عِلمُها عِندَ اللَّهِ وَلٰكِنَّ أَكثَرَ النّاسِ لا يَعلَمونَ
7,203,1,وَإِذا لَم تَأتِهِم بِـٔايَةٍ قالوا لَولَا اجتَبَيتَها ۚ قُل إِنَّما أَتَّبِعُ ما يوحىٰ إِلَىَّ مِن رَبّى ۚ هٰذا بَصائِرُ مِن رَبِّكُم وَهُدًى وَرَحمَةٌ لِقَومٍ يُؤمِنونَ
8,2,1,إِنَّمَا المُؤمِنونَ الَّذينَ إِذا ذُكِرَ اللَّهُ وَجِلَت قُلوبُهُم وَإِذا تُلِيَت عَلَيهِم ءايٰتُهُ زادَتهُم إيمٰنًا وَعَلىٰ رَبِّهِم يَتَوَكَّلونَ
9,18,1,إِنَّما يَعمُرُ مَسٰجِدَ اللَّهِ مَن ءامَنَ بِاللَّهِ وَاليَومِ الءاخِرِ وَأَقامَ الصَّلوٰةَ وَءاتَى الزَّكوٰةَ وَلَم يَخشَ إِلَّا اللَّهَ ۖ فَعَسىٰ أُولٰئِكَ أَن يَكونوا مِنَ المُهتَدينَ
9,28,1,يٰأَيُّهَا الَّذينَ ءامَنوا إِنَّمَا المُشرِكونَ نَجَسٌ فَلا يَقرَبُوا المَسجِدَ الحَرامَ بَعدَ عامِهِم هٰذا ۚ وَإِن خِفتُم عَيلَةً فَسَوفَ يُغنيكُمُ اللَّهُ مِن فَضلِهِ إِن شاءَ ۚ إِنَّ اللَّهَ عَليمٌ حَكيمٌ
9,37,1,إِنَّمَا النَّسيءُ زِيادَةٌ فِى الكُفرِ ۖ يُضَلُّ بِهِ الَّذينَ كَفَروا يُحِلّونَهُ عامًا وَيُحَرِّمونَهُ عامًا لِيُواطِـٔوا عِدَّةَ ما حَرَّمَ اللَّهُ فَيُحِلّوا ما حَرَّمَ اللَّهُ ۚ زُيِّنَ لَهُم سوءُ أَعمٰلِهِم ۗ وَاللَّهُ لا يَهدِى القَومَ الكٰفِرينَ
9,45,1,إِنَّما يَستَـٔذِنُكَ الَّذينَ لا يُؤمِنونَ بِاللَّهِ وَاليَومِ الءاخِرِ وَارتابَت قُلوبُهُم فَهُم فى رَيبِهِم يَتَرَدَّدونَ
9,55,1,فَلا تُعجِبكَ أَموٰلُهُم وَلا أَولٰدُهُم ۚ إِنَّما يُريدُ اللَّهُ لِيُعَذِّبَهُم بِها فِى الحَيوٰةِ الدُّنيا وَتَزهَقَ أَنفُسُهُم وَهُم كٰفِرونَ
9,60,1,۞ إِنَّمَا الصَّدَقٰتُ لِلفُقَراءِ وَالمَسٰكينِ وَالعٰمِلينَ عَلَيها وَالمُؤَلَّفَةِ قُلوبُهُم وَفِى الرِّقابِ وَالغٰرِمينَ وَفى سَبيلِ اللَّهِ وَابنِ السَّبيلِ ۖ فَريضَةً مِنَ اللَّهِ ۗ وَاللَّهُ عَليمٌ حَكيمٌ
9,65,1,وَلَئِن سَأَلتَهُم لَيَقولُنَّ إِنَّما كُنّا نَخوضُ وَنَلعَبُ ۚ قُل أَبِاللَّهِ وَءايٰتِهِ وَرَسولِهِ كُنتُم تَستَهزِءونَ
9,85,1,وَلا تُعجِبكَ أَموٰلُهُم وَأَولٰدُهُم ۚ إِنَّما يُريدُ اللَّهُ أَن يُعَذِّبَهُم بِها فِى الدُّنيا وَتَزهَقَ أَنفُسُهُم وَهُم كٰفِرونَ
9,93,1,۞ إِنَّمَا السَّبيلُ عَلَى الَّذينَ يَستَـٔذِنونَكَ وَهُم أَغنِياءُ ۚ رَضوا بِأَن يَكونوا مَعَ الخَوالِفِ وَطَبَعَ اللَّهُ عَلىٰ قُلوبِهِم فَهُم لا يَعلَمونَ
10,20,1,وَيَقولونَ لَولا أُنزِلَ عَلَيهِ ءايَةٌ مِن رَبِّهِ ۖ فَقُل إِنَّمَا الغَيبُ لِلَّهِ فَانتَظِروا إِنّى مَعَكُم مِنَ المُنتَظِرينَ
10,23,1,فَلَمّا أَنجىٰهُم إِذا هُم يَبغونَ فِى الأَرضِ بِغَيرِ الحَقِّ ۗ يٰأَيُّهَا النّاسُ إِنَّما بَغيُكُم عَلىٰ أَنفُسِكُم ۖ مَتٰعَ الحَيوٰةِ الدُّنيا ۖ ثُمَّ إِلَينا مَرجِعُكُم فَنُنَبِّئُكُم بِما كُنتُم تَعمَلونَ
10,24,1,إِنَّما مَثَلُ الحَيوٰةِ الدُّنيا كَماءٍ أَنزَلنٰهُ مِنَ السَّماءِ فَاختَلَطَ بِهِ نَباتُ الأَرضِ مِمّا يَأكُلُ النّاسُ وَالأَنعٰمُ حَتّىٰ إِذا أَخَذَتِ الأَرضُ زُخرُفَها وَازَّيَّنَت وَظَنَّ أَهلُها أَنَّهُم قٰدِرونَ عَلَيها أَتىٰها أَمرُنا لَيلًا أَو نَهارًا فَجَعَلنٰها حَصيدًا كَأَن لَم تَغنَ بِالأَمسِ ۚ كَذٰلِكَ نُفَصِّلُ الءايٰتِ لِقَومٍ يَتَفَكَّرونَ
10,108,2,قُل يٰأَيُّهَا النّاسُ قَد جاءَكُمُ الحَقُّ مِن رَبِّكُم ۖ فَمَنِ اهتَدىٰ فَإِنَّما يَهتَدى لِنَفسِهِ ۖ وَمَن ضَلَّ فَإِنَّما يَضِلُّ عَلَيها ۖ وَما أَنا۠ عَلَيكُم بِوَكيلٍ
11,12,1,فَلَعَلَّكَ تارِكٌ بَعضَ ما يوحىٰ إِلَيكَ وَضائِقٌ بِهِ صَدرُكَ أَن يَقولوا لَولا أُنزِلَ عَلَيهِ كَنزٌ أَو جاءَ مَعَهُ مَلَكٌ ۚ إِنَّما أَنتَ نَذيرٌ ۚ وَاللَّهُ عَلىٰ كُلِّ شَيءٍ وَكيلٌ
11,33,1,قالَ إِنَّما يَأتيكُم بِهِ اللَّهُ إِن شاءَ وَما أَنتُم بِمُعجِزينَ
12,86,1,قالَ إِنَّما أَشكوا بَثّى وَحُزنى إِلَى اللَّهِ وَأَعلَمُ مِنَ اللَّهِ ما لا تَعلَمونَ
13,7,1,وَيَقولُ الَّذينَ كَفَروا لَولا أُنزِلَ عَلَيهِ ءايَةٌ مِن رَبِّهِ ۗ إِنَّما أَنتَ مُنذِرٌ ۖ وَلِكُلِّ قَومٍ هادٍ
13,19,1,۞ أَفَمَن يَعلَمُ أَنَّما أُنزِلَ إِلَيكَ مِن رَبِّكَ الحَقُّ كَمَن هُوَ أَعمىٰ ۚ إِنَّما يَتَذَكَّرُ أُولُوا الأَلبٰبِ
13,36,1,وَالَّذينَ ءاتَينٰهُمُ الكِتٰبَ يَفرَحونَ بِما أُنزِلَ إِلَيكَ ۖ وَمِنَ الأَحزابِ مَن يُنكِرُ بَعضَهُ ۚ قُل إِنَّما أُمِرتُ أَن أَعبُدَ اللَّهَ وَلا أُشرِكَ بِهِ ۚ إِلَيهِ أَدعوا وَإِلَيهِ مَـٔابِ
13,40,1,وَإِن ما نُرِيَنَّكَ بَعضَ الَّذى نَعِدُهُم أَو نَتَوَفَّيَنَّكَ فَإِنَّما عَلَيكَ البَلٰغُ وَعَلَينَا الحِسابُ
14,42,1,وَلا تَحسَبَنَّ اللَّهَ غٰفِلًا عَمّا يَعمَلُ الظّٰلِمونَ ۚ إِنَّما يُؤَخِّرُهُم لِيَومٍ تَشخَصُ فيهِ الأَبصٰرُ
15,15,1,لَقالوا إِنَّما سُكِّرَت أَبصٰرُنا بَل نَحنُ قَومٌ مَسحورونَ
16,40,1,إِنَّما قَولُنا لِشَيءٍ إِذا أَرَدنٰهُ أَن نَقولَ لَهُ كُن فَيَكونُ
16,51,1,۞ وَقالَ اللَّهُ لا تَتَّخِذوا إِلٰهَينِ اثنَينِ ۖ إِنَّما هُوَ إِلٰهٌ وٰحِدٌ ۖ فَإِيّٰىَ فَارهَبونِ
16,82,1,فَإِن تَوَلَّوا فَإِنَّما عَلَيكَ البَلٰغُ المُبينُ
16,92,1,وَلا تَكونوا كَالَّتى نَقَضَت غَزلَها مِن بَعدِ قُوَّةٍ أَنكٰثًا تَتَّخِذونَ أَيمٰنَكُم دَخَلًا بَينَكُم أَن تَكونَ أُمَّةٌ هِىَ أَربىٰ مِن أُمَّةٍ ۚ إِنَّما يَبلوكُمُ اللَّهُ بِهِ ۚ وَلَيُبَيِّنَنَّ لَكُم يَومَ القِيٰمَةِ ما كُنتُم فيهِ تَختَلِفونَ
16,95,1,وَلا تَشتَروا بِعَهدِ اللَّهِ ثَمَنًا قَليلًا ۚ إِنَّما عِندَ اللَّهِ هُوَ خَيرٌ لَكُم إِن كُنتُم تَعلَمونَ
16,100,1,إِنَّما سُلطٰنُهُ عَلَى الَّذينَ يَتَوَلَّونَهُ وَالَّذينَ هُم بِهِ مُشرِكونَ
16,101,1,وَإِذا بَدَّلنا ءايَةً مَكانَ ءايَةٍ ۙ وَاللَّهُ أَعلَمُ بِما يُنَزِّلُ قالوا إِنَّما أَنتَ مُفتَرٍ ۚ بَل أَكثَرُهُم لا يَعلَمونَ
16,103,1,وَلَقَد نَعلَمُ أَنَّهُم يَقولونَ إِنَّما يُعَلِّمُهُ بَشَرٌ ۗ لِسانُ الَّذى يُلحِدونَ إِلَيهِ أَعجَمِىٌّ وَهٰذا لِسانٌ عَرَبِىٌّ مُبينٌ
16,105,1,إِنَّما يَفتَرِى الكَذِبَ الَّذينَ لا يُؤمِنونَ بِـٔايٰتِ اللَّهِ ۖ وَأُولٰئِكَ هُمُ الكٰذِبونَ
16,115,1,إِنَّما حَرَّمَ عَلَيكُمُ المَيتَةَ وَالدَّمَ وَلَحمَ الخِنزيرِ وَما أُهِلَّ لِغَيرِ اللَّهِ بِهِ ۖ فَمَنِ اضطُرَّ غَيرَ باغٍ وَلا عادٍ فَإِنَّ اللَّهَ غَفورٌ رَحيمٌ
16,124,1,إِنَّما جُعِلَ السَّبتُ عَلَى الَّذينَ اختَلَفوا فيهِ ۚ وَإِنَّ رَبَّكَ لَيَحكُمُ بَينَهُم يَومَ القِيٰمَةِ فيما كانوا فيهِ يَختَلِفونَ
17,15,2,مَنِ اهتَدىٰ فَإِنَّما يَهتَدى لِنَفسِهِ ۖ وَمَن ضَلَّ فَإِنَّما يَضِلُّ عَلَيها ۚ وَلا تَزِرُ وازِرَةٌ وِزرَ أُخرىٰ ۗ وَما كُنّا مُعَذِّبينَ حَتّىٰ نَبعَثَ رَسولًا
18,110,1,قُل إِنَّما أَنا۠ بَشَرٌ مِثلُكُم يوحىٰ إِلَىَّ أَنَّما إِلٰهُكُم إِلٰهٌ وٰحِدٌ ۖ فَمَن كانَ يَرجوا لِقاءَ رَبِّهِ فَليَعمَل عَمَلًا صٰلِحًا وَلا يُشرِك بِعِبادَةِ رَبِّهِ أَحَدًا
19,19,1,قالَ إِنَّما أَنا۠ رَسولُ رَبِّكِ لِأَهَبَ لَكِ غُلٰمًا زَكِيًّا
19,35,1,ما كانَ لِلَّهِ أَن يَتَّخِذَ مِن وَلَدٍ ۖ سُبحٰنَهُ ۚ إِذا قَضىٰ أَمرًا فَإِنَّما يَقولُ لَهُ كُن فَيَكونُ
19,84,1,فَلا تَعجَل عَلَيهِم ۖ إِنَّما نَعُدُّ لَهُم عَدًّا
19,97,1,فَإِنَّما يَسَّرنٰهُ بِلِسانِكَ لِتُبَشِّرَ بِهِ المُتَّقينَ وَتُنذِرَ بِهِ قَومًا لُدًّا
20,72,1,قالوا لَن نُؤثِرَكَ عَلىٰ ما جاءَنا مِنَ البَيِّنٰتِ وَالَّذى فَطَرَنا ۖ فَاقضِ ما أَنتَ قاضٍ ۖ إِنَّما تَقضى هٰذِهِ الحَيوٰةَ الدُّنيا
20,90,1,وَلَقَد قالَ لَهُم هٰرونُ مِن قَبلُ يٰقَومِ إِنَّما فُتِنتُم بِهِ ۖ وَإِنَّ رَبَّكُمُ الرَّحمٰنُ فَاتَّبِعونى وَأَطيعوا أَمرى
20,98,1,إِنَّما إِلٰهُكُمُ اللَّهُ الَّذى لا إِلٰهَ إِلّا هُوَ ۚ وَسِعَ كُلَّ شَيءٍ عِلمًا
21,45,1,قُل إِنَّما أُنذِرُكُم بِالوَحىِ ۚ وَلا يَسمَعُ الصُّمُّ الدُّعاءَ إِذا ما يُنذَرونَ
22,49,1,قُل يٰأَيُّهَا النّاسُ إِنَّما أَنا۠ لَكُم نَذيرٌ مُبينٌ
23,117,1,وَمَن يَدعُ مَعَ اللَّهِ إِلٰهًا ءاخَرَ لا بُرهٰنَ لَهُ بِهِ فَإِنَّما حِسابُهُ عِندَ رَبِّهِ ۚ إِنَّهُ لا يُفلِحُ الكٰفِرونَ
24,51,1,إِنَّما كانَ قَولَ المُؤمِنينَ إِذا دُعوا إِلَى اللَّهِ وَرَسولِهِ لِيَحكُمَ بَينَهُم أَن يَقولوا سَمِعنا وَأَطَعنا ۚ وَأُولٰئِكَ هُمُ المُفلِحونَ
24,54,1,قُل أَطيعُوا اللَّهَ وَأَطيعُوا الرَّسولَ ۖ فَإِن تَوَلَّوا فَإِنَّما عَلَيهِ ما حُمِّلَ وَعَلَيكُم ما حُمِّلتُم ۖ وَإِن تُطيعوهُ تَهتَدوا ۚ وَما عَلَى الرَّسولِ إِلَّا البَلٰغُ المُبينُ
24,62,1,إِنَّمَا المُؤمِنونَ الَّذينَ ءامَنوا بِاللَّهِ وَرَسولِهِ وَإِذا كانوا مَعَهُ عَلىٰ أَمرٍ جامِعٍ لَم يَذهَبوا حَتّىٰ يَستَـٔذِنوهُ ۚ إِنَّ الَّذينَ يَستَـٔذِنونَكَ أُولٰئِكَ الَّذينَ يُؤمِنونَ بِاللَّهِ وَرَسولِهِ ۚ فَإِذَا استَـٔذَنوكَ لِبَعضِ شَأنِهِم فَأذَن لِمَن شِئتَ مِنهُم وَاستَغفِر لَهُمُ اللَّهَ ۚ إِنَّ اللَّهَ غَفورٌ رَحيمٌ
26,153,1,قالوا إِنَّما أَنتَ مِنَ المُسَحَّرينَ
26,185,1,قالوا إِنَّما أَنتَ مِنَ المُسَحَّرينَ
27,40,1,قالَ الَّذى عِندَهُ عِلمٌ مِنَ الكِتٰبِ أَنا۠ ءاتيكَ بِهِ قَبلَ أَن يَرتَدَّ إِلَيكَ طَرفُكَ ۚ فَلَمّا رَءاهُ مُستَقِرًّا عِندَهُ قالَ هٰذا مِن فَضلِ رَبّى لِيَبلُوَنى ءَأَشكُرُ أَم أَكفُرُ ۖ وَمَن شَكَرَ فَإِنَّما يَشكُرُ لِنَفسِهِ ۖ وَمَن كَفَرَ فَإِنَّ رَبّى غَنِىٌّ كَريمٌ
27,91,1,إِنَّما أُمِرتُ أَن أَعبُدَ رَبَّ هٰذِهِ البَلدَةِ الَّذى حَرَّمَها وَلَهُ كُلُّ شَيءٍ ۖ وَأُمِرتُ أَن أَكونَ مِنَ المُسلِمينَ
27,92,2,وَأَن أَتلُوَا۟ القُرءانَ ۖ فَمَنِ اهتَدىٰ فَإِنَّما يَهتَدى لِنَفسِهِ ۖ وَمَن ضَلَّ فَقُل إِنَّما أَنا۠ مِنَ المُنذِرينَ
28,78,1,قالَ إِنَّما أوتيتُهُ عَلىٰ عِلمٍ عِندى ۚ أَوَلَم يَعلَم أَنَّ اللَّهَ قَد أَهلَكَ مِن قَبلِهِ مِنَ القُرونِ مَن هُوَ أَشَدُّ مِنهُ قُوَّةً وَأَكثَرُ جَمعًا ۚ وَلا يُسـَٔلُ عَن ذُنوبِهِمُ المُجرِمونَ
29,6,1,وَمَن جٰهَدَ فَإِنَّما يُجٰهِدُ لِنَفسِهِ ۚ إِنَّ اللَّهَ لَغَنِىٌّ عَنِ العٰلَمينَ
29,17,1,إِنَّما تَعبُدونَ مِن دونِ اللَّهِ أَوثٰنًا وَتَخلُقونَ إِفكًا ۚ إِنَّ الَّذينَ تَعبُدونَ مِن دونِ اللَّهِ لا يَملِكونَ لَكُم رِزقًا فَابتَغوا عِندَ اللَّهِ الرِّزقَ وَاعبُدوهُ وَاشكُروا لَهُ ۖ إِلَيهِ تُرجَعونَ
29,25,1,وَقالَ إِنَّمَا اتَّخَذتُم مِن دونِ اللَّهِ أَوثٰنًا مَوَدَّةَ بَينِكُم فِى الحَيوٰةِ الدُّنيا ۖ ثُمَّ يَومَ القِيٰمَةِ يَكفُرُ بَعضُكُم بِبَعضٍ وَيَلعَنُ بَعضُكُم بَعضًا وَمَأوىٰكُمُ النّارُ وَما لَكُم مِن نٰصِرينَ
