loc,surah,verse,word,seg,form,pos,lemma,tag
(35:36:4:1),35,36,4,1,naAru,N,naAr,N
(36:80:7:1),36,80,7,1,naArFA,N,naAr,N
(38:27:16:2),38,27,16,2,n~aAri,N,naAr,N
(38:59:10:2),38,59,10,2,n~aAri,N,naAr,N
(38:61:11:2),38,61,11,2,n~aAri,N,naAr,N
(38:64:6:2),38,64,6,2,n~aAri,N,naAr,N
(38:76:7:1),38,76,7,1,n~aArK,N,naAr,N
(39:8:34:2),39,8,34,2,n~aAri,N,naAr,N
(39:16:6:2),39,16,6,2,n~aAri,N,naAr,N
(39:19:10:2),39,19,10,2,n~aAri,N,naAr,N
(39:22:8:1),39,22,8,1,nuwrK,N,nuwr,N
(39:69:3:2),39,69,3,2,nuwri,N,nuwr,N
(40:6:10:2),40,6,10,2,n~aAri,N,naAr,N
(40:41:9:2),40,41,9,2,n~aAri,N,naAr,N
(40:43:22:2),40,43,22,2,n~aAri,N,naAr,N
(40:46:1:2),40,46,1,2,n~aAru,N,naAr,N
(40:47:4:2),40,47,4,2,n~aAri,N,naAr,N
(40:47:19:2),40,47,19,2,n~aAri,N,naAr,N
(40:49:4:2),40,49,4,2,n~aAri,N,naAr,N
(40:72:5:2),40,72,5,2,n~aAri,N,naAr,N
(41:19:6:2),41,19,6,2,n~aAri,N,naAr,N
(41:24:3:3),41,24,3,3,n~aAru,N,naAr,N
(41:28:5:2),41,28,5,2,n~aAru,N,naAr,N
(41:40:12:2),41,40,12,2,n~aAri,N,naAr,N
(42:52:16:1),42,52,16,1,nuwrFA,N,nuwr,N
(45:34:10:2),45,34,10,2,n~aAru,N,naAr,N
(46:20:6:2),46,20,6,2,n~aAri,N,naAr,N
(46:34:6:2),46,34,6,2,n~aAri,N,naAr,N
(47:12:20:3),47,12,20,3,n~aAru,N,naAr,N
(47:15:39:2),47,15,39,2,n~aAri,N,naAr,N
(51:13:4:2),51,13,4,2,n~aAri,N,naAr,N
(52:13:4:1),52,13,4,1,naAri,N,naAr,N
(52:14:2:2),52,14,2,2,n~aAru,N,naAr,N
(54:48:4:2),54,48,4,2,n~aAri,N,naAr,N
(55:15:6:1),55,15,6,1,n~aArK,N,naAr,N
(55:35:5:1),55,35,5,1,n~aArK,N,naAr,N
(56:71:2:2),56,71,2,2,n~aAra,N,naAr,N
(57:9:12:2),57,9,12,2,n~uwri,N,nuwr,N
(57:12:6:1),57,12,6,1,nuwru,N,nuwr,N
(57:13:10:1),57,13,10,1,n~uwri,N,nuwr,N
(57:13:15:1),57,13,15,1,nuwrFA,N,nuwr,N
(57:15:11:2),57,15,11,2,n~aAru,N,naAr,N
(57:19:13:2),57,19,13,2,nuwru,N,nuwr,N
(57:28:14:1),57,28,14,1,nuwrFA,N,nuwr,N
(58:17:12:2),58,17,12,2,n~aAri,N,naAr,N
(59:3:14:2),59,3,14,2,n~aAri,N,naAr,N
(59:17:5:2),59,17,5,2,n~aAri,N,naAr,N
(59:20:4:2),59,20,4,2,n~aAri,N,naAr,N
(61:8:3:1),61,8,3,1,nuwra,N,nuwr,N
(61:8:8:1),61,8,8,1,nuwri,N,nuwr,N
(64:8:4:3),64,8,4,3,n~uwri,N,nuwr,N
(64:10:7:2),64,10,7,2,n~aAri,N,naAr,N
(65:11:15:2),65,11,15,2,n~uwri,N,nuwr,N
(66:6:7:1),66,6,7,1,naArFA,N,naAr,N
(66:8:29:1),66,8,29,1,nuwru,N,nuwr,N
(66:8:38:1),66,8,38,1,nuwra,N,nuwr,N
(66:10:25:2),66,10,25,2,n~aAra,N,naAr,N
(71:16:4:1),71,16,4,1,nuwrFA,N,nuwr,N
(71:25:5:1),71,25,5,1,naArFA,N,naAr,N
(72:23:12:1),72,23,12,1,naAra,N,naAr,N
(74:31:4:2),74,31,4,2,n~aAri,N,naAr,N
(85:5:1:2),85,5,1,2,n~aAri,N,naAr,N
(87:12:3:2),87,12,3,2,n~aAra,N,naAr,N
(88:4:2:1),88,4,2,1,naArFA,N,naAr,N
(90:20:2:1),90,20,2,1,naArN,N,naAr,N
(92:14:2:1),92,14,2,1,naArFA,N,naAr,N
(98:6:9:1),98,6,9,1,naAri,N,naAr,N
(101:11:1:1),101,11,1,1,naArN,N,naAr,N
(104:6:1:1),104,6,1,1,naAru,N,naAr,N
(111:3:2:1),111,3,2,1,naArFA,N,naAr,N
