perm_index,abs_tau,signed_tau,adj_matches
129,0.024065,0.024065,2
130,0.070952,-0.070952,2
131,0.111008,-0.111008,2
132,0.067536,-0.067536,1
133,0.011644,0.011644,0
134,0.068778,-0.068778,4
135,0.076851,0.076851,2
136,0.054184,0.054184,4
137,0.004192,0.004192,0
138,0.014128,0.014128,4
139,0.054495,0.054495,0
140,0.067226,-0.067226,4
141,0.114113,-0.114113,1
142,0.071262,-0.071262,2
143,0.071262,0.071262,2
144,0.098587,0.098587,3
145,0.082130,0.082130,3
146,0.067536,-0.067536,3
147,0.107592,-0.107592,2
148,0.006676,-0.006676,0
149,0.111008,-0.111008,5
150,0.060084,0.060084,6
151,0.094240,-0.094240,4
152,0.097345,0.097345,4
153,0.007297,-0.007297,1
154,0.095482,-0.095482,4
155,0.014128,0.014128,3
156,0.002018,-0.002018,3
157,0.042695,-0.042695,2
158,0.017544,-0.017544,2
159,0.063499,-0.063499,0
160,0.055426,0.055426,4
161,0.065363,0.065363,2
162,0.065052,-0.065052,3
163,0.003881,-0.003881,0
164,0.002018,-0.002018,3
165,0.015060,-0.015060,3
166,0.013197,-0.013197,2
167,0.058531,-0.058531,2
168,0.117218,-0.117218,4
169,0.038038,-0.038038,1
170,0.082130,0.082130,0
171,0.068157,-0.068157,2
172,0.079957,-0.079957,1
173,0.012265,-0.012265,2
174,0.056979,0.056979,2
175,0.047353,0.047353,1
176,0.036796,-0.036796,3
177,0.070020,-0.070020,4
178,0.060084,0.060084,2
179,0.018786,0.018786,4
180,0.029033,-0.029033,3
181,0.045490,0.045490,2
182,0.051079,0.051079,2
183,0.003881,0.003881,2
184,0.032448,0.032448,1
185,0.086477,-0.086477,0
186,0.053874,0.053874,0
187,0.154169,0.154169,4
188,0.024375,0.024375,2
189,0.046421,-0.046421,0
190,0.059152,-0.059152,5
191,0.151995,-0.151995,1
192,0.103555,-0.103555,3
193,0.043627,-0.043627,2
194,0.011955,-0.011955,3
195,0.131501,-0.131501,4
196,0.025617,0.025617,1
197,0.095172,0.095172,3
198,0.037417,0.037417,3
199,0.027170,0.027170,1
200,0.052942,-0.052942,1
201,0.086788,-0.086788,2
202,0.019407,-0.019407,2
203,0.091445,-0.091445,0
204,0.102934,-0.102934,8
205,0.057289,-0.057289,2
206,0.037417,0.037417,1
207,0.023754,0.023754,4
208,0.004192,0.004192,4
209,0.007918,0.007918,1
210,0.081509,0.081509,4
211,0.148579,-0.148579,2
212,0.042695,0.042695,0
213,0.056979,0.056979,2
214,0.076541,0.076541,2
215,0.144853,0.144853,6
216,0.006986,0.006986,3
217,0.026549,0.026549,4
218,0.009781,-0.009781,1
219,0.111008,0.111008,1
220,0.035864,0.035864,4
221,0.125291,0.125291,0
222,0.068778,-0.068778,1
223,0.024996,-0.024996,0
224,0.024065,-0.024065,2
225,0.106660,0.106660,2
226,0.006676,-0.006676,2
227,0.016302,0.016302,1
228,0.047974,-0.047974,1
229,0.005744,-0.005744,0
230,0.147027,-0.147027,7
231,0.070641,-0.070641,3
232,0.086167,-0.086167,4
233,0.110697,0.110697,1
234,0.003260,0.003260,1
235,0.051700,0.051700,1
236,0.055426,-0.055426,3
237,0.058221,-0.058221,0
238,0.047353,0.047353,4
239,0.046111,-0.046111,4
240,0.112250,0.112250,2
241,0.090203,0.090203,0
242,0.120012,-0.120012,1
243,0.165658,-0.165658,3
244,0.014439,0.014439,1
245,0.169694,0.169694,1
246,0.033690,0.033690,3
247,0.015370,0.015370,4
248,0.049837,0.049837,0
249,0.032759,-0.032759,1
250,0.016302,-0.016302,1
251,0.039590,0.039590,0
252,0.008850,0.008850,2
253,0.027170,-0.027170,1
254,0.021580,-0.021580,1
255,0.074678,0.074678,5
256,0.154479,-0.154479,2
257,0.024996,0.024996,3
258,0.013818,0.013818,0
259,0.040522,-0.040522,1
260,0.047663,0.047663,3
261,0.052321,-0.052321,3
262,0.099519,0.099519,3
263,0.006365,-0.006365,4
264,0.164105,0.164105,0
265,0.018165,-0.018165,0
266,0.050458,0.050458,4
267,0.099208,-0.099208,3
268,0.048905,-0.048905,4
269,0.057910,0.057910,1
270,0.001087,-0.001087,3
271,0.015681,-0.015681,3
272,0.063499,-0.063499,3
273,0.008850,0.008850,3
274,0.168142,-0.168142,1
275,0.089272,-0.089272,1
276,0.037106,0.037106,1
277,0.098277,-0.098277,4
278,0.015060,0.015060,3
279,0.070331,-0.070331,3
280,0.025617,-0.025617,4
281,0.026859,-0.026859,3
282,0.027791,0.027791,3
283,0.058842,0.058842,0
284,0.036175,0.036175,1
285,0.018786,-0.018786,1
286,0.023754,0.023754,1
287,0.032138,-0.032138,4
288,0.029964,-0.029964,2
289,0.010402,0.010402,0
290,0.025307,0.025307,1
291,0.004502,-0.004502,4
292,0.066915,-0.066915,0
293,0.028101,0.028101,1
294,0.066605,-0.066605,1
295,0.048595,-0.048595,3
296,0.002329,0.002329,2
297,0.012576,0.012576,1
298,0.072815,0.072815,1
299,0.097966,-0.097966,2
300,0.048905,0.048905,2
301,0.037727,0.037727,3
302,0.054495,-0.054495,3
303,0.029654,-0.029654,5
304,0.092687,0.092687,1
305,0.053563,-0.053563,3
306,0.069710,0.069710,1
307,0.029343,-0.029343,0
308,0.023754,-0.023754,1
309,0.001708,-0.001708,2
310,0.129017,0.129017,1
311,0.008539,-0.008539,3
312,0.071883,-0.071883,2
313,0.042074,-0.042074,1
314,0.015991,0.015991,1
315,0.094551,-0.094551,0
316,0.039590,-0.039590,2
317,0.056358,0.056358,3
318,0.111008,-0.111008,1
319,0.000776,0.000776,1
320,0.043316,-0.043316,1
321,0.058842,0.058842,3
322,0.071883,0.071883,1
323,0.003260,-0.003260,3
324,0.067536,0.067536,5
325,0.073746,0.073746,2
326,0.007918,-0.007918,2
327,0.069399,0.069399,3
328,0.083062,-0.083062,2
329,0.050458,-0.050458,2
330,0.086788,-0.086788,0
331,0.018786,-0.018786,2
332,0.037417,0.037417,2
333,0.033069,-0.033069,2
334,0.040832,-0.040832,4
335,0.024375,0.024375,3
336,0.102624,-0.102624,2
337,0.077162,0.077162,1
338,0.085546,-0.085546,1
339,0.052321,0.052321,5
340,0.089893,0.089893,2
341,0.103245,0.103245,4
342,0.020028,0.020028,3
343,0.052321,0.052321,2
344,0.060394,0.060394,1
345,0.017233,0.017233,2
346,0.020338,0.020338,0
347,0.016302,-0.016302,2
348,0.007918,0.007918,0
349,0.046111,0.046111,2
350,0.053563,-0.053563,1
351,0.076851,-0.076851,1
352,0.052011,-0.052011,1
353,0.002950,-0.002950,0
354,0.061636,0.061636,1
355,0.106971,0.106971,2
356,0.071262,0.071262,0
357,0.015370,-0.015370,5
358,0.038348,-0.038348,3
359,0.068157,0.068157,3
360,0.002950,-0.002950,3
361,0.014749,0.014749,1
362,0.048595,-0.048595,1
363,0.041764,-0.041764,1
364,0.014749,-0.014749,1
365,0.102313,-0.102313,1
366,0.006986,0.006986,3
367,0.019717,0.019717,3
368,0.026549,-0.026549,5
369,0.076230,-0.076230,2
370,0.074367,-0.074367,2
371,0.123428,0.123428,2
372,0.034311,0.034311,2
373,0.077783,-0.077783,1
374,0.029033,-0.029033,2
375,0.031206,0.031206,1
376,0.023754,0.023754,2
377,0.042695,0.042695,4
378,0.103866,-0.103866,1
379,0.006365,0.006365,2
380,0.090824,-0.090824,1
381,0.007297,-0.007297,1
382,0.075299,-0.075299,3
383,0.040522,-0.040522,0
384,0.183978,0.183978,1
385,0.142059,-0.142059,2
386,0.056358,0.056358,1
387,0.097966,-0.097966,4
388,0.044869,0.044869,2
389,0.010092,0.010092,2
390,0.071883,0.071883,3
391,0.013818,-0.013818,1
392,0.028722,0.028722,3
393,0.041143,0.041143,1
394,0.000155,-0.000155,4
395,0.124670,0.124670,2
396,0.022512,-0.022512,1
397,0.001087,-0.001087,4
398,0.033069,-0.033069,3
399,0.058531,0.058531,2
400,0.011023,0.011023,2
401,0.002950,0.002950,4
402,0.133364,-0.133364,5
403,0.082441,0.082441,6
404,0.064741,0.064741,2
405,0.020959,-0.020959,3
406,0.020649,0.020649,3
407,0.087098,-0.087098,1
408,0.038348,0.038348,2
409,0.055426,0.055426,0
410,0.061326,-0.061326,2
411,0.101071,-0.101071,2
412,0.001397,0.001397,4
413,0.092998,0.092998,3
414,0.136780,0.136780,1
415,0.034622,-0.034622,1
416,0.185530,0.185530,1
417,0.023444,0.023444,2
418,0.038038,0.038038,0
419,0.084925,0.084925,1
420,0.057289,0.057289,3
421,0.088030,0.088030,3
422,0.056668,0.056668,1
423,0.145785,-0.145785,2
424,0.070641,-0.070641,3
425,0.052011,0.052011,1
426,0.035864,0.035864,2
427,0.045490,-0.045490,2
428,0.034311,-0.034311,6
429,0.098277,-0.098277,4
430,0.084614,-0.084614,4
431,0.005434,-0.005434,1
432,0.077472,0.077472,2
433,0.051079,0.051079,3
434,0.048905,-0.048905,1
435,0.087719,0.087719,0
436,0.006676,-0.006676,1
437,0.005123,0.005123,1
438,0.037106,-0.037106,0
439,0.028412,-0.028412,2
440,0.011023,-0.011023,4
441,0.123428,-0.123428,3
442,0.066294,-0.066294,2
443,0.018475,0.018475,1
444,0.054805,-0.054805,0
445,0.027791,0.027791,0
446,0.049216,0.049216,5
447,0.003260,-0.003260,0
448,0.006055,0.006055,1
449,0.017233,0.017233,4
450,0.034001,-0.034001,1
451,0.053563,0.053563,3
452,0.004813,0.004813,6
453,0.005434,-0.005434,2
454,0.009781,0.009781,1
455,0.001087,-0.001087,3
456,0.084304,-0.084304,5
457,0.042074,0.042074,2
458,0.002018,0.002018,4
459,0.004813,-0.004813,1
460,0.034932,-0.034932,1
461,0.051700,0.051700,2
462,0.024065,-0.024065,0
463,0.003260,-0.003260,4
464,0.096724,-0.096724,2
465,0.141438,0.141438,3
466,0.036485,0.036485,3
467,0.116907,0.116907,1
468,0.096103,-0.096103,2
469,0.030585,0.030585,5
470,0.027480,-0.027480,5
471,0.011023,-0.011023,1
472,0.061015,0.061015,5
473,0.004192,0.004192,3
474,0.022512,0.022512,0
475,0.028722,-0.028722,2
476,0.036796,0.036796,5
477,0.063810,0.063810,5
478,0.074988,-0.074988,2
479,0.059463,-0.059463,3
480,0.003571,-0.003571,4
481,0.056358,-0.056358,0
482,0.027791,-0.027791,1
483,0.001397,-0.001397,2
484,0.021580,-0.021580,1
485,0.032759,-0.032759,5
486,0.057910,0.057910,3
487,0.110697,-0.110697,1
488,0.039901,0.039901,1
489,0.098587,-0.098587,3
490,0.091135,-0.091135,4
491,0.064431,0.064431,3
492,0.005123,0.005123,0
493,0.019096,0.019096,1
494,0.042074,-0.042074,0
495,0.044869,0.044869,1
496,0.131191,0.131191,3
497,0.018165,-0.018165,1
498,0.003571,-0.003571,3
499,0.080267,-0.080267,2
500,0.044869,-0.044869,4
501,0.026859,0.026859,2
502,0.024686,0.024686,2
503,0.081199,-0.081199,0
504,0.035243,-0.035243,3
505,0.008229,0.008229,0
506,0.095482,0.095482,3
507,0.089893,-0.089893,2
508,0.016923,-0.016923,3
509,0.000155,-0.000155,2
510,0.076230,-0.076230,2
511,0.054184,-0.054184,7
512,0.056668,-0.056668,3
513,0.002950,-0.002950,3
514,0.029343,-0.029343,1
515,0.102934,-0.102934,2
516,0.062568,-0.062568,3
517,0.037106,0.037106,2
518,0.072815,-0.072815,1
519,0.042385,-0.042385,3
520,0.008850,-0.008850,2
521,0.015370,-0.015370,2
522,0.087719,-0.087719,2
523,0.024375,-0.024375,1
524,0.057289,0.057289,2
525,0.066605,-0.066605,2
526,0.102003,-0.102003,3
527,0.007918,0.007918,0
528,0.047353,-0.047353,4
529,0.040832,-0.040832,8
530,0.006055,-0.006055,1
531,0.064120,-0.064120,2
532,0.016923,0.016923,1
533,0.043006,-0.043006,2
534,0.045179,0.045179,5
535,0.015991,-0.015991,3
536,0.045179,-0.045179,1
537,0.051390,-0.051390,2
538,0.063810,-0.063810,3
539,0.012886,0.012886,3
540,0.051079,0.051079,2
541,0.020959,0.020959,1
542,0.043627,0.043627,2
543,0.028412,0.028412,4
544,0.034311,0.034311,2
545,0.055426,0.055426,3
546,0.035553,-0.035553,3
547,0.023133,-0.023133,1
548,0.051390,-0.051390,1
549,0.048905,-0.048905,1
550,0.049526,-0.049526,3
551,0.059463,-0.059463,0
552,0.108213,0.108213,4
553,0.029343,0.029343,3
554,0.000776,-0.000776,1
555,0.038659,-0.038659,4
556,0.027480,-0.027480,1
557,0.088340,0.088340,3
558,0.018786,0.018786,1
559,0.015060,0.015060,2
560,0.023133,0.023133,2
561,0.024996,0.024996,4
562,0.061015,-0.061015,2
563,0.003260,-0.003260,3
564,0.070331,-0.070331,2
565,0.108524,0.108524,2
566,0.004192,-0.004192,1
567,0.060705,-0.060705,3
568,0.088651,-0.088651,2
569,0.062878,-0.062878,3
570,0.080888,0.080888,1
571,0.078714,0.078714,2
572,0.026859,0.026859,3
573,0.136159,0.136159,2
574,0.010402,-0.010402,1
575,0.011644,-0.011644,1
576,0.123739,-0.123739,2
577,0.027791,-0.027791,4
578,0.020959,-0.020959,1
579,0.037106,0.037106,7
580,0.041143,0.041143,2
581,0.013197,-0.013197,3
582,0.020959,0.020959,1
583,0.129017,0.129017,2
584,0.040211,0.040211,2
585,0.069710,-0.069710,3
586,0.006676,0.006676,1
587,0.003571,-0.003571,0
588,0.022823,0.022823,3
589,0.017854,-0.017854,1
590,0.090203,-0.090203,3
591,0.043937,-0.043937,3
592,0.021270,-0.021270,0
593,0.018165,-0.018165,3
594,0.055426,0.055426,4
595,0.012265,-0.012265,0
596,0.037727,-0.037727,1
597,0.024065,0.024065,1
598,0.057289,0.057289,1
599,0.067226,0.067226,2
600,0.043316,0.043316,0
601,0.008539,0.008539,5
602,0.024686,-0.024686,1
603,0.060394,0.060394,1
604,0.052321,0.052321,1
605,0.014128,-0.014128,1
606,0.031206,-0.031206,3
607,0.099519,-0.099519,0
608,0.082751,0.082751,3
609,0.020959,-0.020959,2
610,0.077783,-0.077783,2
611,0.023133,0.023133,2
612,0.046111,0.046111,4
613,0.027480,0.027480,1
614,0.067536,-0.067536,4
615,0.036175,-0.036175,2
616,0.010402,0.010402,1
617,0.060394,0.060394,1
618,0.030896,0.030896,3
619,0.057910,0.057910,0
620,0.008850,0.008850,1
621,0.022202,-0.022202,0
622,0.092066,0.092066,3
623,0.081820,0.081820,3
624,0.034311,-0.034311,1
625,0.036175,0.036175,2
626,0.014749,-0.014749,2
627,0.044248,-0.044248,2
628,0.005123,0.005123,0
629,0.043316,0.043316,2
630,0.039280,-0.039280,2
631,0.099829,0.099829,2
632,0.075299,-0.075299,3
633,0.039590,0.039590,1
634,0.070641,-0.070641,3
635,0.033690,-0.033690,3
636,0.002329,0.002329,3
637,0.096414,0.096414,2
638,0.071573,0.071573,2
639,0.047042,0.047042,2
640,0.080888,-0.080888,5
641,0.105729,0.105729,1
642,0.002950,-0.002950,0
643,0.031827,-0.031827,3
644,0.124049,-0.124049,0
645,0.027170,-0.027170,2
646,0.007297,-0.007297,0
647,0.010713,-0.010713,2
648,0.049526,0.049526,8
649,0.130880,0.130880,1
650,0.022202,0.022202,1
651,0.082751,-0.082751,2
652,0.020649,-0.020649,4
653,0.072504,-0.072504,3
654,0.058531,-0.058531,2
655,0.065673,0.065673,1
656,0.009471,-0.009471,1
657,0.059152,-0.059152,1
658,0.111008,0.111008,3
659,0.097966,0.097966,2
660,0.037417,-0.037417,3
661,0.080578,-0.080578,5
662,0.092066,0.092066,3
663,0.183357,0.183357,1
664,0.016302,0.016302,0
665,0.006365,-0.006365,1
666,0.020649,0.020649,0
667,0.027170,0.027170,6
668,0.008229,-0.008229,0
669,0.024996,-0.024996,5
670,0.101071,-0.101071,3
671,0.024065,-0.024065,1
672,0.100140,0.100140,0
673,0.052011,-0.052011,1
674,0.000466,0.000466,2
675,0.043006,-0.043006,2
676,0.055426,-0.055426,2
677,0.105729,0.105729,2
678,0.089582,0.089582,1
679,0.023444,-0.023444,2
680,0.032759,-0.032759,1
681,0.016302,-0.016302,7
682,0.095482,0.095482,4
683,0.019407,-0.019407,2
684,0.063810,-0.063810,3
685,0.051079,-0.051079,4
686,0.012576,-0.012576,5
687,0.032448,0.032448,2
688,0.046111,0.046111,3
689,0.008539,0.008539,0
690,0.002018,-0.002018,1
691,0.065984,0.065984,5
692,0.045490,0.045490,1
693,0.108213,0.108213,4
694,0.041143,0.041143,0
695,0.012576,-0.012576,3
696,0.006676,0.006676,3
697,0.175283,0.175283,4
698,0.054805,0.054805,1
699,0.019407,-0.019407,2
700,0.056358,-0.056358,4
701,0.160379,0.160379,2
702,0.003571,0.003571,2
703,0.121875,-0.121875,1
704,0.073125,-0.073125,2
705,0.036175,-0.036175,3
706,0.031206,-0.031206,2
707,0.111939,-0.111939,2
708,0.073436,0.073436,1
709,0.074988,0.074988,3
710,0.034311,-0.034311,2
711,0.107592,0.107592,5
712,0.008229,0.008229,5
713,0.084304,-0.084304,3
714,0.018165,-0.018165,3
715,0.072815,-0.072815,1
716,0.024065,-0.024065,2
717,0.086788,-0.086788,2
718,0.060705,0.060705,2
719,0.069710,-0.069710,3
720,0.034311,-0.034311,5
721,0.049216,-0.049216,3
722,0.070331,-0.070331,3
723,0.076230,-0.076230,2
724,0.011334,-0.011334,3
725,0.049526,-0.049526,2
726,0.008539,-0.008539,2
727,0.173110,0.173110,1
728,0.016302,-0.016302,2
729,0.013507,-0.013507,2
730,0.005123,-0.005123,1
731,0.112250,0.112250,2
732,0.088961,0.088961,2
733,0.016302,0.016302,1
734,0.024375,-0.024375,2
735,0.020028,-0.020028,4
736,0.020649,0.020649,1
737,0.036796,-0.036796,3
738,0.065363,-0.065363,5
739,0.097345,-0.097345,2
740,0.010402,0.010402,2
741,0.047042,-0.047042,1
742,0.031206,-0.031206,4
743,0.038038,0.038038,1
744,0.064120,0.064120,3
745,0.014439,0.014439,3
746,0.097345,-0.097345,3
747,0.014439,-0.014439,1
748,0.029964,-0.029964,1
749,0.049837,-0.049837,2
750,0.065363,-0.065363,5
751,0.032448,0.032448,0
752,0.051079,0.051079,3
753,0.020028,0.020028,2
754,0.102003,-0.102003,4
755,0.012265,-0.012265,3
756,0.048595,-0.048595,2
757,0.016612,0.016612,2
758,0.124670,-0.124670,2
759,0.042385,-0.042385,1
760,0.024375,0.024375,0
761,0.037727,0.037727,1
762,0.054184,-0.054184,2
763,0.031517,0.031517,2
764,0.005123,-0.005123,1
765,0.027170,0.027170,2
766,0.066605,-0.066605,2
767,0.008229,-0.008229,2
768,0.015991,-0.015991,1
769,0.071573,-0.071573,4
770,0.044869,0.044869,2
771,0.036175,-0.036175,3
772,0.028412,0.028412,0
773,0.014128,0.014128,5
774,0.047353,0.047353,1
775,0.008850,-0.008850,3
776,0.023133,-0.023133,2
777,0.060705,-0.060705,2
778,0.000155,-0.000155,1
779,0.109145,0.109145,5
780,0.025617,-0.025617,5
781,0.028412,-0.028412,2
782,0.015681,0.015681,2
783,0.049526,0.049526,1
784,0.028101,0.028101,3
785,0.016302,0.016302,1
786,0.041453,-0.041453,0
787,0.086477,-0.086477,3
788,0.008229,-0.008229,1
789,0.085856,-0.085856,3
790,0.068468,-0.068468,0
791,0.005434,-0.005434,2
792,0.004813,-0.004813,1
793,0.028722,0.028722,3
794,0.064120,0.064120,2
795,0.080888,0.080888,1
796,0.021580,0.021580,1
797,0.038659,-0.038659,2
798,0.015991,-0.015991,2
799,0.092066,0.092066,2
800,0.111318,-0.111318,0
801,0.018786,-0.018786,2
802,0.027480,0.027480,0
803,0.089272,0.089272,1
804,0.018165,0.018165,3
805,0.012886,0.012886,5
806,0.078404,0.078404,2
807,0.077162,0.077162,4
808,0.036485,0.036485,1
809,0.101692,0.101692,4
810,0.067536,-0.067536,1
811,0.161310,0.161310,2
812,0.047974,-0.047974,2
813,0.047663,-0.047663,4
814,0.007918,0.007918,2
815,0.003881,-0.003881,1
816,0.072194,0.072194,3
817,0.025617,0.025617,5
818,0.020959,0.020959,1
819,0.118460,0.118460,3
820,0.039901,-0.039901,0
821,0.074988,0.074988,2
822,0.026549,0.026549,1
823,0.005123,0.005123,1
824,0.002329,-0.002329,1
825,0.005123,-0.005123,3
826,0.080267,0.080267,1
827,0.104176,0.104176,5
828,0.024065,0.024065,2
829,0.100450,-0.100450,1
830,0.060084,0.060084,2
831,0.017233,-0.017233,1
832,0.079336,-0.079336,5
833,0.031827,-0.031827,1
834,0.009471,-0.009471,1
835,0.067847,-0.067847,2
836,0.038969,-0.038969,3
837,0.003571,-0.003571,1
838,0.039280,-0.039280,1
839,0.010713,0.010713,2
840,0.012576,0.012576,0
841,0.049216,-0.049216,2
842,0.023754,0.023754,0
843,0.087409,0.087409,2
844,0.114423,-0.114423,0
845,0.046421,0.046421,0
846,0.007297,-0.007297,5
847,0.117218,-0.117218,1
848,0.009781,-0.009781,1
849,0.119391,-0.119391,2
850,0.093308,-0.093308,3
851,0.070020,0.070020,2
852,0.002639,0.002639,3
853,0.026859,0.026859,5
854,0.020338,-0.020338,3
855,0.005744,0.005744,5
856,0.016302,-0.016302,1
857,0.058842,0.058842,0
858,0.100450,0.100450,2
859,0.003571,0.003571,2
860,0.098277,0.098277,1
861,0.024996,-0.024996,2
862,0.057600,-0.057600,1
863,0.165347,0.165347,2
864,0.006055,-0.006055,4
865,0.022202,-0.022202,3
866,0.031206,-0.031206,3
867,0.061015,0.061015,1
868,0.148890,-0.148890,2
869,0.037417,-0.037417,3
870,0.011023,-0.011023,1
871,0.174973,0.174973,1
872,0.082751,0.082751,0
873,0.016612,0.016612,3
874,0.002329,-0.002329,2
875,0.124049,0.124049,4
876,0.003260,-0.003260,4
877,0.029033,-0.029033,0
878,0.051700,0.051700,3
879,0.022512,-0.022512,3
880,0.007918,-0.007918,2
881,0.060705,-0.060705,2
882,0.001087,-0.001087,2
883,0.030275,-0.030275,2
884,0.073436,-0.073436,2
885,0.021580,0.021580,4
886,0.004502,-0.004502,3
887,0.162552,-0.162552,4
888,0.074057,0.074057,1
889,0.070641,0.070641,1
890,0.006365,0.006365,1
891,0.097656,0.097656,0
892,0.034932,-0.034932,1
893,0.094551,0.094551,3
894,0.038348,0.038348,0
895,0.013818,-0.013818,2
896,0.011334,-0.011334,2
897,0.049216,-0.049216,3
898,0.038659,0.038659,2
899,0.024686,0.024686,2
900,0.011334,0.011334,2
901,0.074988,0.074988,3
902,0.050769,0.050769,1
903,0.007297,0.007297,0
904,0.026859,0.026859,2
905,0.062257,0.062257,0
906,0.021891,0.021891,2
907,0.023754,0.023754,1
908,0.053874,-0.053874,0
909,0.086788,0.086788,1
910,0.039590,-0.039590,2
911,0.068468,-0.068468,0
912,0.023133,0.023133,2
913,0.039590,-0.039590,1
914,0.053253,-0.053253,4
915,0.068468,0.068468,1
916,0.086167,0.086167,3
917,0.005744,0.005744,1
918,0.029343,0.029343,4
919,0.013818,0.013818,4
920,0.032759,-0.032759,1
921,0.090203,0.090203,0
922,0.021580,0.021580,2
923,0.045179,0.045179,1
924,0.038038,0.038038,4
925,0.012576,0.012576,1
926,0.005123,0.005123,3
927,0.030896,0.030896,2
928,0.052632,-0.052632,0
929,0.012886,-0.012886,2
930,0.057910,0.057910,1
931,0.018165,-0.018165,2
932,0.074057,0.074057,2
933,0.053874,0.053874,2
934,0.009471,0.009471,1
935,0.084925,0.084925,3
936,0.056358,-0.056358,1
937,0.069399,-0.069399,3
938,0.057289,0.057289,2
939,0.012265,0.012265,2
940,0.009160,-0.009160,2
941,0.051700,-0.051700,1
942,0.015991,-0.015991,3
943,0.020649,0.020649,3
944,0.053563,0.053563,1
945,0.121565,-0.121565,3
946,0.066605,0.066605,2
947,0.009160,0.009160,1
948,0.029654,0.029654,2
949,0.042385,0.042385,2
950,0.032448,-0.032448,3
951,0.015370,-0.015370,2
952,0.007608,0.007608,2
953,0.011334,-0.011334,2
954,0.009471,0.009471,1
955,0.062878,-0.062878,1
956,0.026238,0.026238,3
957,0.076230,-0.076230,1
958,0.067226,0.067226,3
959,0.015681,-0.015681,0
