surah	verse	surah_name_translit	biqai_keyword	razi_keyword	confidence	biqai_snippet	razi_snippet
2	143	al-Baqara	مقصد	غرض	HIGH	جتماعها حالة متشابهة هي العدالة، فبهذا الاعتبار عبر عن العدالة بالوساطة، أي في قوله تعالى: {وكذلك جعلناكم أمة وسطا} [البقرة: 143] وإليه أشير بقوله عليه الصلاة والسلام «خير الأمور أوساطها» والحكمة في النفس البهيمية بقاء البدن الذي هو م	أي ما يمسكهما، وأما الرابعة وهي الزائدة فكقولك: ما إن رأيت زيدا. # إذا عرفت هذا فنقول: «إن» في قوله: وإن كانت لكبيرة [البقرة: 143] هي المخففة التي تلزمها اللام، والغرض منها توكيد المعنى في الجملة. # المسألة الثانية: الضمير في قوله: كان
2	163	al-Baqara	مقصود	غرض	HIGH	قوا فتأهلوا لأنواع المعارف قال معليا لهم من مصاعد الربوبية إلى معارج ms0629 الإلهية # {وإلهكم إله واحد لا إله إلا هو} [البقرة: 163] فلما تسنموا هذا الشرف لقنهم العبادات المزكية ونقاهم أرواحها المصفية فذكر أمهات الأعمال أصولا وفروعا ال	سألة الرابعة: ذكر ابن جرير في سبب نزول هذه الآية: عن عطاء أنه عليه السلام عند قدومه المدينة نزل عليه: وإلهكم إله واحد [البقرة: 163] فقال كفار قريش بمكة كيف يسع الناس إله واحد؟ فأنزل الله تعالى: # إن في خلق السماوات والأرض # وعن سعيد بن
2	179	al-Baqara	غاية	المقصود	HIGH	ولا تأخير، ولا أن يبدل شيء منها بما يؤدي معناه أو يقوم مقامه، كما أن ذلك في غاية الظهور في موازنة {في القصاص حياة} [البقرة: 179] مع «القتل أنفى للقتل» وذلك بعض آية فكيف بآية # PageV17P379 # فما فوقها فتخضع له جبابرة ألبابكم وتسجد له	94] . # وأما المعقول: فهو أن المقصود من شرع القصاص صيانة النفوس والأرواح عن الإهدار. قال تعالى: # ولكم في القصاص حياة [البقرة: 179] وإذا كان المقصود من شرع القصاص صيانة النفوس والأرواح عن الإهدار، والإهدار من المثقل كهو في المحدد كانت ا
2	187	al-Baqara	غاية	غاية	HIGH	كقوله تعالى {من المسجد الحرام إلى المسجد الأقصى} [الإسراء: 1] وتارة لا تدخل كقوله تعالى {ثم أتموا الصيام إلى الليل} # [البقرة: 187] والمرفق ملتقى العظمين، وعفي عما فوق ذلك تخفيفا {وامسحوا} ولما عدل عن تعدية الفعل إلى الرأس، فلم يفعل كما	خل وبعده غزوة بدر، # وهاهنا سؤالان: # السؤال الأول: كيف يكون منسوخا وهو معلق بغاية كقوله: ثم أتموا الصيام إلى الليل [البقرة: 187] وإن لم يكن ورود الليل ناسخا فكذا هاهنا، الجواب: أن الغاية التي يعلق بها الأمر إذا كانت لا تعلم إلا شرعا
2	188	al-Baqara	غرض	المقصود	HIGH	زنا وإتيان الحائض - إلى ما دون ذلك من النهي عما يعدونه في دنياهم كيسا، نحو قوله: {ولا تأكلوا أموالكم بينكم بالباطل} [البقرة: 188] {ولا تأكلوا الربا أضعافا مضاعفة} [آل عمران: 13] {ولا تجسسوا ولا يغتب بعضكم بعضا} [الحجرات: 12] و {لا ي	هو الأكل، ونظيره قوله تعالى: إن الذين يأكلون أموال اليتامى ظلما [النساء: 10] وقال: لا تأكلوا أموالكم بينكم بالباطل [البقرة: 188] . # المسألة التاسعة: قال بعض العلماء: إن وهبت ثم طلبت بعد الهبة علم أنها لم تطب عنه نفسا، وعن الشعبي: أن
2	197	al-Baqara	مقصود	غرض	HIGH	. وقال الحرالي: لما التف حكم الحج بالحرب تداخلت آيات اشتراكهما وكما تقدم تأسيس فرض الحج في آية {فمن فرض فيهن الحج} [البقرة: 197] انتظم به كتب القتال، والفرض من الشيء ما ينزل بمنزلة الجزء منه، والكتب ما خرز بالشيء فصار كالوصلة فيه، كم	اعبدوا الله واتقوه [نوح: 3] يعني اخشوه، وكذا قوله: اتقوا الله حق تقاته [آل عمران: 102] وتزودوا فإن خير الزاد التقوى [البقرة: 197] واتقوا يوما/ لا تجزي نفس عن نفس شيئا [البقرة: 48] واعلم أن حقيقة التقوى وإن كانت هي التي ذكرناها إلا أنه
2	249	al-Baqara	غاية	غرض	HIGH	موت الحجاج أو بقوله: له فرجة! لأني كنت أطلب شاهدا لاختياري # PageV03P441 # القراءة في سورة البقرة {إلا من اغترف غرفة} [البقرة: 249]- انتهى. ولعل ختام قصص بني إسرائيل بهذه القصة لما فيها للنبي صلى الله عليه وسلم من واضح الدلالة على صحة	ة المشقة فيستوجب به الثواب الزائد كما ابتلي قوم طالوت بالنهر على ما قال: فمن شرب منه فليس مني ومن لم يطعمه فإنه مني [البقرة: 249] فثبت بهذه الوجوه أنه لا يبعد من الله تعالى إنزال الملكين لتعليم السحر والله أعلم. # PageV03P631 # المسأل
2	282	al-Baqara	غاية	المقصود	HIGH	يهم الله ملكة يميزون بها ما يلبس على غيرهم {أن تتقوا الله يجعل لكم فرقانا} [الأنفال: 29] {واتقوا الله ويعلمكم الله} [البقرة: 282] . # ولما ذكر الطلاق رجعية وبائنة عقبه ببيان وصف الرجعة من الحل والحرمة وبيان وقتها وتحديده والإشارة إلى	ما لم يجيء مثله ms0474 في فضيلة قوله: ويسئلونك عن المحيض [البقرة: 222] وقوله: يا أيها الذين آمنوا إذا تداينتم بدين [البقرة: 282] وذلك يدل على أن هذا العلم أفضل. وسابعها: أن الآيات الواردة في الأحكام الشرعية أقل من ستمائة آية، وأما ال
2	285	al-Baqara	غاية	المقصود	HIGH	ة بالتعبير بالمسلمين دون المؤمنين في قوله {وأنا أول المسلمين} [المائدة: 163] والثانية تومي إلى عدمها وهي {آمن الرسول} [البقرة: 285] إلى قوله: {كل آمن بالله} [البقرة: 285]- والله أعلم -، وكل هذا تبكيت على قومه وتبكيت لهم في عبادتهم الع	براهينها أشرف من الآيات المشتملة على المطالب الفقهية بدليل أنه جاء في فضيلة قل هو الله أحد [الإخلاص: 1] وآمن الرسول [البقرة: 285] وآية الكرسي ما لم يجيء مثله ms0474 في فضيلة قوله: ويسئلونك عن المحيض [البقرة: 222] وقوله: يا أيها الذين
3	15	Al Imran	المقصد	المقصود	HIGH	ان: 120] الموصوفين بما تقدم في قوله تعالى في المقصد الثالث من دعائم هذه السورة {قل أأنبئكم بخير من ذلك للذين اتقوا} [آل عمران: 15] ، على وجه أبلغ من ذلك بالمسارعة إلى ما يوجب المغفرة من الرب اللطيف بعباده، وإلى ما يبيح الجنة أعدت لل	ذكر ذلك في معرض الذم للدنيا والذم للشيء يمتنع أن يكون مزينا له ورابعها: قوله بعد هذه الآية قل أأنبئكم بخير من ذلكم [آل عمران: 15] والمقصود من هذا الكلام صرف العبد عن الدنيا وتقبيحها في عينه، وذلك لا يليق بمن ms2140 يزين الدنيا في عين
3	59	Al Imran	غاية	غاية	HIGH	وقال الإمام أبو علي الفارسي في كتاب الحجة: إن ذلك لا يطرد في مثل ثاني حرفي آل عمران وهو قوله: {ثم قال له كن فيكون} [آل عمران: 59] لأنه لا يحسن تخالف الفعلين المتعاطفين بالمضي وغيره، وأول قوله: # ولقد أمر على اللئيم يسبني ... فمضيت ثم	نه وجد بكلمة الله وأمره من غير واسطة ولا نطفة كما قال إن مثل عيسى عند الله كمثل آدم خلقه من تراب ثم قال له كن فيكون [آل عمران: 59] أما قوله وروح منه ففيه وجوه: الأول: أنه جرت عادة الناس أنهم إذا وصفوا شيئا بغاية الطهارة والنظافة قالوا
3	120	Al Imran	المقصد	المقصود	HIGH	~في قوله: {بلى إن تصبروا وتتقوا ويأتوكم من فورهم هذا يمددكم} [آل عمران: 125] ، {وإن تصبرو وتتقوا لا يضركم كيدهم شيئا} [آل عمران: 120] الموصوفين بما تقدم في قوله تعالى في المقصد الثالث من دعائم هذه السورة {قل أأنبئكم بخير من ذلك للذين	طلوبه إلا بالتوكل على الله والاستعانة به والمقصود من ذكر هذه القصة تأكيد قوله وإن تصبروا وتتقوا لا يضركم كيدهم شيئا [آل عمران: 120] وتأكيد قوله وعلى الله فليتوكل المؤمنون [آل عمران: 122] الثاني: أنه تعالى حكى عن الطائفتين أنهما همتا ب
3	123	Al Imran	غاية	المقصود	HIGH	~تعالى - عطفا على قوله: {بلى إن تصبروا وتتقوا} [آل عمران: 125] ، مصرحا بما لوح إليه تقديرا قبل {ولقد نصركم الله ببدر} [آل عمران: 123] كما مضى -: {ولقد صدقكم الله وعده} أي في قوله {وإن تصبروا وتتقوا لا يضركم كيدهم} [آل عمران: 120] {إذ	أكثر العلماء بالمغازي زعموا أن هذه الآية نزلت في وقعة أحد الثاني: أنه تعالى قال بعد هذه الآية ولقد نصركم الله ببدر [آل عمران: 123] والظاهر أنه معطوف على ما تقدم، / ومن حق المعطوف أن يكون غير المعطوف عليه، وأما يوم الأحزاب، فالقوم إنم
3	164	Al Imran	مقصود	غاية	HIGH	لا يدعوهم إلا لما يحييهم من الصلاة والوعظ الذي هو عين تنزيه الله وتسبيحه {يتلو عليهم آياته ويعلمهم الكتاب والحكمة} [آل عمران: 164] يزكيهم ربهم ويرزقهم من فضله إنه كريم وهاب - والله أعلم بالصواب. # PageV20P072 # سورة المنافقون # مقصود	نها زوجها أي من جنسها وهو كقوله تعالى: والله جعل لكم من أنفسكم أزواجا [النحل: 72] وكقوله: إذ بعث فيهم رسولا من أنفسهم [آل عمران: 164] وقوله: لقد جاءكم رسول من أنفسكم [التوبة: 128] قال القاضي: # والقول الأول أقوى، لكي يصح قوله: خلقكم من
3	200	Al Imran	مقصود	المقصود	HIGH	: 169] ، {الذين استجابوا لله والرسول من بعد ما أصابهم القرح} [آل عمران: 172] ، {يا أيها الذين آمنوا اصبروا وصابروا} [آل عمران: 200] ، وكانت قصة أحد قد أسفرت عن أيتام استشهد مورثوهم في حب الله، وكان من أمرهم في الجاهلية منع أمثالهم م	مع الصابرين والمقصود أن كمال أمر الجهاد مبني على الصبر، فأمرهم بالصبر. كما قال في آية أخرى: اصبروا وصابروا ورابطوا [آل عمران: 200] وبين أنه تعالى مع الصابرين، ولا شبهة أن المراد بهذه المعية النصرة والمعونة. ms4308 # ثم قال: ولا تكونو
4	1	al-Nisa	المقصود	غاية	HIGH	وت المكتوب علينا، وناسب هذا المقصود من التواصل والألفة ما افتتحت به السورة من قوله تعالى: {الذي خلقكم من نفس واحدة} [النساء: 1] ، فافتتحها بالالتئام والوصلة ولهذا خصت من حكم تشاجر الزوجين بالإعلام بصورة الإصلاح والمعدلة إبقاء لذلك الت	أبيه وكان مشركا. # النوع الرابع: قوله تعالى: وبذي القربى وهو أمر بصلة الرحم كما ذكر في أول السورة بقوله: # والأرحام [النساء: 1] . # واعلم أن الوالدين من الأقارب أيضا، إلا أن قرابة الولاد لما كانت مخصوصة بكونها أقرب القرابات وكانت مخصو
4	26	al-Nisa	مقصود	غرض	HIGH	لا ينطق عن الهوى، وحال الضال الذي إنما ينطق عن الهوى - قوله تعالى: # {يريد الله ليبين لكم ويهديكم سنن الذين من قبلكم} [النساء: 26] وختمها إشارة إلى التحذير من مثل حاله، فكأنه قيل: يبين الله لكم أن تضلوا فكونوا كأبي لهب في البوار، وصلي	التأويل. # ثم قال الفراء: العرب تجعل اللام في موضع أن في الأمر والإرادة كثيرا، من ذلك قوله تعالى: يريد الله ليبين لكم [النساء: 26] يريدون ليطفؤا [الصف: 8] وقال في الأمر: وأمرنا لنسلم [الأنعام: 71] وهي في قراءة عبد الله: وما أمروا إلا
4	32	al-Nisa	المقصود	المقصود	HIGH	لتذكير بالتقوى التي افتتحت السورة بالأمر بها، فكان التقدير حتما: فاتقوه؛ عطف عليه، أو على نحو {وسئلوا الله من فضله} [النساء: 32] أو على {اتقوا ربكم} الخلق المقصود من الخلق المبثوثين على تلك الصفة، وهو العبادة الخالصة التي هي الإحسان ف	الاستئناف، فقرأ سلهم وسل بني إسرائيل بغير همزة وسئل القرية [يوسف: 82] فسئل الذين يقرؤن الكتاب، وسئلوا الله من فضله [النساء: 32] بالهمز، وسوى الكسائي بين الكل، وقرأ الكل بغير همز وجه الفرق الفرق أن التخفيف في # PageV06P365 # الاستئناف
4	43	al-Nisa	المقصود	المقصود	HIGH	الا للشيء في حقيقته ومجازه كما هو مذهب إمامنا الشافعي رضي الله عنه، ومثل بآية النساء # {لا تقربوا الصلاة وأنتم سكارى} [النساء: 43] وبقوله: {أو لامستم النساء} [النساء: 43، المائدة: 6] وغير ذلك، وقد بينت في سورة الرعد أن مادة «صلوا» بجم	كافيا في الخروج عن العهدة. # قوله تعالى: وإن كنتم مرضى أو على سفر أو جاء أحد منكم من الغائط أو لامستم النساء ms3206 [النساء: 43] وفيه مسائل: # المسألة الأولى: يجوز للمريض أن يتيمم لقوله تعالى: وإن كنتم مرضى أو على سفر ولا يجوز أن يقال
4	48	al-Nisa	غاية	المقصود	HIGH	~فلذلك يقيم الناس دهرا طويلا يكفرون ولا يعاقبون حلما منه سبحانه، والآية مقيدة بآية النساء {ويعفر ما دون ذلك لمن يشاء} [النساء: 48] وإن لم يكن توبة، فإن التائب ليس على ظلمه. ms2376 # ولما كان يمهل سبحانه ولا يهمل وذكر إمهاله، ذكر أخذه مؤ	~وهو أنه تعالى قد يعفو عن المذنب فيترك عقابه كما قال الله تعالى: إن الله لا يغفر أن يشرك به ويغفر ما دون ذلك لمن يشاء [النساء: 48] . ### | [سورة الأنعام (6) : آية 121] # ولا تأكلوا مما لم يذكر اسم الله عليه وإنه لفسق وإن الشياطين ليوحون إ
4	94	al-Nisa	غرض	المقصود	HIGH	لطية غرض النفس # PageV01P323 # نحو قوله تعالى: {ولا تقولوا لمن ألقى إليكم السلام لست مؤمنا تبتغون عرض الحياة الدنيا} [النساء: 94] إلى ما دون ذلك من النهي عما يقدح في الفضل وإن كان من حكم العدل نحو قوله تعالى: {ولا يأتل أولو الفضل منكم	وصح إسلامه فليس بمكره، ومعناه لا تنسبوهم إلى الإكراه، ونظيره قوله تعالى: ولا تقولوا لمن ألقى إليكم السلام لست مؤمنا [النساء: 94] . # أما قوله تعالى: قد تبين الرشد من الغي ففيه مسألتان: # المسألة الأولى: يقال: بان الشيء واستبان وتبين إذا
4	171	al-Nisa	غاية	المقصود	HIGH	ا، وإذا تأملت ختام قوله تعالى في قصة عيسى عليه الصلاة والسلام # PageV05P429 # في آخر هذه السورة {سبحانه أن يكون له ولد} [النساء: 171] زاد ذلك هذا السر - وهو كونه لا اعتراض عليه - وضوحا. # ولما كان في هذا تهديد بليغ وتعريف بسعة الملك وكمال	لاة والسلام: «إنما الماء من الماء» # ولولا أن هذه الكلمة تفيد الحصر وإلا لما كان كذلك. وقال تعالى: إنما الله إله واحد [النساء: 171] والمقصود بيان نفي الإلهية للغير والثالث: الشعر. قال الأعشى: # ولست بالأكثر منهم حصى ... وإنما العزة للكا
5	3	al-Maida	المقصود	مقصود	HIGH	# PageV01P048 # الأمر والخلق من جميع وجوهه، فصار قرآنا جامعا للكل متمما للنعمة مكملا للدين # {اليوم أكملت لكم دينكم} [المائدة: 3] الآية، بعثت لأتمم مكارم الأخلاق. وإن إلى ربك المنتهى. # ووجه فوت أم القرآن للقرآن أن القرآن مقصود تنزيله	ينئذ يتحقق مقصوده. ورابعها: أن الاحتمال الذي ذكرناه متأيد بآية أخرى وهي قوله تعالى: فمن اضطر في مخمصة غير متجانف لإثم [المائدة: 3] وهو الذي قلناه من أن الآية تقتضي أن لا يكون موصوفا بالبغي والعدوان في أمر من الأمور، واحتج أبو حنيفة رض
5	67	al-Maida	غاية	غرض	HIGH	اود من وجه مرسل أنه قتل اليهودية. والأول هو الصحيح، وسيأتي لهذا الحديث ذكر في هذه السورة عند {والله يعصمك من الناس} [المائدة: 67] ، فهذا غاية العفو والإحسان امتثالا لأمر الله سبحانه. # ولما دخل النصارى فيما مضى ms1112 لأنهم من بني إسرائ	~المرسل، والآخر الرسالة، وهاهنا المراد به المرسل بدليل قوله: إنك لمن المرسلين [البقرة: 252] وقوله: يا أيها الرسول بلغ [المائدة: 67] وفعول قد يراد به المفعول، كالركوب والحلوب لما يركب ويحلب والرسول بمعنى الرسالة كقوله: # لقد كذب الواشو
5	110	al-Maida	المقصود	المقصود	HIGH	تهديد لمن يكفر - عما كفر به النصارى، فلذلك قال تعالى عاطفا على قوله {إذا قال الله يا عيسى ابن مريم اذكر نعمتي عليك} [المائدة: 110] {وإذ قال الله} أي بما له من صفات الجلال والجمال مشيرا إلى ما له من علو الرتبة بأداة النداء: {يا عيسى بن	بالرب: هو جبريل عليه السلام، لأنه كان يربيه ويخصه بأنواع/ الإعانة، ولذلك قال تعالى في أول الآية إذ أيدتك بروح القدس [المائدة: 110] يعني أنك تدعي أنه يربيك ويخصك بأنواع الكرامة، فهل يقدر على إنزال مائدة من السماء عليك. # والوجه السادس:
6	1	al-Anam	مقصود	غاية	HIGH	ا وهو رب كل شيء} [الأنعام: 164] هو معنى قوله: {خلق السماوات والأرض وجعل الظلمات والنور ثم الذين كفروا بربهم يعدلون} [الأنعام: 1] ، - والله الموفق. # PageV07P346 # سورة الأعراف # مقصودها إنذار من أعراض عما إليه الكتاب في السورة الماضية م	فقال: # خلق السماوات والأرض بالحق تعالى عما يشركون وقد ذكرنا في تفسير قوله تعالى: الحمد لله الذي خلق السماوات والأرض [الأنعام: 1] أن لفظ الخلق من كم وجه يدل على الاحتياج إلى الخالق الحكيم، ولا بأس بأن نعيد تلك الوجوه هاهنا فنقول: الخ
6	2	al-Anam	غاية	المقصود	HIGH	لله} أي المنفرد بجميع الأمر. # ولما كان السياق لتعداد النعم {الذي خلق السماوات والأرض} [الأنعام: 73] {خلقكم من طين} [الأنعام: 2] {يطعم ولا يطعم} [الأنعام: 14] {ويرسل ms1394 عليكم حفظة} [الأنعام: 61] {من ينجيكم من ظلمات البر والبحر} [ا	ى صحة القول بالحشر والنشر لأن ذلك الدليل قد تقدم ذكره في ms3514 أول السورة في قوله هو الذي خلقكم من طين ثم قضى أجلا [الأنعام: 2] على ما قررناه وفسرناه، بل المقصود من هذه الآية الردع والزجر عن هذا المذهب والقول. ### | ### | [سورة الأن
6	3	al-Anam	غاية	غرض	HIGH	ا لا يملك لكم ضرا ولا نفعا والله هو السميع العليم} [المائدة: 76] وهو ترجمة قوله: {يعلم سركم وجهركم ويعلم ما تكسبون} [الأنعام: 3] . # PageV07P034 # ولما نهض من الحجج ما لم يبق معه لذي بصيرة شك، كان لسان الحال مقتضيا لأن ينادي بالإنكار	سماء سلطانه وملكه وقدرته، والغرض من ذكر السماء تفخيم سلطان الله وتعظيم قدرته، كما قال: وهو الله في السماوات وفي الأرض [الأنعام: 3] فإن الشيء الواحد لا يكون دفعة واحدة في مكانين، فوجب أن يكون المراد من كونه في السموات وفي الأرض نفاذ أم
6	8	al-Anam	غرض	المقصود	HIGH	لبشر حتى قالوا: {أبشر يهدوننا} [التغابن: 6] ، {ما أنتم إلا بشر مثلنا} [يس: 15] وحتى قالت قريش: {لولا أنزل عليه ملك} [الأنعام: 8] ، {ما لهذا الرسول يأكل الطعام ويمشي في الأسواق} {وقالوا لولا أنزل هذا القرآن على رجل من القريتين عظيم} [ا	يء، فهذا تقرير هذه الشبهة، ونظيرها قوله تعالى في سورة الأنعام: وقالوا لولا أنزل عليه ملك ولو أنزلنا ملكا لقضي الأمر [الأنعام: 8] وفيه احتمال آخر: وهو أن النبي صلى الله عليه وسلم كان يخوفهم بنزول العذاب إن لم يؤمنوا به، فالقوم طالبوه ب
6	14	al-Anam	غاية	المقصود	HIGH	. # ولما كان السياق لتعداد النعم {الذي خلق السماوات والأرض} [الأنعام: 73] {خلقكم من طين} [الأنعام: 2] {يطعم ولا يطعم} [الأنعام: 14] {ويرسل ms1394 عليكم حفظة} [الأنعام: 61] {من ينجيكم من ظلمات البر والبحر} [الأنعام: 63] {الله ينجيكم من	7 # والجواب من وجوه: الأول: المراد به التثبيت على ما كان عليه من أنه لا يحسب الله غافلا، كقوله: ولا تكونن من المشركين [الأنعام: 14] . ولا تدع مع الله إلها آخر [القصص: 88] وكقوله: يا أيها الذين آمنوا. والثاني: / أن المقصود منه بيان أنه
6	23	al-Anam	غاية	المقصود	HIGH	ذلك أنهم لا يجدون دفاعا بغير الاعتذار وأنه غير نافعهم ms4267 لأنهم لا يعتذرون إلا بالكذب {والله ربنا ما كنا مشركين} [الأنعام: 23] أو بالقدر {ربنا غلبت علينا شقوتنا} [المؤمون: 106] {ولهم} أي خاصة {اللعنة} أي البعد عن كل خير، مع الإهانة	قيامة وعندنا أن ذلك جائز وقد قررناه في سورة الأنعام في قوله: ثم لم تكن فتنتهم إلا أن قالوا والله ربنا ما كنا مشركين [الأنعام: 23] . # أما قوله: فذوقوا العذاب بما كنتم تكسبون فهذا يحتمل أن يكون من كلام القادة وأن يكون من قول الله تعالى
