# 99-divine-name wazn (morphological pattern) + ṣīgha-mubālagha + Ghazālī ṣifa classification
# For task #57 H-NEW-30 (morphological-class signature of Khawātim al-Ḥashr exclusive-8)
# Filed by: classical-scholar
# Date: 2026-04-13
#
# SOURCES (locked, MW-6 verbatim available on request):
#   PRIMARY-WAZN: Sībawayh, al-Kitāb (ed. ʿAbd al-Salām Hārūn, al-Khānjī Cairo 1988),
#                 vol. 4 pp. 22-69 — chapter on awzān al-asmāʾ wa-l-ṣifāt al-mushtaqqa.
#                 Each canonical pattern (faʿʿāl, faʿīl, fāʿil, mufaʿʿil, mufaʿʿal, mutafaʿʿil,
#                 mufāʿil, fuʿʿūl, fuʿūl) is enumerated and exemplified. The classification here
#                 follows Sībawayh's surface-pattern attribution, NOT later post-Sībawayh re-analyses.
#   PRIMARY-MUBĀLAGHA: Sībawayh, al-Kitāb vol. 1 pp. 110-115 — *bāb mā jāʾa min al-ṣifāt yulḥaqu
#                       bi-l-ʾafʿāl li-l-mubālagha* — explicitly enumerates the canonical mubālagha forms:
#                       faʿʿāl (شرَّاب), faʿūl (شَكور), fuʿūl (غَفُور), mifʿāl (مِفْعَال), faʿīl (رَحِيم),
#                       fuʿʿāl (كُبَّار). Six-pattern canonical mubālagha set, treated as PRIMARY here.
#   SECONDARY-WAZN: Zamakhsharī, al-Mufaṣṣal fī ṣināʿat al-iʿrāb (ed. ʿAlī Bū Mulḥim, Maktabat
#                   al-Hilāl Beirut 1993), §§ 348-372 on al-ṣifa al-mushabbaha + ṣiyagh al-mubālagha.
#                   Minor extensions to Sībawayh; consulted for the Form II/V participles.
#   THEOLOGICAL: al-Ghazālī, al-Maqṣad al-asnā fī sharḥ asmāʾ Allāh al-ḥusnā (ed. Faḍlou Shehadi,
#                Dār al-Mashriq Beirut 1971), faṣl al-maqāmāt — Ghazālī's per-name commentaries
#                are mapped to a 7-category scheme (dhāt / fiʿl / tanzīh / ʿilm / qudra / iḥsān /
#                relational) that systematizes his per-name remarks. Ghazālī himself does NOT use
#                a clean 4-bucket cycle; the bucket assignment here is a post-Ghazālī Ashʿarī
#                systematization (see al-Bayhaqī, al-Asmāʾ wa-l-Ṣifāt; al-Bayjūrī, Tuḥfat al-murīd
#                ʿalā Jawharat al-tawḥīd) commonly used for divine-name partition tests. Each
#                category bucket is justifiable from Ghazālī's text but post-hoc as a label.
#
# COLUMNS:
#   1. tirmidhi_rank          — ordinal in al-Tirmidhī #3507 (matches 99-names-ground-truth.tsv row 1)
#   2. name_arabic            — rasm form (no-tashkeel)
#   3. name_transliteration   — ALA-LC
#   4. wazn                   — morphological pattern, Sībawayh-canonical surface attribution
#   5. wazn_family            — coarse grouping for stratified Fisher: Faʿʿāl / Faʿīl / Faʿūl / Fāʿil /
#                               Mufʿil / Mufaʿʿil / Mufāʿil / Mutafaʿʿil / Fuʿʿūl / Faʿl-Faʿal / Compound /
#                               Proper / Substantive
#   6. is_mubalagha           — 1 if the wazn is in Sībawayh's 6-pattern mubālagha canonical set
#                               (faʿʿāl, faʿūl, fuʿūl, mifʿāl, faʿīl, fuʿʿāl); 0 otherwise.
#                               NOTE: Faʿīl is *contested* — Sībawayh includes it, later balāgha
#                               theorists (al-Jurjānī Asrār) treat it as ambivalent. Flag = 1 here
#                               per Sībawayh primacy. A sensitivity stratum dropping Faʿīl from
#                               mubālagha should be a robustness test.
#   7. ghazali_category       — dhāt / fiʿl / tanzīh / ʿilm / qudra / iḥsān / relational
#                               One-bucket assignment per name. Multi-category names are forced to
#                               the dominant Ghazālī commentary emphasis. Sensitivity: a "secondary
#                               category" stratum is a follow-up.
#   8. is_hashr_exclusive     — 1 if the name appears in Q 59:22-24 (Khawātim al-Ḥashr) and is NOT
#                               attested elsewhere in the canonical 99 as primary cluster. Per the
#                               team-lead 2026-04-14 framing of H-NEW-30, the exclusive-8 are:
#                               Quddūs, Salām, Muʾmin, Muhaymin, Jabbār, Mutakabbir, Bāriʾ, Muṣawwir.
#                               (al-ʿAzīz and al-Ḥakīm appear in Q 59:24 but are non-exclusive — they
#                               occur >50 times each elsewhere, so they are NOT in the exclusive-8.)
#   9. confidence             — HIGH / MEDIUM / LOW for the wazn assignment
#                               HIGH    = Sībawayh-canonical surface match, no analytic ambiguity
#                               MEDIUM  = derived form (Form II/III/IV/V participle) with one
#                                         standard analysis, OR substantive/verbal-noun used adjectivally
#                               LOW     = compound, proper name, or analytically contested
#  10. notes                  — brief Sībawayh / Zamakhsharī / Ghazālī attribution notes, in English
#
# DOWNSTREAM LIMITATIONS:
#   1. n=8 exclusive vs n=91 non-exclusive is severely underpowered. Effect size must be large to
#      fire at α=0.0167. The pre-reg explicitly accepts this as the cost of testing a real classical
#      ground-truth observation.
#   2. The 7-category Ghazālī taxonomy is a post-hoc systematization. Sensitivity reruns with a
#      simpler 4-category (dhāt / fiʿl / tanzīh / iḥsān) bucket should preserve direction.
#   3. The "confidence" column is per-row; rows with LOW should be excluded from a strict-confidence
#      sensitivity stratum.
#   4. Mubālagha-flag for Faʿīl is contested. Strict mubālagha (Faʿʿāl + Faʿūl + Fuʿūl + Mifʿāl + Fuʿʿāl
#      only, dropping Faʿīl) is a pre-registered sensitivity stratum.
#   5. This TSV uses the 99-names-ground-truth.tsv row order; a row-1 join on tirmidhi_rank is sufficient.
#
tirmidhi_rank	name_arabic	name_transliteration	wazn	wazn_family	is_mubalagha	ghazali_category	is_hashr_exclusive	confidence	notes
25	المعز	al-Muʿizz	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (aʿazza → muʿizz). Ghazālī fiʿl-honoring.
26	المذل	al-Mudhill	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (adhalla → mudhill). Ghazālī fiʿl-debasing.
27	السميع	al-Samīʿ	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī ʿilm-perception.
28	البصير	al-Baṣīr	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī ʿilm-perception.
29	الحكم	al-Ḥakam	Faʿal	Substantive	0	fiʿl	0	HIGH	Substantive (Faʿal pattern, ḥakama → ḥakam). Ghazālī fiʿl-judgment.
30	العدل	al-ʿAdl	Faʿl	Substantive	0	dhāt	0	HIGH	Maṣdar used adjectivally (verbal-noun). Ghazālī dhāt-justice (essence-quality).
31	اللطيف	al-Laṭīf	Faʿīl	Faʿīl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī iḥsān-subtlety.
32	الخبير	al-Khabīr	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī ʿilm-knowing.
33	الحليم	al-Ḥalīm	Faʿīl	Faʿīl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī iḥsān-forbearance.
34	العظيم	al-ʿAẓīm	Faʿīl	Faʿīl	1	dhāt	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī dhāt-magnificence.
35	الغفور	al-Ghafūr	Faʿūl	Faʿūl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha (Faʿūl, distinct from Faʿʿāl al-Ghaffār). Ghazālī iḥsān.
36	الشكور	al-Shakūr	Faʿūl	Faʿūl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha (Faʿūl). Ghazālī iḥsān-gratitude (divine reciprocation).
37	العلي	al-ʿAlī	Faʿīl	Faʿīl	1	dhāt	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī dhāt-transcendence.
38	الكبير	al-Kabīr	Faʿīl	Faʿīl	1	dhāt	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī dhāt-greatness.
39	الحفيظ	al-Ḥafīẓ	Faʿīl	Faʿīl	1	fiʿl	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī fiʿl-preservation.
40	المقيت	al-Muqīt	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (aqāta → muqīt). Ghazālī fiʿl-sustenance.
41	الحسيب	al-Ḥasīb	Faʿīl	Faʿīl	1	fiʿl	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī fiʿl-reckoning.
42	الجليل	al-Jalīl	Faʿīl	Faʿīl	1	dhāt	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī dhāt-majesty.
43	الكريم	al-Karīm	Faʿīl	Faʿīl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī iḥsān-generosity.
44	الرقيب	al-Raqīb	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī ʿilm-watchfulness.
45	المجيب	al-Mujīb	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (ajāba → mujīb). Ghazālī fiʿl-response.
46	الواسع	al-Wāsiʿ	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-expansiveness.
47	الحكيم	al-Ḥakīm	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī ʿilm-wisdom. Appears in Q 59:24 but >90 times elsewhere — NOT exclusive-8.
48	الودود	al-Wadūd	Faʿūl	Faʿūl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha (Faʿūl). Ghazālī iḥsān-loving.
49	المجيد	al-Majīd	Faʿīl	Faʿīl	1	dhāt	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī dhāt-glory.
50	الباعث	al-Bāʿith	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-resurrection.
51	الشهيد	al-Shahīd	Faʿīl	Faʿīl	1	ʿilm	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī ʿilm-witness.
52	الحق	al-Ḥaqq	Faʿl	Substantive	0	dhāt	0	HIGH	Maṣdar used adjectivally; Faʿl substantive pattern. Ghazālī dhāt-reality.
53	الوكيل	al-Wakīl	Faʿīl	Faʿīl	1	fiʿl	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī fiʿl-trusteeship.
54	القوي	al-Qawī	Faʿīl	Faʿīl	1	qudra	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī qudra-strength.
55	المتين	al-Matīn	Faʿīl	Faʿīl	1	qudra	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī qudra-firmness.
56	الولي	al-Walī	Faʿīl	Faʿīl	1	relational	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī relational (patron-friend).
57	الحميد	al-Ḥamīd	Faʿīl	Faʿīl	1	dhāt	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī dhāt-praiseworthiness.
58	المحصي	al-Muḥṣī	Mufʿil	Mufʿil	0	ʿilm	0	HIGH	Form-IV active participle (aḥṣā → muḥṣī). Ghazālī ʿilm-enumeration.
59	المبدئ	al-Mubdiʾ	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (abdaʾa → mubdiʾ). Ghazālī fiʿl-origination.
60	المعيد	al-Muʿīd	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (aʿāda → muʿīd). Ghazālī fiʿl-restoration.
61	المحيي	al-Muḥyī	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (aḥyā → muḥyī). Ghazālī fiʿl-vivification.
62	المميت	al-Mumīt	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (amāta → mumīt). Ghazālī fiʿl-causation-of-death.
63	الحي	al-Ḥayy	Faʿl-mushabbah	Substantive	0	dhāt	0	HIGH	al-ṣifa al-mushabbaha (intransitive-quality adjective). Sībawayh K vol 4 §53. Ghazālī dhāt-essential-life.
64	القيوم	al-Qayyūm	Fayʿūl	Fuʿʿūl	0	dhāt	0	MEDIUM	Fayʿūl / Fuʿʿūl analytic dispute (cf. Zamakhsharī Mufaṣṣal §354). Sacred-intensive pattern but distinct from Quddūs. Ghazālī dhāt-self-subsistence. NOT in canonical 6-mubālagha; flag=0.
65	الواجد	al-Wājid	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-finding (lacking-nothing).
66	الماجد	al-Mājid	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-glory (variant of al-Majīd).
67	الواحد	al-Wāḥid	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-oneness.
68	الاحد	al-Aḥad	Faʿal	Substantive	0	dhāt	0	HIGH	Substantive numeral-attribute (Faʿal). Ghazālī dhāt-uniqueness (distinct nuance from al-Wāḥid).
69	الصمد	al-Ṣamad	Faʿal	Substantive	0	dhāt	0	HIGH	Substantive (Faʿal pattern). Ghazālī dhāt-self-sufficient-eternality.
70	القادر	al-Qādir	Fāʿil	Fāʿil	0	qudra	0	HIGH	Form-I active participle. Ghazālī qudra-power.
71	المقتدر	al-Muqtadir	Muftaʿil	Mufʿil	0	qudra	0	HIGH	Form-VIII active participle (iqtadara → muqtadir). Sībawayh K vol 4 §61. Form-VIII not in canonical mubālagha. Ghazālī qudra-power-intensified.
72	المقدم	al-Muqaddim	Mufaʿʿil	Mufaʿʿil	0	fiʿl	0	HIGH	Form-II active participle (qaddama → muqaddim). Ghazālī fiʿl-precedence.
73	المؤخر	al-Muʾakhkhir	Mufaʿʿil	Mufaʿʿil	0	fiʿl	0	HIGH	Form-II active participle (akhkhara → muʾakhkhir). Ghazālī fiʿl-deferral.
74	الاول	al-Awwal	Afʿal	Substantive	0	dhāt	0	HIGH	Afʿal-tafḍīl pattern (elative). Ghazālī dhāt-firstness.
75	الاخر	al-Ākhir	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-lastness (counter-pair to al-Awwal).
76	الظاهر	al-Ẓāhir	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-manifestness.
77	الباطن	al-Bāṭin	Fāʿil	Fāʿil	0	dhāt	0	HIGH	Form-I active participle. Ghazālī dhāt-hiddenness (counter-pair to al-Ẓāhir).
78	الوالي	al-Wālī	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-governance.
79	المتعالي	al-Mutaʿālī	Mutafaʿʿil	Mutafaʿʿil	0	dhāt	0	HIGH	Form-V (defective root) reflexive participle. Ghazālī dhāt-transcendence-self-elevation.
80	البر	al-Barr	Faʿl	Substantive	0	iḥsān	0	HIGH	Faʿl substantive (verbal-noun used adjectivally). Ghazālī iḥsān-righteousness.
81	التواب	al-Tawwāb	Faʿʿāl	Faʿʿāl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī iḥsān-relenting.
82	المنتقم	al-Muntaqim	Muftaʿil	Mufʿil	0	fiʿl	0	HIGH	Form-VIII active participle (intaqama → muntaqim). Ghazālī fiʿl-retribution.
83	العفو	al-ʿAfū	Faʿūl	Faʿūl	1	iḥsān	0	MEDIUM	Faʿūl pattern (ʿafā → ʿafūw). Sībawayh treats as mubālagha. Ghazālī iḥsān-pardon. (Some classify as Faʿl substantive; Faʿūl is the more common analysis.)
84	الرؤوف	al-Raʾūf	Faʿūl	Faʿūl	1	iḥsān	0	HIGH	Sībawayh K vol 1 §110 mubālagha (Faʿūl). Ghazālī iḥsān-compassion.
85	مالك الملك	Mālik al-Mulk	compound	Compound	0	qudra	0	LOW	Construct phrase (Fāʿil + ism). Ghazālī qudra-sovereignty. Excluded from morph stratum.
86	ذو الجلال والاكرام	Dhū al-Jalāl wa-l-Ikrām	compound	Compound	0	dhāt	0	LOW	Construct + conjunction phrase. Ghazālī dhāt-majesty-honor. Excluded from morph stratum.
87	المقسط	al-Muqsiṭ	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (aqsaṭa → muqsiṭ). Ghazālī fiʿl-justice.
88	الجامع	al-Jāmiʿ	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-gathering (eschatological).
89	الغني	al-Ghanī	Faʿīl	Faʿīl	1	tanzīh	0	HIGH	Sībawayh K vol 1 §110 mubālagha. Ghazālī tanzīh-self-sufficiency.
90	المغني	al-Mughnī	Mufʿil	Mufʿil	0	fiʿl	0	HIGH	Form-IV active participle (aghnā → mughnī). Ghazālī fiʿl-enrichment.
91	المانع	al-Māniʿ	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle. Ghazālī fiʿl-prevention.
92	الضار	al-Ḍārr	Fāʿil	Fāʿil	0	fiʿl	0	HIGH	Form-I active participle (geminate root). Ghazālī fiʿl-harm.
