surah,verse,meccan_medinan,length_letters,length_words,rhyme_letter,position_class,tags_count,tags_list,characterization
2,4,medinan,52,12,ن,early,14,chiastic;chrono-critical;iltifat;jinas;medinan;medium;numerical-coincidence;numerical-sequence;palindrome;pos-early;rahman-finding;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,5,medinan,33,8,ن,early,17,chrono-critical;convergence;cross-textual;form-content-outlier;hapax-topic;info-theory;medinan;mutashabih-lafzi;numerical-coincidence;oath-topic;paired-opposite;pos-early;rhyme-conforming;rhyme-ن;short;surah-2;verse-length-outlier,Declares or asserts
2,6,medinan,47,11,ن,early,17,chiastic;cross-textual;iltifat;jinas;medinan;paired-opposite;palindrome;phonaesthetic;pos-early;rhetorical-Q-topic;rhyme-conforming;rhyme-ن;ring-center;saj-rhyme;scholar-commentary;short;surah-2,Affirms with emphatic particle
2,7,medinan,53,12,م,early,15,chrono-critical;divine-names;divine-names(1);medinan;medium;mentions-Allah;numerical-coincidence;phonaesthetic;pos-early;qalb-theology;rhyme-deviation;rhyme-م;saj-rhyme;surah-2;surah-boundary,Warns of punishment
2,8,medinan,47,11,ن,early,24,cross-textual;divine-names;divine-names(2);divine-names-topic;iltifat;info-theory;jinas;medinan;mentions-Allah;moses-finding;paired-opposite;pos-early;prophet-micro-ring;prophet-pericope;quotation;quotation-topic;rhyme-conforming;rhyme-ن;scientific-foreknowledge;sensory;short;surah-2;surah-boundary;yawm,Declares or asserts
2,9,medinan,49,10,ن,early,18,chrono-critical;divine-names;divine-names(1);divine-names-topic;ilm-al-harf;iltifat;innama-topic;jinas;medinan;mentions-Allah;numerical-coincidence;pos-early;quotation-topic;rhyme-conforming;rhyme-ن;saj-rhyme;short;surah-2,Declares or asserts
2,10,medinan,51,12,ن,early,14,divine-names;divine-names(1);jinas;medinan;medium;mentions-Allah;numerical-coincidence;paradise-hell;phonaesthetic;pos-early;qalb-theology;rhyme-conforming;rhyme-ن;surah-2,Warns of punishment
2,11,medinan,43,11,ن,early,16,contains-innama;hapax-topic;iltifat;iltifat-topic;innama;innama-topic;jinas;medinan;palindrome;pos-early;prohibitive;quotation;rhyme-conforming;rhyme-ن;short;surah-2,Narrates a past dialogue
2,12,medinan,29,7,ن,early,8,hadid-finding;medinan;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,13,medinan,77,19,ن,early,18,contains-question;cross-textual;form-content-outlier;ilm-al-harf;iltifat;imperative;intra-xref;jinas;medinan;medium;numerical-coincidence;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,14,medinan,73,16,ن,early,16,angel;balagha;contains-innama;iblis;iltifat;innama;innama-topic;jinas;medinan;medium;phonaesthetic;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,15,medinan,34,7,ن,early,11,divine-names;divine-names(1);medinan;mentions-Allah;numerical-coincidence;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,16,medinan,57,11,ن,early,12,balagha;divine-names-topic;hapax;iltifat-topic;jinas;medinan;medium;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,17,medinan,72,17,ن,early,19,cross-textual;divine-names;divine-names(1);fire-light;hapax;jinas;medinan;medium;mentions-Allah;metal-mineral;numerical-coincidence;parable;parable-topic;paradise-hell;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,18,medinan,19,6,ن,early,9,medinan;numerical-coincidence;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;sensory;surah-2;ultra-short,Declares or asserts
2,19,medinan,86,19,ن,early,16,body-part;contains-wa-allah;divine-names;divine-names(1);hapax;jinas;medinan;medium;mentions-Allah;numerical-coincidence;parable;parable-topic;pos-early;rhyme-conforming;rhyme-ن;surah-2,Describes a sign in nature
2,20,medinan,102,25,ر,early,14,divine-names;divine-names(1);hapax;jinas;medinan;medium;mentions-Allah;palindrome;parable;phonaesthetic;pos-early;rhyme-deviation;rhyme-ر;surah-2,Declares or asserts
2,21,medinan,53,12,ن,early,18,contains-vocative-ar;contains-vocative-en;ethical-universalism;gematria;iltifat;imperative;imperative-topic;medinan;medium;numerical-coincidence;pos-early;prophet-pericope;rhetorical-Q-topic;rhyme-conforming;rhyme-ن;surah-2;vocative;vocative-topic,Addresses the audience by vocative
2,22,medinan,99,23,ن,early,15,divine-names;divine-names(1);hadid-finding;iltifat;jinas;medinan;medium;numerical-coincidence;palindrome;pos-early;prohibitive;rhyme-conforming;rhyme-ن;scientific-foreknowledge;surah-2,Describes a sign in nature
2,23,medinan,78,20,ن,early,21,divine-names;divine-names(1);iltifat;iltifat-topic;imperative;imperative-topic;jinas;medinan;medium;mentions-Allah;muqattaat;numerical-coincidence;parable;phonaesthetic;pos-early;prime-mod;rhyme-conforming;rhyme-ن;scientific-foreknowledge;self-reference;surah-2,Declares or asserts
2,24,medinan,66,13,ن,early,13,convergence;fire-light;graph-theory;iltifat;imperative;jinas;medinan;medium;pos-early;rhyme-conforming;rhyme-ن;saj-rhyme;surah-2,Issues a negative command
2,25,medinan,145,34,ن,early,11,hapax;iltifat;imperative;jinas;long;medinan;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-2,Issues an imperative command
2,26,medinan,155,39,ن,early,21,animal;contains-question;divine-names;divine-names(2);divine-names-topic;hapax;jinas;long;medinan;mentions-Allah;parable;parable-topic;pos-early;quotation;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-break;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,27,medinan,82,20,ن,early,16,chiastic;covenant;divine-names;divine-names(1);graph-theory;jinas;kinship;medinan;medium;mentions-Allah;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;ring-center;surah-2,Declares or asserts
2,28,medinan,60,13,ن,early,18,divine-names;divine-names(1);iltifat;jinas;kahf-finding;medinan;medium;mentions-Allah;moses-finding;phonaesthetic;pos-early;prophet-micro-ring;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,29,medinan,70,19,م,early,15,cosmology-audit;iltifat;jinas;medinan;medium;muqattaat-gradient;numerical-coincidence;palindrome;phonaesthetic;pos-early;prime-mod;rhyme-deviation;rhyme-م;surah-2;word-pair,Declares or asserts
2,30,medinan,111,28,ن,early,22,angel;body-part;contains-question;covenant;hapax;iblis;ilm-al-harf;iltifat;jinas;medinan;medium;numerical-coincidence;phonaesthetic;pos-early;prophet-micro-ring;quotation;quotation-topic;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,31,medinan,70,15,ن,early,13,iltifat;imperative;jinas;medinan;medium;muqattaat;numerical-coincidence;phonaesthetic;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,32,medinan,48,12,م,early,15,divine-name-pair-ending;divine-names;divine-names(2);divine-names-topic;ends-divine-pair;iltifat;jinas;medinan;numerical-coincidence;pos-early;quotation;rhyme-deviation;rhyme-م;short;surah-2,Narrates reported speech
2,33,medinan,101,23,ن,early,20,chiastic;contains-question;contains-vocative-en;iltifat;imperative;jinas;medinan;medium;numerical-coincidence;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;ring-center;surah-2;vocative;vocative-topic;word-pair,Poses a rhetorical question
2,34,medinan,63,13,ن,early,15,angel;iblis;iltifat;imperative;jinas;jinn;medinan;medium;pos-early;prophet-micro-ring;quotation;quotation-topic;rhyme-conforming;rhyme-ن;surah-2,Narrates reported speech
2,35,medinan,80,19,ن,early,23,contains-vocative-en;dual-form;dual-form-topic;iltifat;imperative;kinship;medinan;medium;mutashabih-lafzi;mutashabih-topic;negation;numerical-coincidence;palindrome;phonaesthetic;plant;pos-early;prohibitive;quotation;quotation-topic;rhyme-conforming;rhyme-ن;surah-2;vocative,Narrates reported speech
2,36,medinan,86,19,ن,early,18,angel;dual-form;hapax;iblis;iltifat;imperative;jinas;medinan;medium;numerical-coincidence;pos-early;prophet-micro-ring;quotation;quotation-topic;rhyme-conforming;rhyme-ن;surah-2;time-vocab,Declares or asserts
2,37,medinan,43,11,م,early,13,divine-name-pair-ending;divine-names;divine-names(2);divine-names-topic;ends-divine-pair;jinas;medinan;muqattaat-gradient;pos-early;rhyme-deviation;rhyme-م;short;surah-2,Declares or asserts
2,38,medinan,68,17,ن,early,13,emotion;iltifat;imperative;jinas;medinan;medium;phonaesthetic;pos-early;quotation;quotation-topic;rhyme-conforming;rhyme-ن;surah-2,Narrates reported speech
2,39,medinan,51,10,ن,early,11,graph-theory;iltifat;medinan;medium;mutashabih-lafzi;mutashabih-topic;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,40,medinan,69,14,ن,early,23,chiastic;contains-vocative-ar;contains-vocative-en;convergence;covenant;ilm-al-harf;iltifat;imperative;jesus-engagement;jinas;medinan;medium;numerical-coincidence;pos-early;prophet-micro-ring;prophet-pericope;rhetorical-Q-topic;rhyme-conforming;rhyme-ن;ring-center;surah-2;vocative;vocative-topic,Addresses the audience by vocative
2,41,medinan,79,18,ن,early,11,iltifat;imperative;jinas;medinan;medium;pos-early;prohibitive;quotation-topic;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,42,medinan,42,8,ن,early,12,balagha;chiastic;jinas;medinan;muqattaat-gradient;pos-early;prohibitive;rhyme-conforming;rhyme-ن;ring-center;short;surah-2,Issues a negative command
2,43,medinan,41,7,ن,early,14,form-content-outlier;imperative;imperative-topic;jinas;medinan;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;salah;short;surah-2;verse-length-outlier;zakat,Issues an imperative command
2,44,medinan,55,10,ن,early,14,contains-question;jinas;medinan;medium;muqattaat;nafs-theology;numerical-coincidence;pos-early;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,45,medinan,47,8,ن,early,10,emotion;iltifat;imperative;jinas;medinan;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,46,medinan,38,8,ن,early,8,iltifat;medinan;pos-early;razi-99names;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,47,medinan,58,12,ن,early,15,contains-vocative-ar;contains-vocative-en;iltifat;imperative;jinas;medinan;medium;numerical-coincidence;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;surah-2;vocative;vocative-topic,Addresses the audience by vocative
2,48,medinan,69,19,ن,early,11,iltifat;imperative;jinas;medinan;medium;nafs-theology;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;surah-2,Issues a negative command
2,49,medinan,84,18,م,early,11,iltifat;jinas;medinan;medium;mutashabih-lafzi;mutashabih-topic;pos-early;rhyme-deviation;rhyme-م;sacrifice-vow;surah-2,Warns of punishment
2,50,medinan,50,10,ن,early,9,iltifat;jinas;medinan;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Narrates prophetic history
2,51,medinan,53,12,ن,early,14,covenant;famous-number;ilm-al-harf;iltifat;jinas;medinan;medium;moses-finding;numerical-coincidence;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;surah-2,Narrates prophetic history
2,52,medinan,30,8,ن,early,9,hapax-topic;iltifat;medinan;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,53,medinan,37,7,ن,early,12,iltifat;loan-word;medinan;numerical-coincidence;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;scripture-ref;self-reference;short;surah-2,Narrates prophetic history
2,54,medinan,121,27,م,early,20,contains-vocative-en;divine-name-pair-ending;divine-names;divine-names(2);ends-divine-pair;hapax;iltifat;imperative;jinas;long;medinan;nafs-theology;pos-early;quotation;razi-99names;rhyme-deviation;rhyme-م;surah-2;vocative;weapon,Narrates reported speech
2,55,medinan,60,15,ن,early,15,contains-vocative-en;divine-names;divine-names(1);hapax-topic;ilm-al-harf;iltifat;medinan;medium;mentions-Allah;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-2;vocative,Narrates reported speech
2,56,medinan,30,7,ن,early,11,graph-theory;iltifat;jinas;medinan;numerical-coincidence;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,57,medinan,90,18,ن,early,11,iltifat;imperative;jinas;medinan;medium;plant;pos-early;rhyme-conforming;rhyme-ن;surah-2;verse-length-outlier,Declares or asserts
2,58,medinan,95,20,ن,early,13,balagha;iltifat;imperative;jinas;medinan;medium;mutashabih-lafzi;mutashabih-topic;pos-early;quotation;rhyme-conforming;rhyme-ن;surah-2,Narrates reported speech
2,59,medinan,77,18,ن,early,13,iltifat;jinas;medinan;medium;mutashabih-lafzi;mutashabih-topic;numerical-coincidence;pos-early;quotation;rhyme-conforming;rhyme-ن;saj-rhyme;surah-2,Warns of punishment
2,60,medinan,118,28,ن,early,19,divine-names;divine-names(1);dual-form;famous-number;hapax;iltifat;imperative;jinas;medinan;medium;mentions-Allah;numerical-coincidence;pos-early;prohibitive;quotation;rhyme-conforming;rhyme-ن;surah-2;water,Narrates prophetic history
2,61,medinan,257,60,ن,early,24,contains-question;contains-vocative-en;divine-names;divine-names(2);emotion;hapax;iltifat;imperative;jinas;loan-word;long;medinan;mentions-Allah;numerical-coincidence;plant;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;sacred-geo;surah-2;vocative,Poses a rhetorical question
2,62,medinan,108,24,ن,early,14,divine-names;divine-names(2);emotion;jinas;medinan;medium;mentions-Allah;mutashabih-lafzi;phonaesthetic;pos-early;rhyme-conforming;rhyme-ن;surah-2;yawm,Affirms with emphatic particle
2,63,medinan,70,15,ن,early,14,covenant;graph-theory;iltifat;imperative;jinas;loan-word;medinan;medium;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;sacred-geo;surah-2,Narrates prophetic history
2,64,medinan,54,13,ن,early,10,divine-names;divine-names(1);iltifat;medinan;medium;mentions-Allah;pos-early;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,65,medinan,54,12,ن,early,13,balagha;covenant;iltifat;imperative;medinan;medium;numerical-coincidence;pos-early;prophet-micro-ring;quotation;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,66,medinan,45,9,ن,early,11,body-part;dual-form;dual-form-topic;iltifat;medinan;numerical-coincidence;pos-early;rhyme-conforming;rhyme-ن;short;surah-2,Warns of punishment
2,67,medinan,83,20,ن,early,23,animal;color;contains-question;divine-names;divine-names(1);ikhlas-muawwidhat-finding;iltifat;jinas;medinan;medium;mentions-Allah;moses-finding;pos-early;quotation;quotation-topic;rhetorical-Q;rhetorical-Q-topic;rhetorical-question;rhyme-break;rhyme-conforming;rhyme-ن;sacrifice-vow;surah-2,Poses a rhetorical question
2,68,medinan,80,23,ن,early,15,graph-theory;hapax;iltifat;imperative;jinas;medinan;medium;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;sacrifice-vow;surah-2,Narrates reported speech
2,69,medinan,71,18,ن,early,17,color;graph-theory;hapax;iltifat;imperative;jinas;medinan;medium;phonaesthetic;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-break;rhyme-conforming;rhyme-ن;surah-2,Narrates reported speech
2,70,medinan,62,17,ن,early,15,divine-names;divine-names(1);iltifat;imperative;medinan;medium;mentions-Allah;numerical-coincidence;pos-early;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Narrates reported speech
2,71,medinan,97,24,ن,early,13,hapax;ilm-al-harf;iltifat;jinas;medinan;medium;pos-early;prime-mod;quotation;rhyme-conforming;rhyme-ن;sacrifice-vow;surah-2,Narrates reported speech
2,72,medinan,45,10,ن,middle,14,contains-wa-allah;divine-names;divine-names(1);hapax;iltifat;medinan;mentions-Allah;numerical-coincidence;pos-middle;rhyme-conforming;rhyme-ن;short;surah-2;weapon,Declares or asserts
2,73,medinan,57,11,ن,middle,14,divine-names;divine-names(1);iltifat;imperative;jinas;medinan;medium;mentions-Allah;phonaesthetic;pos-middle;quotation;rhyme-conforming;rhyme-ن;surah-2,Narrates reported speech
2,74,medinan,141,37,ن,middle,19,divine-names;divine-names(1);emotion;hapax;iltifat;jinas;long;medinan;mentions-Allah;muqattaat;parable;parable-topic;phonaesthetic;pos-middle;qalb-theology;rhyme-conforming;rhyme-ن;scholar-commentary;surah-2,Declares or asserts
2,75,medinan,77,19,ن,middle,19,contains-question;cross-textual;divine-names;divine-names(1);graph-theory;iltifat;jesus-engagement;jinas;medinan;medium;mentions-Allah;numerical-coincidence;pos-middle;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;scripture-ref;surah-2,Poses a rhetorical question
2,76,medinan,101,23,ن,middle,19,asbab-nuzul;contains-question;divine-names;divine-names(1);hajj;highlight;iltifat;jinas;medinan;medium;mentions-Allah;phonaesthetic;pos-middle;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,77,medinan,36,9,ن,middle,17,contains-question;divine-names;divine-names(1);divine-names-topic;jinas;medinan;mentions-Allah;muqattaat;numerical-coincidence;phonaesthetic;pos-middle;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;short;surah-2,Poses a rhetorical question
2,78,medinan,45,11,ن,middle,9,asbab-nuzul;cross-textual;medinan;phonaesthetic;pos-middle;rhyme-conforming;rhyme-ن;short;surah-2,Issues a negative command
2,79,medinan,102,24,ن,middle,13,asbab-nuzul;divine-names;divine-names(1);jinas;medinan;medium;mentions-Allah;pos-middle;prophet-micro-ring;quotation;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,80,medinan,91,23,ن,middle,18,contains-question;covenant;divine-names;divine-names(1);iltifat;imperative;jinas;medinan;medium;mentions-Allah;pos-middle;qul-say-opener;quotation;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,81,medinan,54,13,ن,middle,7,iltifat;medinan;medium;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,82,medinan,52,10,ن,middle,9,form-content-outlier;ilm-al-harf;medinan;medium;numerical-coincidence;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Promises reward to the believers
2,83,medinan,150,29,ن,middle,19,covenant;divine-names;divine-names(1);dual-form;dual-form-topic;iltifat;imperative;imperative-topic;jinas;long;medinan;mentions-Allah;pos-middle;quotation;rhyme-conforming;rhyme-ن;salah;surah-2;zakat,Narrates prophetic history
2,84,medinan,71,15,ن,middle,13,body-part;chiastic;covenant;cross-textual;ilm-al-harf;iltifat;medinan;medium;pos-middle;prophet-micro-ring;rhyme-conforming;rhyme-ن;surah-2,Issues a negative command
2,85,medinan,231,49,ن,middle,17,contains-question;covenant;divine-names;divine-names(1);hapax;iltifat;jinas;long;medinan;mentions-Allah;phonaesthetic;pos-middle;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2,Poses a rhetorical question
2,86,medinan,63,13,ن,middle,7,iltifat;medinan;medium;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Warns of punishment
2,87,medinan,138,28,ن,middle,16,angel;contains-question;divine-names-topic;iltifat;jinas;long;medinan;nafs-theology;numerical-coincidence;pos-middle;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;surah-2;weapon,Poses a rhetorical question
2,88,medinan,46,10,ن,middle,13,divine-names;divine-names(1);iltifat;iltifat-topic;medinan;mentions-Allah;numerical-coincidence;pos-middle;quotation;rhyme-conforming;rhyme-ن;short;surah-2,Narrates reported speech
2,89,medinan,108,26,ن,middle,10,divine-names;divine-names(1);jinas;medinan;medium;mentions-Allah;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Declares or asserts
2,90,medinan,107,27,ن,middle,12,divine-names;divine-names(1);emotion;jinas;medinan;medium;mentions-Allah;numerical-sequence;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Warns of punishment
2,91,medinan,119,30,ن,middle,21,contains-question;divine-names;divine-names(2);iltifat;imperative;jinas;medinan;medium;mentions-Allah;numerical-coincidence;pos-middle;qul-say-opener;quotation;rhetorical-Q;rhetorical-question;rhyme-break;rhyme-conforming;rhyme-ن;self-reference;surah-2;weapon,Poses a rhetorical question
2,92,medinan,51,11,ن,middle,10,form-content-outlier;iltifat;medinan;medium;numerical-coincidence;phonaesthetic;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Narrates prophetic history
2,93,medinan,131,27,ن,middle,17,covenant;hapax;iltifat;imperative;jinas;loan-word;long;medinan;muqattaat;numerical-coincidence;pos-middle;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;sacred-geo;surah-2,Declares or asserts
2,94,medinan,67,17,ن,middle,16,divine-names;divine-names(1);iltifat;imperative;jinas;medinan;medium;mentions-Allah;paradise-hell;pos-middle;qul-imperative;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;surah-2,Commands the Prophet to declare
2,95,medinan,44,9,ن,middle,13,contains-wa-allah;divine-names;divine-names(1);iltifat;medinan;mentions-Allah;mutashabih-lafzi;numerical-coincidence;pos-middle;rhyme-conforming;rhyme-ن;short;surah-2,Describes the divine self
2,96,medinan,102,25,ن,middle,16,contains-wa-allah;divine-names;divine-names(1);famous-number;hapax;iltifat;jinas;medinan;medium;mentions-Allah;numerical-coincidence;pos-middle;prime-mod;rhyme-conforming;rhyme-ن;surah-2,Warns of punishment
2,97,medinan,72,18,ن,middle,19,angel;body-part;divine-names;divine-names(1);dual-form;dual-form-topic;iltifat;imperative;medinan;medium;mentions-Allah;numerical-coincidence;pos-middle;qul-imperative;qul-say-opener;quotation;rhyme-conforming;rhyme-ن;surah-2,Commands the Prophet to declare
2,98,medinan,55,12,ن,middle,14,angel;divine-names;divine-names(1);hapax;jinas;medinan;medium;mentions-Allah;muqattaat;phonaesthetic;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Describes the divine self
2,99,medinan,44,10,ن,middle,8,iltifat;medinan;numerical-coincidence;pos-middle;rhyme-conforming;rhyme-ن;short;surah-2,Declares or asserts
2,100,medinan,44,10,ن,middle,12,contains-question;covenant;iltifat;jinas;medinan;pos-middle;rhetorical-Q;rhetorical-question;rhyme-conforming;rhyme-ن;short;surah-2,Poses a rhetorical question
2,101,medinan,89,22,ن,middle,11,body-part;divine-names;divine-names(1);jinas;medinan;medium;mentions-Allah;pos-middle;rhyme-conforming;rhyme-ن;surah-2,Narrates prophetic history
2,102,medinan,308,74,ن,middle,22,angel;contains-innama;divine-names;divine-names(1);dual-form;dual-form-topic;famous-number;hapax;iblis;iltifat;innama;jinas;medinan;mentions-Allah;numerical-coincidence;pos-middle;quotation;rhyme-conforming;rhyme-ن;sacred-geo;surah-2;very-long,Narrates prophetic history
2,103,medinan,49,12,ن,middle,9,divine-names;divine-names(1);medinan;mentions-Allah;pos-middle;rhyme-conforming;rhyme-ن;short;surah-2,Promises reward to the believers
2,104,medinan,65,13,م,middle,16,contains-vocative-ar;contains-vocative-en;iltifat;imperative;jinas;medinan;medium;naskh;pos-middle;prohibitive;quotation;rhyme-deviation;rhyme-م;surah-2;vocative;vocative-topic,Addresses the audience by vocative
