surah,verse,translation_preview
11,106,"As for those who were [destined to be] wretched, they will be in the Fire. For them therein is [violent] exhaling and inhaling."
11,107,"[They will be] abiding therein as long as the heavens and the earth endure, except what your Lord should will. Indeed, your Lord is an effecter of what He inten"
11,111,"And indeed, each [of the believers and disbelievers] - your Lord will fully compensate them for their deeds. Indeed, He is Acquainted with what they do."
11,118,"And if your Lord had willed, He could have made mankind one community; but they will not cease to differ."
12,16,"And they came to their father at night, weeping."
12,105,"And how many a sign within the heavens and earth do they pass over while they, therefrom, are turning away."
14,15,"And they requested victory from Allah, and disappointed, [therefore], was every obstinate tyrant."
15,10,"And We had certainly sent [messengers] before you, [O Muhammad], among the sects of the former peoples."
15,50,And that it is My punishment which is the painful punishment.
15,59,"Except the family of Lot; indeed, we will save them all"
15,60,"Except his wife."" Allah decreed that she is of those who remain behind."
15,76,"And indeed, those cities are [situated] on an established road."
15,82,"And they used to carve from the mountains, houses, feeling secure."
16,39,[It is] so He will make clear to them [the truth of] that wherein they differ and so those who have disbelieved may know that they were liars.
16,85,"And when those who wronged see the punishment, it will not be lightened for them, nor will they be reprieved."
16,110,"Then, indeed your Lord, to those who emigrated after they had been compelled [to renounce their religion] and thereafter fought [for the cause of Allah] and wer"
16,113,"And there had certainly come to them a Messenger from among themselves, but they denied him; so punishment overtook them while they were wrongdoers."
16,117,"[It is but] a brief enjoyment, and they will have a painful punishment."
16,119,"Then, indeed your Lord, to those who have done wrong out of ignorance and then repent after that and correct themselves - indeed, your Lord, thereafter, is Forg"
16,121,[He was] grateful for His favors. Allah chose him and guided him to a straight path.
18,106,That is their recompense - Hell - for what they denied and [because] they took My signs and My messengers in ridicule.
19,60,"Except those who repent, believe and do righteousness; for those will enter Paradise and will not be wronged at all."
19,62,"They will not hear therein any ill speech - only [greetings of] peace - and they will have their provision therein, morning and afternoon."
19,86,And will drive the criminals to Hell in thirst
19,94,He has enumerated them and counted them a [full] counting.
19,95,And all of them are coming to Him on the Day of Resurrection alone.
20,34,And remember You much.
20,60,"So Pharaoh went away, put together his plan, and then came [to Moses]."
20,62,So they disputed over their affair among themselves and concealed their private conversation.
20,79,And Pharaoh led his people astray and did not guide [them].
20,101,"[Abiding] eternally therein, and evil it is for them on the Day of Resurrection as a load -"
20,122,Then his Lord chose him and turned to him in forgiveness and guided [him].
20,129,"And if not for a word that preceded from your Lord, punishment would have been an obligation [due immediately], and [if not for] a specified term [decreed]."
21,2,No mention comes to them anew from their Lord except that they listen to it while they are at play
21,27,"They cannot precede Him in word, and they act by His command."
21,100,"For them therein is heavy sighing, and they therein will not hear."
22,4,It has been decreed for every devil that whoever turns to him - he will misguide him and will lead him to the punishment of the Blaze.
22,42,"And if they deny you, [O Muhammad] - so, before them, did the people of Noah and 'Aad and Thamud deny [their prophets],"
22,43,And the people of Abraham and the people of Lot
22,51,"But the ones who strove against Our verses, [seeking] to cause failure - those are the companions of Hellfire."
22,57,And they who disbelieved and denied Our signs - for those there will be a humiliating punishment.
22,66,"And He is the one who gave you life; then He causes you to die and then will [again] give you life. Indeed, mankind is ungrateful."
23,2,They who are during their prayer humbly submissive
23,16,"Then indeed you, on the Day of Resurrection, will be resurrected."
23,22,And upon them and on ships you are carried.
23,31,Then We produced after them a generation of others.
23,36,"How far, how far, is that which you are promised."
23,58,And they who believe in the signs of their Lord
23,59,And they who do not associate anything with their Lord
23,61,"It is those who hasten to good deeds, and they outstrip [others] therein."
23,63,"But their hearts are covered with confusion over this, and they have [evil] deeds besides disbelief which they are doing,"
23,69,"Or did they not know their Messenger, so they are toward him disacknowledging?"
23,73,"And indeed, you invite them to a straight path."
23,92,"[He is] Knower of the unseen and the witnessed, so high is He above what they associate [with Him]."
25,3,"But they have taken besides Him gods which create nothing, while they are created, and possess not for themselves any harm or benefit and possess not [power to "
25,16,"For them therein is whatever they wish, [while] abiding eternally. It is ever upon your Lord a promise [worthy to be] requested."
25,66,"Indeed, it is evil as a settlement and residence."""
25,72,"And [they are] those who do not testify to falsehood, and when they pass near ill speech, they pass by with dignity."
25,73,"And those who, when reminded of the verses of their Lord, do not fall upon them deaf and blind."
25,76,Abiding eternally therein. Good is the settlement and residence.
26,38,So the magicians were assembled for the appointment of a well-known day.
26,45,"Then Moses threw his staff, and at once it devoured what they falsified."
26,57,So We removed them from gardens and springs
26,73,"Or do they benefit you, or do they harm?"""
26,77,"Indeed, they are enemies to me, except the Lord of the worlds,"
26,79,And it is He who feeds me and gives me drink.
26,87,And do not disgrace me on the Day they are [all] resurrected -
26,88,The Day when there will not benefit [anyone] wealth or children
26,90,And Paradise will be brought near [that Day] to the righteous.
26,91,"And Hellfire will be brought forth for the deviators,"
26,98,When we equated you with the Lord of the worlds.
26,101,And not a devoted friend.
26,115,"I am only a clear warner."""
26,120,Then We drowned thereafter the remaining ones.
26,130,"And when you strike, you strike as tyrants."
26,138,"And we are not to be punished."""
26,158,"And the punishment seized them. Indeed in that is a sign, but most of them were not to be believers."
26,178,"Indeed, I am to you a trustworthy messenger."
26,190,"Indeed in that is a sign, but most of them were not to be believers."
26,196,"And indeed, it is [mentioned] in the scriptures of former peoples."
26,202,And it will come to them suddenly while they perceive [it] not.
26,209,As a reminder; and never have We been unjust.
26,211,"It is not allowable for them, nor would they be able."
26,219,And your movement among those who prostrate.
26,223,"They pass on what is heard, and most of them are liars."
26,224,And the poets - [only] the deviators follow them;
27,2,As guidance and good tidings for the believers
27,5,"Those are the ones for whom there will be the worst of punishment, and in the Hereafter they are the greatest losers."
27,11,"Otherwise, he who wrongs, then substitutes good after evil - indeed, I am Forgiving and Merciful."
27,52,"So those are their houses, desolate because of the wrong they had done. Indeed in that is a sign for people who know."
27,66,"Rather, their knowledge is arrested concerning the Hereafter. Rather, they are in doubt about it. Rather, they are, concerning it, blind."
27,89,"Whoever comes [at Judgement] with a good deed will have better than it, and they, from the terror of that Day, will be safe."
28,66,"But the information will be unapparent to them that Day, so they will not [be able to] ask one another."
28,67,"But as for one who had repented, believed, and done righteousness, it is promised by Allah that he will be among the successful."
28,84,Whoever comes [on the Day of Judgement] with a good deed will have better than it; and whoever comes with an evil deed - then those who did evil deeds will not 
29,34,"Indeed, we will bring down on the people of this city punishment from the sky because they have been defiantly disobedient."""
29,53,"And they urge you to hasten the punishment. And if not for [the decree of] a specified term, punishment would have reached them. But it will surely come to them"
29,54,"They urge you to hasten the punishment. And indeed, Hell will be encompassing of the disbelievers"
30,7,"They know what is apparent of the worldly life, but they, of the Hereafter, are unaware."
30,14,And the Day the Hour appears - that Day they will become separated.
30,16,"But as for those who disbelieved and denied Our verses and the meeting of the Hereafter, those will be brought into the punishment [to remain]."
30,24,"And of His signs is [that] He shows you the lightning [causing] fear and aspiration, and He sends down rain from the sky by which He brings to life the earth af"
30,26,And to Him belongs whoever is in the heavens and earth. All are to Him devoutly obedient.
32,17,And no soul knows what has been hidden for them of comfort for eyes as reward for what they used to do.
32,25,"Indeed, your Lord will judge between them on the Day of Resurrection concerning that over which they used to differ."
33,11,There the believers were tested and shaken with a severe shaking.
33,14,"And if they had been entered upon from all its [surrounding] regions and fitnah had been demanded of them, they would have done it and not hesitated over it exc"
33,44,"Their greeting the Day they meet Him will be, ""Peace."" And He has prepared for them a noble reward."
33,58,And those who harm believing men and believing women for [something] other than what they have earned have certainly born upon themselves a slander and manifest
33,65,"Abiding therein forever, they will not find a protector or a helper."
34,5,But those who strive against Our verses [seeking] to cause failure - for them will be a painful punishment of foul nature.
34,38,And the ones who strive against Our verses to cause [them] failure - those will be brought into the punishment [to remain].
34,53,And they had already disbelieved in it before and would assault the unseen from a place far away.
34,54,"And prevention will be placed between them and what they desire, as was done with their kind before. Indeed, they were in disquieting denial."
35,30,"That He may give them in full their rewards and increase for them of His bounty. Indeed, He is Forgiving and Appreciative."
36,4,On a straight path.
36,7,"Already the word has come into effect upon most of them, so they do not believe."
36,53,"It will not be but one blast, and at once they are all brought present before Us."
36,57,"For them therein is fruit, and for them is whatever they request [or wish]"
36,58,"[And] ""Peace,"" a word from a Merciful Lord."
36,70,To warn whoever is alive and justify the word against the disbelievers.
37,37,"Rather, the Prophet has come with the truth and confirmed the [previous] messengers."
37,39,And you will not be recompensed except for what you used to do -
37,41,Those will have a provision determined -
37,42,Fruits; and they will be honored
37,44,On thrones facing one another.
37,45,"There will be circulated among them a cup [of wine] from a flowing spring,"
37,55,And he will look and see him in the midst of the Hellfire.
37,59,"Except for our first death, and we will not be punished?"""
37,60,"Indeed, this is the great attainment."
37,68,"Then indeed, their return will be to the Hellfire."
37,69,Indeed they found their fathers astray.
37,70,So they hastened [to follow] in their footsteps.
37,71,"And there had already strayed before them most of the former peoples,"
37,75,"And Noah had certainly called Us, and [We are] the best of responders."
37,78,And left for him [favorable mention] among later generations:
37,81,"Indeed, he was of Our believing servants."
37,84,When he came to his Lord with a sound heart
37,90,"So they turned away from him, departing."
37,108,And We left for him [favorable mention] among later generations:
37,111,"Indeed, he was of Our believing servants."
37,112,"And We gave him good tidings of Isaac, a prophet from among the righteous."
37,114,And We did certainly confer favor upon Moses and Aaron.
37,123,"And indeed, Elias was from among the messengers,"
37,132,"Indeed, he was of Our believing servants."
37,156,Or do you have a clear authority?
37,164,"[The angels say], ""There is not among us any except that he has a known position."
37,166,"And indeed, we are those who exalt Allah."""
37,180,"Exalted is your Lord, the Lord of might, above what they describe."
37,181,And peace upon the messengers.
38,2,But those who disbelieve are in pride and dissension.
38,12,"The people of Noah denied before them, and [the tribe of] 'Aad and Pharaoh, the owner of stakes,"
38,14,"Each of them denied the messengers, so My penalty was justified."
38,38,And others bound together in shackles.
38,51,"Reclining within them, they will call therein for abundant fruit and drink."
38,55,"This [is so]. But indeed, for the transgressors is an evil place of return -"
38,56,"Hell, which they will [enter to] burn, and wretched is the resting place."
39,12,"And I have been commanded to be the first [among you] of the Muslims."""
39,31,"Then indeed you, on the Day of Resurrection, before your Lord, will dispute."
39,33,And the one who has brought the truth and [they who] believed in it - those are the righteous.
39,34,They will have whatever they desire with their Lord. That is the reward of the doers of good -
39,70,And every soul will be fully compensated [for] what it did; and He is most knowing of what they do.
40,6,And thus has the word of your Lord come into effect upon those who disbelieved that they are companions of the Fire.
40,59,"Indeed, the Hour is coming - no doubt about it - but most of the people do not believe."
40,80,And for you therein are [other] benefits and that you may realize upon them a need which is in your breasts; and upon them and upon ships you are carried.
40,83,"And when their messengers came to them with clear proofs, they [merely] rejoiced in what they had of knowledge, but they were enveloped by what they used to rid"
41,4,"As a giver of good tidings and a warner; but most of them turn away, so they do not hear."
41,35,"But none is granted it except those who are patient, and none is granted it except one having a great portion [of good]."
41,46,Whoever does righteousness - it is for his [own] soul; and whoever does evil [does so] against it. And your Lord is not ever unjust to [His] servants.
41,48,"And lost from them will be those they were invoking before, and they will be certain that they have no place of escape."
41,54,"Unquestionably, they are in doubt about the meeting with their Lord. Unquestionably He is, of all things, encompassing."
42,12,"To Him belong the keys of the heavens and the earth. He extends provision for whom He wills and restricts [it]. Indeed He is, of all things, Knowing."
42,18,"Those who do not believe in it are impatient for it, but those who believe are fearful of it and know that it is the truth. Unquestionably, those who dispute co"
42,26,And He answers [the supplication of] those who have believed and done righteous deeds and increases [for] them from His bounty. But the disbelievers will have a
42,30,And whatever strikes you of disaster - it is for what your hands have earned; but He pardons much.
42,32,"And of His signs are the ships in the sea, like mountains."
42,35,And [that is so] those who dispute concerning Our signs may know that for them there is no place of escape.
42,39,"And those who, when tyranny strikes them, they defend themselves,"
42,41,And whoever avenges himself after having been wronged - those have not upon them any cause [for blame].
42,43,"And whoever is patient and forgives - indeed, that is of the matters [requiring] determination."
42,50,"Or He makes them [both] males and females, and He renders whom He wills barren. Indeed, He is Knowing and Competent."
43,27,"Except for He who created me; and indeed, He will guide me."""
43,37,"And indeed, the devils avert them from the way [of guidance] while they think that they are [rightly] guided"
43,42,"Or whether [or not] We show you that which We have promised them, indeed, We are Perfect in Ability."
43,44,"And indeed, it is a remembrance for you and your people, and you [all] are going to be questioned."
43,67,"Close friends, that Day, will be enemies to each other, except for the righteous"
43,73,For you therein is much fruit from which you will eat.
43,86,"And those they invoke besides Him do not possess [power of] intercession; but only those who testify to the truth [can benefit], and they know."
44,9,"But they are in doubt, amusing themselves."
44,33,And We gave them of signs that in which there was a clear trial.
44,41,"The Day when no relation will avail a relation at all, nor will they be helped -"
44,52,"Within gardens and springs,"
45,7,Woe to every sinful liar
45,9,"And when he knows anything of Our verses, he takes them in ridicule. Those will have a humiliating punishment."
45,11,This [Qur'an] is guidance. And those who have disbelieved in the verses of their Lord will have a painful punishment of foul nature.
46,6,"And when the people are gathered [that Day], they [who were invoked] will be enemies to them, and they will be deniers of their worship."
46,14,"Those are the companions of Paradise, abiding eternally therein as reward for what they used to do."
46,19,"And for all there are degrees [of reward and punishment] for what they have done, and [it is] so that He may fully compensate them for their deeds, and they wil"
47,5,He will guide them and amend their condition
47,6,"And admit them to Paradise, which He has made known to them."
47,17,And those who are guided - He increases them in guidance and gives them their righteousness.
48,22,"And if those [Makkans] who disbelieve had fought you, they would have turned their backs [in flight]. Then they would not find a protector or a helper."
50,13,And 'Aad and Pharaoh and the brothers of Lot
51,8,"Indeed, you are in differing speech."
51,11,Who are within a flood [of confusion] and heedless.
51,13,[It is] the Day they will be tormented over the Fire
51,16,"Accepting what their Lord has given them. Indeed, they were before that doers of good."
51,18,"And in the hours before dawn they would ask forgiveness,"
51,19,And from their properties was [given] the right of the [needy] petitioner and the deprived.
51,22,And in the heaven is your provision and whatever you are promised.
51,26,Then he went to his family and came with a fat [roasted] calf
51,33,"To send down upon them stones of clay,"
51,36,And We found not within them other than a [single] house of Muslims.
51,41,"And in 'Aad [was a sign], when We sent against them the barren wind."
51,45,"And they were unable to arise, nor could they defend themselves."
51,46,"And [We destroyed] the people of Noah before; indeed, they were a people defiantly disobedient."
51,60,And woe to those who have disbelieved from their Day which they are promised.
52,7,"Indeed, the punishment of your Lord will occur."
52,8,Of it there is no preventer.
52,12,Who are in [empty] discourse amusing themselves.
52,23,They will exchange with one another a cup [of wine] wherein [results] no ill speech or commission of sin.
52,24,"There will circulate among them [servant] boys [especially] for them, as if they were pearls well-protected."
52,35,"Or were they created by nothing, or were they the creators [of themselves]?"
52,36,"Or did they create the heavens and the earth? Rather, they are not certain."
52,37,Or have they the depositories [containing the provision] of your Lord? Or are they the controllers [of them]?
52,46,"The Day their plan will not avail them at all, nor will they be helped."
52,47,"And indeed, for those who have wronged is a punishment before that, but most of them do not know."
53,17,"The sight [of the Prophet] did not swerve, nor did it transgress [its limit]."
53,18,He certainly saw of the greatest signs of his Lord.
53,24,Or is there for man whatever he wishes?
53,28,"And they have thereof no knowledge. They follow not except assumption, and indeed, assumption avails not against the truth at all."
53,39,And that there is not for man except that [good] for which he strives
53,40,And that his effort is going to be seen -
53,41,Then he will be recompensed for it with the fullest recompense
53,50,And that He destroyed the first [people of] 'Aad
53,54,And covered them by that which He covered.
53,60,And you laugh and do not weep
54,1,"The Hour has come near, and the moon has split [in two]."
54,3,And they denied and followed their inclinations. But for every matter is a [time of] settlement.
54,5,Extensive wisdom - but warning does not avail [them].
54,47,"Indeed, the criminals are in error and madness."
56,10,"And the forerunners, the forerunners -"
56,11,Those are the ones brought near [to Allah]
56,13,A [large] company of the former peoples
56,14,"And a few of the later peoples,"
56,16,"Reclining on them, facing each other."
56,24,As reward for what they used to do.
56,26,"Only a saying: ""Peace, peace."""
56,36,"And made them virgins,"
56,38,For the companions of the right [who are]
56,40,And a company of the later peoples.
56,44,Neither cool nor beneficial.
56,45,"Indeed they were, before that, indulging in affluence,"
56,51,"Then indeed you, O those astray [who are] deniers,"
56,54,And drinking on top of it from scalding water
56,62,"And you have already known the first creation, so will you not remember?"
56,67,"Rather, we have been deprived."""
56,82,And make [the thanks for] your provision that you deny [the Provider]?
56,86,"Then why do you not, if you are not to be recompensed,"
56,87,"Bring it back, if you should be truthful?"
56,90,"And if he was of the companions of the right,"
56,95,"Indeed, this is the true certainty,"
62,2,It is He who has sent among the unlettered a Messenger from themselves reciting to them His verses and purifying them and teaching them the Book and wisdom - al
67,7,"When they are thrown into it, they hear from it a [dreadful] inhaling while it boils up."
68,14,"Because he is a possessor of wealth and children,"
68,24,"[Saying], ""There will surely not enter it today upon you [any] poor person."""
68,37,Or do you have a scripture in which you learn
68,38,That indeed for you is whatever you choose?
68,39,"Or do you have oaths [binding] upon Us, extending until the Day of Resurrection, that indeed for you is whatever you judge?"
68,50,And his Lord chose him and made him of the righteous.
68,52,But it is not except a reminder to the worlds.
69,22,"In an elevated garden,"
69,23,Its [fruit] to be picked hanging near.
69,29,"Gone from me is my authority."""
69,35,So there is not for him here this Day any devoted friend
69,37,None will eat it except the sinners.
69,39,And what you do not see
70,1,A supplicant asked for a punishment bound to happen
70,2,To the disbelievers; of it there is no preventer.
70,14,And whoever is on earth entirely [so] then it could save him.
70,17,It invites he who turned his back [on truth] and went away [from obedience]
70,24,And those within whose wealth is a known right
70,25,For the petitioner and the deprived -
70,27,And those who are fearful of the punishment of their Lord -
70,33,And those who are in their testimonies upright
70,35,"They will be in gardens, honored."
70,41,To replace them with better than them; and We are not to be outdone.
71,18,Then He will return you into it and extract you [another] extraction.
72,15,"But as for the unjust, they will be, for Hell, firewood.'"
72,28,That he may know that they have conveyed the messages of their Lord; and He has encompassed whatever is with them and has enumerated all things in number.
74,10,For the disbelievers - not easy.
74,23,Then he turned back and was arrogant
74,25,"This is not but the word of a human being."""
74,32,No! By the moon
74,35,"Indeed, the Fire is of the greatest [afflictions]"
74,36,As a warning to humanity -
74,37,To whoever wills among you to proceed or stay behind.
74,39,"Except the companions of the right,"
74,40,"[Who will be] in gardens, questioning each other"
74,41,"About the criminals,"
74,48,So there will not benefit them the intercession of [any] intercessors.
75,8,And the moon darkens
75,12,"To your Lord, that Day, is the [place of] permanence."
75,21,And leave the Hereafter.
75,23,Looking at their Lord.
75,28,And the dying one is certain that it is the [time of] separation
75,32,"But [instead], he denied and turned away."
75,35,"Then woe to you, and woe!"
76,4,"Indeed, We have prepared for the disbelievers chains and shackles and a blaze."
76,12,And will reward them for what they patiently endured [with] a garden [in Paradise] and silk [garments].
77,17,Then We will follow them with the later ones.
77,18,Thus do We deal with the criminals.
77,21,And We placed it in a firm lodging
77,35,"This is a Day they will not speak,"
77,36,Nor will it be permitted for them to make an excuse.
78,2,About the great news -
78,3,That over which they are in disagreement.
78,4,No! They are going to know.
78,20,And the mountains are removed and will be [but] a mirage.
78,21,"Indeed, Hell has been lying in wait"
78,22,"For the transgressors, a place of return,"
78,27,"Indeed, they were not expecting an account"
79,21,But Pharaoh denied and disobeyed.
79,22,"Then he turned his back, striving."
79,23,And he gathered [his people] and called out
79,31,"He extracted from it its water and its pasture,"
79,36,And Hellfire will be exposed for [all] those who see -
79,37,So as for he who transgressed
79,38,"And preferred the life of the world,"
79,39,"Then indeed, Hellfire will be [his] refuge."
79,44,To your Lord is its finality.
80,2,"Because there came to him the blind man, [interrupting]."
80,8,But as for he who came to you striving [for knowledge]
80,11,"No! Indeed, these verses are a reminder;"
80,14,"Exalted and purified,"
80,16,Noble and dutiful.
80,19,From a sperm-drop He created him and destined for him;
80,20,Then He eased the way for him;
80,22,"Then when He wills, He will resurrect him."
80,23,No! Man has not yet accomplished what He commanded him.
80,34,On the Day a man will flee from his brother
80,37,"For every man, that Day, will be a matter adequate for him."
80,42,"Those are the disbelievers, the wicked ones."
81,13,"And when Paradise is brought near,"
81,14,A soul will [then] know what it has brought [with it].
81,20,"[Who is] possessed of power and with the Owner of the Throne, secure [in position],"
81,28,For whoever wills among you to take a right course.
82,4,"And when the [contents of] graves are scattered,"
82,5,A soul will [then] know what it has put forth and kept back.
82,14,"And indeed, the wicked will be in Hellfire."
82,16,And never therefrom will they be absent.
83,6,The Day when mankind will stand before the Lord of the worlds?
83,9,It is [their destination recorded in] a register inscribed.
83,12,And none deny it except every sinful transgressor.
83,16,"Then indeed, they will [enter and] burn in Hellfire."
83,20,It is [their destination recorded in] a register inscribed
83,21,Which is witnessed by those brought near [to Allah].
83,23,"On adorned couches, observing."
83,28,A spring from which those near [to Allah] drink.
83,29,"Indeed, those who committed crimes used to laugh at those who believed."
83,33,But they had not been sent as guardians over them.
83,34,"So Today those who believed are laughing at the disbelievers,"
83,35,"On adorned couches, observing."
84,2,And has responded to its Lord and was obligated [to do so]
84,3,And when the earth has been extended
84,5,And has responded to its Lord and was obligated [to do so] -
84,9,And return to his people in happiness.
84,10,"But as for he who is given his record behind his back,"
84,11,He will cry out for destruction
84,12,And [enter to] burn in a Blaze.
84,13,"Indeed, he had [once] been among his people in happiness;"
84,15,"But yes! Indeed, his Lord was ever of him, Seeing."
84,21,"And when the Qur'an is recited to them, they do not prostrate [to Allah]?"
84,22,"But those who have disbelieved deny,"
85,6,When they were sitting near it
85,7,"And they, to what they were doing against the believers, were witnesses."
85,16,Effecter of what He intends.
86,8,"Indeed, Allah, to return him [to life], is Able."
86,10,Then man will have no power or any helper.
86,15,"Indeed, they are planning a plan,"
87,3,And who destined and [then] guided
87,4,And who brings out the pasture
87,15,And mentions the name of his Lord and prays.
88,4,They will [enter to] burn in an intensely hot Fire.
88,5,They will be given drink from a boiling spring.
88,9,With their effort [they are] satisfied
88,10,"In an elevated garden,"
88,22,You are not over them a controller.
88,26,"Then indeed, upon Us is their account."
89,12,And increased therein the corruption.
90,18,Those are the companions of the right.
90,19,But they who disbelieved in Our signs - those are the companions of the left.
90,20,Over them will be fire closed in.
91,15,And He does not fear the consequence thereof.
92,6,"And believes in the best [reward],"
92,9,"And denies the best [reward],"
92,13,"And indeed, to Us belongs the Hereafter and the first [life]."
92,16,Who had denied and turned away.
92,19,And not [giving] for anyone who has [done him] a favor to be rewarded
92,21,And he is going to be satisfied.
93,7,"And He found you lost and guided [you],"
94,6,"Indeed, with hardship [will be] ease."
96,6,"No! [But] indeed, man transgresses"
96,7,Because he sees himself self-sufficient.
96,17,Then let him call his associates;
98,3,Within which are correct writings.
98,4,Nor did those who were given the Scripture become divided until after there had come to them clear evidence.
98,7,"Indeed, they who have believed and done righteous deeds - those are the best of creatures."
99,2,And the earth discharges its burdens
99,4,"That Day, it will report its news"
99,5,Because your Lord has commanded it.
99,8,And whoever does an atom's weight of evil will see it.
100,7,"And indeed, he is to that a witness."
100,8,"And indeed he is, in love of wealth, intense."
100,11,"Indeed, their Lord with them, that Day, is [fully] Acquainted."
101,11,"It is a Fire, intensely hot."
102,1,Competition in [worldly] increase diverts you
102,3,No! You are going to know.
102,5,No! If you only knew with knowledge of certainty...
102,6,You will surely see the Hellfire.
102,7,Then you will surely see it with the eye of certainty.
104,7,Which mounts directed at the hearts.
104,8,"Indeed, Hellfire will be closed down upon them"
106,3,"Let them worship the Lord of this House,"
106,4,"Who has fed them, [saving them] from hunger and made them safe, [saving them] from fear."
107,5,[But] who are heedless of their prayer -
107,6,Those who make show [of their deeds]
111,2,His wealth will not avail him or that which he gained.
111,3,He will [enter to] burn in a Fire of [blazing] flame
