surah,verse,n_tags,tags,brief_note
2,23,13,divine-names;iltifat;iltifat-topic;imperative;imperative-topic;jinas;muqattaat;numerical-coincidence;parable;phonaesthetic;prime-mod;scientific-foreknowledge;self-reference,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | iltifat-topic=iltifat-catalog.md | imperative=>ataY | imperative-topic=imperative-mood.md
2,24,7,convergence;fire-light;graph-theory;iltifat;imperative;jinas;saj-rhyme,convergence=convergence-analysis.md | fire-light=fire-light-vocabulary.md | graph-theory=graph-theory-roots.md | iltifat=intra-strict:two_verbs | imperative={t~aqaY`
2,25,5,hapax;iltifat;imperative;jinas;quotation,"hapax=lemma-hapax:vamarap (lemma=vamarap, root=vmr) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=bu$~ira | jinas=jinas-wordplay.md | quotation=qalu speaker=Disbelievers"
2,26,11,animal;divine-names;divine-names-topic;hapax;jinas;parable;parable-topic;quotation;rhetorical-Q-topic;rhetorical-question;rhyme-break,"animal=quran-bestiary.md | divine-names=2 name(s): al-Haqq|Allah | divine-names-topic=divine-names-distribution.md | hapax=lemma-hapax:baEuwDap (lemma=baEuwDap, root=bED) | jinas=jinas-wordplay.md"
2,27,7,chiastic;covenant;divine-names;graph-theory;kinship;phonaesthetic;ring-center,chiastic=chiastic-audit.md | covenant=covenant-language.md | divine-names=1 name(s): Allah | graph-theory=graph-theory-roots.md | kinship=kinship-vocabulary.md
2,28,8,divine-names;iltifat;kahf-finding;moses-finding;phonaesthetic;prophet-micro-ring;rhetorical-Q-topic;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | kahf-finding=al-kahf-deep-dive.md | moses-finding=moses-deep-dive.md | phonaesthetic=phonaesthetics.md
2,29,8,cosmology-audit;iltifat;muqattaat-gradient;numerical-coincidence;palindrome;phonaesthetic;prime-mod;word-pair,cosmology-audit=cosmology-audit.md | iltifat=intra-strict:verb_plus_indep_pron; inter:2->3 | muqattaat-gradient=muqattaat-positional-gradient.md | numerical-coincidence=numerical-coincidences.md | palindrome=palindromes.md
2,30,14,angel;body-part;covenant;hapax;iblis;ilm-al-harf;iltifat;jinas;numerical-coincidence;phonaesthetic;prophet-micro-ring;quotation;quotation-topic;rhetorical-question,"angel=angels-catalog.md | body-part=body-parts.md | covenant=covenant-language.md | hapax=lemma-hapax:nuqad~isu (lemma=nuqad~isu, root=qds) | iblis=iblis-satan.md"
2,31,6,iltifat;imperative;muqattaat;numerical-coincidence;phonaesthetic;quotation,iltifat=intra-strict:two_verbs | imperative=>an[ba>a | muqattaat=muqattaat-analysis.md | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md
2,32,7,divine-name-pair-ending;divine-names;divine-names-topic;iltifat;jinas;numerical-coincidence;quotation,divine-name-pair-ending=al-Hakim|al-'Alim | divine-names=2 name(s): al-Hakim|al-'Alim | divine-names-topic=divine-names-distribution.md | iltifat=intra-strict:two_verbs; inter:3->2 | jinas=jinas-wordplay.md
2,33,11,chiastic;iltifat;imperative;jinas;numerical-coincidence;quotation;rhetorical-question;ring-center;vocative;vocative-topic;word-pair,chiastic=chiastic-audit.md | iltifat=intra-strict:two_verbs | imperative=>an[ba>a | jinas=jinas-wordplay.md | numerical-coincidence=numerical-coincidences.md
2,34,9,angel;iblis;iltifat;imperative;jinas;jinn;prophet-micro-ring;quotation;quotation-topic,angel=angels-catalog.md | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=sajada | jinas=jinas-wordplay.md
2,35,16,dual-form;dual-form-topic;iltifat;imperative;kinship;mutashabih-lafzi;mutashabih-topic;negation;numerical-coincidence;palindrome;phonaesthetic;plant;prohibitive;quotation;quotation-topic;vocative,dual-form=>akala | dual-form-topic=dual-form-mapping.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=sakana | kinship=kinship-vocabulary.md
2,36,11,angel;dual-form;hapax;iblis;iltifat;imperative;numerical-coincidence;prophet-micro-ring;quotation;quotation-topic;time-vocab,"angel=angels-catalog.md | dual-form=kaAna | hapax=lemma-hapax:>azal~a (lemma=>azal~a, root=zll) | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs; inter:2->3"
2,37,4,divine-name-pair-ending;divine-names;divine-names-topic;muqattaat-gradient,divine-name-pair-ending=al-Tawwab|al-Rahim | divine-names=2 name(s): al-Tawwab|al-Rahim | divine-names-topic=divine-names-distribution.md | muqattaat-gradient=muqattaat-positional-gradient.md
2,38,6,emotion;iltifat;imperative;phonaesthetic;quotation;quotation-topic,emotion=emotion-vocabulary.md | iltifat=intra-strict:two_verbs | imperative=yahobiTu | phonaesthetic=phonaesthetics.md | quotation=qulna speaker=GOD (We said)
2,39,4,graph-theory;mutashabih-lafzi;mutashabih-topic;numerical-coincidence,"graph-theory=graph-theory-roots.md | mutashabih-lafzi=pair with 64:10 (particle_change;suffix_pronoun_change, r=0.8095) | mutashabih-topic=mutashabih-lafzi.md | numerical-coincidence=numerical-coincidences.md"
2,40,14,chiastic;convergence;covenant;ilm-al-harf;iltifat;imperative;jesus-engagement;numerical-coincidence;prophet-micro-ring;prophet-pericope;rhetorical-Q-topic;ring-center;vocative;vocative-topic,chiastic=chiastic-audit.md | convergence=convergence-analysis.md | covenant=covenant-language.md | ilm-al-harf=ilm-al-harf-tests.md | iltifat=intra-strict:two_verbs; inter:3->2
2,41,5,iltifat;imperative;jinas;prohibitive;quotation-topic,iltifat=intra-strict:two_verbs | imperative='aAmana | jinas=jinas-wordplay.md | prohibitive | quotation-topic=quotation-analysis.md
2,42,5,balagha;chiastic;muqattaat-gradient;prohibitive;ring-center,balagha=balagha-mapping.md | chiastic=chiastic-audit.md | muqattaat-gradient=muqattaat-positional-gradient.md | prohibitive | ring-center=ring-center-semantics.md
2,43,7,form-content-outlier;imperative;imperative-topic;numerical-coincidence;salah;verse-length-outlier;zakat,form-content-outlier=form-meets-content-outliers.md | imperative=>aqaAma | imperative-topic=imperative-mood.md | numerical-coincidence=numerical-coincidences.md | salah=salah-theology.md
2,44,6,jinas;muqattaat;nafs-theology;numerical-coincidence;rhetorical-Q-topic;rhetorical-question,jinas=jinas-wordplay.md | muqattaat=muqattaat-analysis.md | nafs-theology=nafs-theology.md | numerical-coincidence=numerical-coincidences.md | rhetorical-Q-topic=rhetorical-questions.md
2,45,3,emotion;imperative;jinas,emotion=emotion-vocabulary.md | imperative={sotaEiynu | jinas=jinas-wordplay.md
2,46,2,iltifat;razi-99names,iltifat=inter:2->3 | razi-99names=razi-99names-test.md
2,47,6,iltifat;imperative;numerical-coincidence;phonaesthetic;vocative;vocative-topic,iltifat=intra-strict:two_verbs; inter:3->1 | imperative=*akara | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md | vocative=O_children_of_Israel
2,48,4,iltifat;imperative;nafs-theology;numerical-coincidence,iltifat=intra-strict:two_verbs; inter:1->3 | imperative={t~aqaY` | nafs-theology=nafs-theology.md | numerical-coincidence=numerical-coincidences.md
2,49,5,iltifat;jinas;mutashabih-lafzi;mutashabih-topic;sacrifice-vow,"iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | mutashabih-lafzi=pair with 7:141 (inflection_change;lexeme_substitution, r=0.9355) | mutashabih-topic=mutashabih-lafzi.md | sacrifice-vow=sacrifice-vow.md"
2,50,3,iltifat;jinas;numerical-coincidence,iltifat=intra-strict:two_verbs; inter:3->1 | jinas=jinas-wordplay.md | numerical-coincidence=numerical-coincidences.md
2,51,8,covenant;famous-number;ilm-al-harf;iltifat;jinas;moses-finding;numerical-coincidence;phonaesthetic,covenant=covenant-language.md | famous-number=numbers-spelled.md | ilm-al-harf=ilm-al-harf-tests.md | iltifat=intra-strict:two_verbs; inter:1->2 | jinas=jinas-wordplay.md
2,52,3,hapax-topic;iltifat;numerical-coincidence,hapax-topic=hapax-legomena-catalog.md | iltifat=intra-strict:two_verbs | numerical-coincidence=numerical-coincidences.md
2,53,6,iltifat;loan-word;numerical-coincidence;phonaesthetic;scripture-ref;self-reference,iltifat=intra-strict:two_verbs | loan-word=foreign-loan-words.md | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md | scripture-ref=scripture-refs.md
2,54,11,divine-name-pair-ending;divine-names;hapax;iltifat;imperative;jinas;nafs-theology;quotation;razi-99names;vocative;weapon,"divine-name-pair-ending=al-Tawwab|al-Rahim | divine-names=2 name(s): al-Tawwab|al-Rahim | hapax=lemma-hapax:{t~ixaA* (lemma={t~ixaA*, root=Ax*) | iltifat=intra-strict:two_verbs | imperative=taAba"
2,55,6,divine-names;hapax-topic;ilm-al-harf;iltifat;quotation;vocative,divine-names=1 name(s): Allah | hapax-topic=hapax-legomena-catalog.md | ilm-al-harf=ilm-al-harf-tests.md | iltifat=intra-strict:two_verbs | quotation=other speaker=Moses
2,56,5,graph-theory;iltifat;jinas;numerical-coincidence;phonaesthetic,graph-theory=graph-theory-roots.md | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md
2,57,5,iltifat;imperative;jinas;plant;verse-length-outlier,iltifat=intra-strict:two_verbs; inter:2->1 | imperative=>akala | jinas=jinas-wordplay.md | plant=plants-quran.md | verse-length-outlier=verse-length-sequences.md
2,58,6,balagha;iltifat;imperative;mutashabih-lafzi;mutashabih-topic;quotation,"balagha=balagha-mapping.md | iltifat=intra-strict:two_verbs; inter:1->2 | imperative=daxala | mutashabih-lafzi=pair with 7:161 (particle_change;suffix_pronoun_change;inflection_change;lexeme_substitution, r=0.8684) | mutashabih-topic=mutashabih-lafzi.md"
2,59,6,iltifat;mutashabih-lafzi;mutashabih-topic;numerical-coincidence;quotation;saj-rhyme,"iltifat=intra-strict:two_verbs; inter:2->3 | mutashabih-lafzi=pair with 7:162 (suffix_pronoun_change;preposition_change;lexeme_substitution, r=0.8571) | mutashabih-topic=mutashabih-lafzi.md | numerical-coincidence=numerical-coincidences.md | quotation=qila speaker=Moses"
2,60,11,divine-names;dual-form;famous-number;hapax;iltifat;imperative;jinas;numerical-coincidence;prohibitive;quotation;water,"divine-names=1 name(s): Allah | dual-form={vonatayon | famous-number=numbers-spelled.md | hapax=lemma-hapax:{nfajarato (lemma={nfajarato, root=fjr) | iltifat=intra-strict:two_verbs; inter:3->2"
2,61,13,divine-names;emotion;hapax;iltifat;imperative;jinas;loan-word;numerical-coincidence;plant;quotation;rhetorical-question;sacred-geo;vocative,"divine-names=2 name(s): al-Haqq|Allah | emotion=emotion-vocabulary.md | hapax=root-hapax:Eds (lemma=Eadas, root=Eds) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=daEaA"
2,62,6,divine-names;emotion;jinas;mutashabih-lafzi;phonaesthetic;yawm,"divine-names=2 name(s): al-Akhir|Allah | emotion=emotion-vocabulary.md | jinas=jinas-wordplay.md | mutashabih-lafzi=pair with 5:69 (particle_change;suffix_pronoun_change;addition_in_a, r=0.8182) | phonaesthetic=phonaesthetics.md"
2,63,7,covenant;graph-theory;iltifat;imperative;loan-word;numerical-coincidence;sacred-geo,covenant=covenant-language.md | graph-theory=graph-theory-roots.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=>axa*a | loan-word=foreign-loan-words.md
2,64,1,divine-names,divine-names=1 name(s): Allah
2,65,7,balagha;covenant;iltifat;imperative;numerical-coincidence;prophet-micro-ring;quotation,balagha=balagha-mapping.md | covenant=covenant-language.md | iltifat=intra-strict:two_verbs | imperative=kaAna | numerical-coincidence=numerical-coincidences.md
2,66,5,body-part;dual-form;dual-form-topic;iltifat;numerical-coincidence,body-part=body-parts.md | dual-form=yad | dual-form-topic=dual-form-mapping.md | iltifat=inter:2->1 | numerical-coincidence=numerical-coincidences.md
2,67,13,animal;color;divine-names;ikhlas-muawwidhat-finding;iltifat;jinas;moses-finding;quotation;quotation-topic;rhetorical-Q-topic;rhetorical-question;rhyme-break;sacrifice-vow,animal=quran-bestiary.md | color=colors-in-quran.md | divine-names=1 name(s): Allah | ikhlas-muawwidhat-finding=ikhlas-muawwidhat.md | iltifat=intra-strict:two_verbs; inter:1->3
2,68,8,graph-theory;hapax;iltifat;imperative;jinas;quotation;rhetorical-question;sacrifice-vow,"graph-theory=graph-theory-roots.md | hapax=lemma-hapax:EawaAn (lemma=EawaAn, root=Ewn) | iltifat=intra-strict:two_verbs | imperative=daEaA | jinas=jinas-wordplay.md"
2,69,10,color;graph-theory;hapax;iltifat;imperative;jinas;phonaesthetic;quotation;rhetorical-question;rhyme-break,"color=colors-in-quran.md | graph-theory=graph-theory-roots.md | hapax=root-hapax:fqE (lemma=faAqiE, root=fqE) | iltifat=intra-strict:two_verbs | imperative=daEaA"
2,70,6,divine-names;iltifat;imperative;numerical-coincidence;quotation;rhetorical-question,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | imperative=daEaA | numerical-coincidence=numerical-coincidences.md | quotation=qalu speaker=Moses
2,71,7,hapax;ilm-al-harf;iltifat;jinas;prime-mod;quotation;sacrifice-vow,"hapax=root-hapax:w$y (lemma=$iyap, root=w$y) | ilm-al-harf=ilm-al-harf-tests.md | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | prime-mod=prime-mod-scan.md"
2,72,5,divine-names;hapax;iltifat;numerical-coincidence;weapon,"divine-names=1 name(s): Allah | hapax=lemma-hapax:{d~a`ra`#o (lemma={d~a`ra`#o, root=drA) | iltifat=inter:3->2 | numerical-coincidence=numerical-coincidences.md | weapon=weapons-warfare.md"
2,73,6,divine-names;iltifat;imperative;jinas;phonaesthetic;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | imperative=Daraba | jinas=jinas-wordplay.md | phonaesthetic=phonaesthetics.md
2,74,11,divine-names;emotion;hapax;iltifat;jinas;muqattaat;parable;parable-topic;phonaesthetic;qalb-theology;scholar-commentary,"divine-names=1 name(s): Allah | emotion=emotion-vocabulary.md | hapax=lemma-hapax:qasowap (lemma=qasowap, root=qsw) | iltifat=intra-strict:two_verbs; inter:2->3 | jinas=jinas-wordplay.md"
2,75,9,cross-textual;divine-names;graph-theory;iltifat;jesus-engagement;jinas;numerical-coincidence;rhetorical-question;scripture-ref,cross-textual=cross-textual-baseline.md | divine-names=1 name(s): Allah | graph-theory=graph-theory-roots.md | iltifat=intra-strict:two_verbs | jesus-engagement=jc-engagement.md
2,76,8,asbab-nuzul;divine-names;hajj;highlight;iltifat;phonaesthetic;quotation;rhetorical-question,asbab-nuzul=asbab-nuzul.md | divine-names=1 name(s): Allah | hajj=hajj-theology.md | highlight=asbab-nuzul.md | iltifat=intra-strict:two_verbs
2,77,6,divine-names;divine-names-topic;muqattaat;numerical-coincidence;phonaesthetic;rhetorical-question,divine-names=1 name(s): Allah | divine-names-topic=divine-names-distribution.md | muqattaat=muqattaat-analysis.md | numerical-coincidence=numerical-coincidences.md | phonaesthetic=phonaesthetics.md
2,78,3,asbab-nuzul;cross-textual;phonaesthetic,asbab-nuzul=asbab-nuzul.md | cross-textual=cross-textual-baseline.md | phonaesthetic=phonaesthetics.md
2,79,5,asbab-nuzul;divine-names;jinas;prophet-micro-ring;quotation,asbab-nuzul=asbab-nuzul.md | divine-names=1 name(s): Allah | jinas=jinas-wordplay.md | prophet-micro-ring=prophet-micro-rings.md | quotation=yaquluna speaker=UNCLASSIFIED
2,80,8,covenant;divine-names;iltifat;imperative;jinas;qul-say-opener;quotation;rhetorical-question,covenant=covenant-language.md | divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=qaAla | jinas=jinas-wordplay.md
2,81,1,iltifat,iltifat=inter:2->3
2,82,3,form-content-outlier;ilm-al-harf;numerical-coincidence,form-content-outlier=form-meets-content-outliers.md | ilm-al-harf=ilm-al-harf-tests.md | numerical-coincidence=numerical-coincidences.md
2,83,10,covenant;divine-names;dual-form;dual-form-topic;iltifat;imperative;imperative-topic;quotation;salah;zakat,covenant=covenant-language.md | divine-names=1 name(s): Allah | dual-form=waAlid | dual-form-topic=dual-form-mapping.md | iltifat=intra-strict:two_verbs; inter:3->2
2,84,7,body-part;chiastic;covenant;cross-textual;ilm-al-harf;iltifat;prophet-micro-ring,body-part=body-parts.md | chiastic=chiastic-audit.md | covenant=covenant-language.md | cross-textual=cross-textual-baseline.md | ilm-al-harf=ilm-al-harf-tests.md
2,85,6,covenant;divine-names;hapax;iltifat;phonaesthetic;rhetorical-question,"covenant=covenant-language.md | divine-names=1 name(s): Allah | hapax=lemma-hapax:tufa`du (lemma=tufa`du, root=fdy) | iltifat=intra-strict:two_verbs | phonaesthetic=phonaesthetics.md"
2,86,1,iltifat,iltifat=inter:2->3
2,87,7,angel;divine-names-topic;iltifat;nafs-theology;numerical-coincidence;rhetorical-question;weapon,angel=angels-catalog.md | divine-names-topic=divine-names-distribution.md | iltifat=intra-strict:two_verbs; inter:3->1 | nafs-theology=nafs-theology.md | numerical-coincidence=numerical-coincidences.md
2,88,5,divine-names;iltifat;iltifat-topic;numerical-coincidence;quotation,divine-names=1 name(s): Allah | iltifat=inter:1->3 | iltifat-topic=iltifat-catalog.md | numerical-coincidence=numerical-coincidences.md | quotation=qalu speaker=Moses
2,89,2,divine-names;jinas,divine-names=1 name(s): Allah | jinas=jinas-wordplay.md
2,90,3,divine-names;emotion;numerical-sequence,divine-names=1 name(s): Allah | emotion=emotion-vocabulary.md | numerical-sequence=numerical-sequences.md
2,91,11,divine-names;iltifat;imperative;jinas;numerical-coincidence;qul-say-opener;quotation;rhetorical-question;rhyme-break;self-reference;weapon,divine-names=2 name(s): al-Haqq|Allah | iltifat=intra-strict:two_verbs | imperative='aAmana | jinas=jinas-wordplay.md | numerical-coincidence=numerical-coincidences.md
